Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,červenec 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,99.86583982
Česko,Průmysl celkem,červen 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,104.21978478
Česko,Průmysl celkem,červen 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.73463331
Česko,Průmysl celkem,červen 2019,Meziroční index (%) - neočištěno,93.7769175251
Česko,Průmysl celkem,červen 2019,Meziroční index (%) - očištěno o kalendářní vlivy,96.5056526999
Česko,Průmysl celkem,červen 2019,Meziměsíční index (%) - sezónně očištěno,95.5337302519
Česko,Průmysl celkem,červen 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,107.16422878
Česko,Průmysl celkem,květen 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,106.26508823
Česko,Průmysl celkem,květen 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,104.39729826
Česko,Průmysl celkem,květen 2019,Meziroční index (%) - neočištěno,102.9379504457
Česko,Průmysl celkem,květen 2019,Meziroční index (%) - očištěno o kalendářní vlivy,102.5815919153
Česko,Průmysl celkem,květen 2019,Meziměsíční index (%) - sezónně očištěno,101.8313567628
Česko,Průmysl celkem,květen 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,102.25006788
Česko,Průmysl celkem,duben 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,102.05930023
Česko,Průmysl celkem,duben 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,102.51979506
Česko,Průmysl celkem,duben 2019,Meziroční index (%) - neočištěno,103.720699543
Česko,Průmysl celkem,duben 2019,Meziroční index (%) - očištěno o kalendářní vlivy,103.3740578088
Česko,Průmysl celkem,duben 2019,Meziměsíční index (%) - sezónně očištěno,101.519067703
Česko,Průmysl celkem,duben 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,106.71378694
Česko,Průmysl celkem,březen 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,108.69993918
Česko,Průmysl celkem,březen 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.9857531
Česko,Průmysl celkem,březen 2019,Meziroční index (%) - neočištěno,100.5860992458
Česko,Průmysl celkem,březen 2019,Meziroční index (%) - očištěno o kalendářní vlivy,100.6434059043
Česko,Průmysl celkem,březen 2019,Meziměsíční index (%) - sezónně očištěno,100.4261724815
Česko,Průmysl celkem,březen 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,únor 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,97.093913
Česko,Průmysl celkem,únor 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,97.093913
Česko,Průmysl celkem,únor 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.55720596
Česko,Průmysl celkem,únor 2019,Meziroční index (%) - neočištěno,101.280241871
Česko,Průmysl celkem,únor 2019,Meziroční index (%) - očištěno o kalendářní vlivy,101.3751657442
Česko,Průmysl celkem,únor 2019,Meziměsíční index (%) - sezónně očištěno,100.2295444537
Česko,Průmysl celkem,únor 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,leden 2019,Bazický index (průměr roku 2021=100) (%) - neočištěno ,98.14574188
Česko,Průmysl celkem,leden 2019,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,96.59225183
Česko,Průmysl celkem,leden 2019,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.3269111
Česko,Průmysl celkem,leden 2019,Meziroční index (%) - neočištěno,99.1021274065
Česko,Průmysl celkem,leden 2019,Meziroční index (%) - očištěno o kalendářní vlivy,99.3923379532
Česko,Průmysl celkem,leden 2019,Meziměsíční index (%) - sezónně očištěno,98.4167581336
Česko,Průmysl celkem,leden 2019,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,89.47598974
Česko,Průmysl celkem,prosinec 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,94.47590156
Česko,Průmysl celkem,prosinec 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.94088182
Česko,Průmysl celkem,prosinec 2018,Meziroční index (%) - neočištěno,98.2924923124
Česko,Průmysl celkem,prosinec 2018,Meziroční index (%) - očištěno o kalendářní vlivy,100.7675251931
Česko,Průmysl celkem,prosinec 2018,Meziměsíční index (%) - sezónně očištěno,100.6464741784
Česko,Průmysl celkem,prosinec 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,114.2439404
Česko,Průmysl celkem,listopad 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,109.74327679
Česko,Průmysl celkem,listopad 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.28609338
Česko,Průmysl celkem,listopad 2018,Meziroční index (%) - neočištěno,104.6038673977
Česko,Průmysl celkem,listopad 2018,Meziroční index (%) - očištěno o kalendářní vlivy,101.1200878289
Česko,Průmysl celkem,listopad 2018,Meziměsíční index (%) - sezónně očištěno,100.6384495525
Česko,Průmysl celkem,listopad 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,112.07433247
Česko,Průmysl celkem,říjen 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,107.25901822
Česko,Průmysl celkem,říjen 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.64353518
Česko,Průmysl celkem,říjen 2018,Meziroční index (%) - neočištěno,106.0293156078
Česko,Průmysl celkem,říjen 2018,Meziroční index (%) - očištěno o kalendářní vlivy,102.8280245148
Česko,Průmysl celkem,říjen 2018,Meziměsíční index (%) - sezónně očištěno,98.7521218368
Česko,Průmysl celkem,říjen 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,100.12305161
Česko,Průmysl celkem,září 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,105.37753214
Česko,Průmysl celkem,září 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.91531413
Česko,Průmysl celkem,září 2018,Meziroční index (%) - neočištěno,99.6197517934
Česko,Průmysl celkem,září 2018,Meziroční index (%) - očištěno o kalendářní vlivy,102.554768571
Česko,Průmysl celkem,září 2018,Meziměsíční index (%) - sezónně očištěno,101.1085658097
Česko,Průmysl celkem,září 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,96.12259806
Česko,Průmysl celkem,srpen 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,94.35102727
Česko,Průmysl celkem,srpen 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.79790304
Česko,Průmysl celkem,srpen 2018,Meziroční index (%) - neočištěno,102.0271064703
Česko,Průmysl celkem,srpen 2018,Meziroční index (%) - očištěno o kalendářní vlivy,102.1308539002
Česko,Průmysl celkem,srpen 2018,Meziměsíční index (%) - sezónně očištěno,97.6175845709
Česko,Průmysl celkem,srpen 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,88.63990256
Česko,Průmysl celkem,červenec 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,91.58829564
Česko,Průmysl celkem,červenec 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,103.25793604
Česko,Průmysl celkem,červenec 2018,Meziroční index (%) - neočištěno,110.232011215
Česko,Průmysl celkem,červenec 2018,Meziroční index (%) - očištěno o kalendářní vlivy,106.9781918652
Česko,Průmysl celkem,červenec 2018,Meziměsíční index (%) - sezónně očištěno,100.1522668548
Česko,Průmysl celkem,červenec 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,106.49298618
Česko,Průmysl celkem,červen 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,107.99345102
Česko,Průmysl celkem,červen 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,103.10094747
Česko,Průmysl celkem,červen 2018,Meziroční index (%) - neočištěno,103.4338202914
Česko,Průmysl celkem,červen 2018,Meziroční index (%) - očištěno o kalendářní vlivy,106.504782678
Česko,Průmysl celkem,červen 2018,Meziměsíční index (%) - sezónně očištěno,101.6784499309
Česko,Průmysl celkem,červen 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,104.10565619
Česko,Průmysl celkem,květen 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,103.5907966
Česko,Průmysl celkem,květen 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.39901576
Česko,Průmysl celkem,květen 2018,Meziroční index (%) - neočištěno,100.9249369029
Česko,Průmysl celkem,květen 2018,Meziroční index (%) - očištěno o kalendářní vlivy,101.0903725841
Česko,Průmysl celkem,květen 2018,Meziměsíční index (%) - sezónně očištěno,102.6683932465
Česko,Průmysl celkem,květen 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,98.58212327
Česko,Průmysl celkem,duben 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,98.7281552
Česko,Průmysl celkem,duben 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.76361415
Česko,Průmysl celkem,duben 2018,Meziroční index (%) - neočištěno,105.4247833535
Česko,Průmysl celkem,duben 2018,Meziroční index (%) - očištěno o kalendářní vlivy,99.6647663229
Česko,Průmysl celkem,duben 2018,Meziměsíční index (%) - sezónně očištěno,98.6056958068
Česko,Průmysl celkem,duben 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,106.09198263
Česko,Průmysl celkem,březen 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,108.00502845
Česko,Průmysl celkem,březen 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.16015134
Česko,Průmysl celkem,březen 2018,Meziroční index (%) - neočištěno,98.6922792063
Česko,Průmysl celkem,březen 2018,Meziroční index (%) - očištěno o kalendářní vlivy,104.5712233762
Česko,Průmysl celkem,březen 2018,Meziměsíční index (%) - sezónně očištěno,101.2255199648
Česko,Průmysl celkem,březen 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,únor 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,95.86658879
Česko,Průmysl celkem,únor 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,95.77682294
Česko,Průmysl celkem,únor 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.94752961
Česko,Průmysl celkem,únor 2018,Meziroční index (%) - neočištěno,102.8973971812
Česko,Průmysl celkem,únor 2018,Meziroční index (%) - očištěno o kalendářní vlivy,102.8541237475
Česko,Průmysl celkem,únor 2018,Meziměsíční index (%) - sezónně očištěno,97.8458409682
Česko,Průmysl celkem,únor 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,leden 2018,Bazický index (průměr roku 2021=100) (%) - neočištěno ,99.03494955
Česko,Průmysl celkem,leden 2018,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,97.18279479
Česko,Průmysl celkem,leden 2018,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.12594325
Česko,Průmysl celkem,leden 2018,Meziroční index (%) - neočištěno,105.7009281428
Česko,Průmysl celkem,leden 2018,Meziroční index (%) - očištěno o kalendářní vlivy,105.6034944747
Česko,Průmysl celkem,leden 2018,Meziměsíční index (%) - sezónně očištěno,99.2514799193
Česko,Průmysl celkem,leden 2018,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,91.03033979
Česko,Průmysl celkem,prosinec 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,93.75629835
Česko,Průmysl celkem,prosinec 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,101.88859988
Česko,Průmysl celkem,prosinec 2017,Meziroční index (%) - neočištěno,103.4891127255
Česko,Průmysl celkem,prosinec 2017,Meziroční index (%) - očištěno o kalendářní vlivy,109.2795994761
Česko,Průmysl celkem,prosinec 2017,Meziměsíční index (%) - sezónně očištěno,101.393682936
Česko,Průmysl celkem,prosinec 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,109.21579024
Česko,Průmysl celkem,listopad 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,108.52767155
Česko,Průmysl celkem,listopad 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.48811418
Česko,Průmysl celkem,listopad 2017,Meziroční index (%) - neočištěno,108.2393735238
Česko,Průmysl celkem,listopad 2017,Meziroční index (%) - očištěno o kalendářní vlivy,107.8593504336
Česko,Průmysl celkem,listopad 2017,Meziměsíční index (%) - sezónně očištěno,102.6001122615
Česko,Průmysl celkem,listopad 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,105.70126934
Česko,Průmysl celkem,říjen 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,104.30913044
Česko,Průmysl celkem,říjen 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,97.94152459
Česko,Průmysl celkem,říjen 2017,Meziroční index (%) - neočištěno,111.4056029705
Česko,Průmysl celkem,říjen 2017,Meziroční index (%) - očištěno o kalendářní vlivy,104.9238128842
Česko,Průmysl celkem,říjen 2017,Meziměsíční index (%) - sezónně očištěno,98.3408871392
Česko,Průmysl celkem,říjen 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,100.50522091
Česko,Průmysl celkem,září 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,102.75244497
Česko,Průmysl celkem,září 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.59389979
Česko,Průmysl celkem,září 2017,Meziroční index (%) - neočištěno,105.148304561
Česko,Průmysl celkem,září 2017,Meziroční index (%) - očištěno o kalendářní vlivy,108.1928442667
Česko,Průmysl celkem,září 2017,Meziměsíční index (%) - sezónně očištěno,100.8709281308
Česko,Průmysl celkem,září 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.21280421
Česko,Průmysl celkem,srpen 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.38249135
Česko,Průmysl celkem,srpen 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.73399763
Česko,Průmysl celkem,srpen 2017,Meziroční index (%) - neočištěno,106.3703370264
Česko,Průmysl celkem,srpen 2017,Meziroční index (%) - očištěno o kalendářní vlivy,106.3083690487
Česko,Průmysl celkem,srpen 2017,Meziměsíční index (%) - sezónně očištěno,102.4342830053
Česko,Průmysl celkem,srpen 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,80.41212492
Česko,Průmysl celkem,červenec 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,85.61398734
Česko,Průmysl celkem,červenec 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,96.38764946
Česko,Průmysl celkem,červenec 2017,Meziroční index (%) - neočištěno,104.7680653418
Česko,Průmysl celkem,červenec 2017,Meziroční index (%) - očištěno o kalendářní vlivy,104.6450070811
Česko,Průmysl celkem,červenec 2017,Meziměsíční index (%) - sezónně očištěno,99.7536361761
Česko,Průmysl celkem,červenec 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,102.95760698
Česko,Průmysl celkem,červen 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,101.39774788
Česko,Průmysl celkem,červen 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,96.62570023
Česko,Průmysl celkem,červen 2017,Meziroční index (%) - neočištěno,104.2661678857
Česko,Průmysl celkem,červen 2017,Meziroční index (%) - očištěno o kalendářní vlivy,104.2165579133
Česko,Průmysl celkem,červen 2017,Meziměsíční index (%) - sezónně očištěno,96.4752634671
Česko,Průmysl celkem,červen 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,103.15156926
Česko,Průmysl celkem,květen 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,102.47345415
Česko,Průmysl celkem,květen 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.15593299
Česko,Průmysl celkem,květen 2017,Meziroční index (%) - neočištěno,109.4623470713
Česko,Průmysl celkem,květen 2017,Meziroční index (%) - očištěno o kalendářní vlivy,112.3778391554
Česko,Průmysl celkem,květen 2017,Meziměsíční index (%) - sezónně očištěno,101.2739849934
Česko,Průmysl celkem,květen 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,93.5094388
Česko,Průmysl celkem,duben 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,99.06023848
Česko,Průmysl celkem,duben 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.89601263
Česko,Průmysl celkem,duben 2017,Meziroční index (%) - neočištěno,99.1157338064
Česko,Průmysl celkem,duben 2017,Meziroční index (%) - očištěno o kalendářní vlivy,107.8925799963
Česko,Průmysl celkem,duben 2017,Meziměsíční index (%) - sezónně očištěno,103.2589197199
Česko,Průmysl celkem,duben 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,107.4977531
Česko,Průmysl celkem,březen 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,103.28369982
Česko,Průmysl celkem,březen 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,95.77478914
Česko,Průmysl celkem,březen 2017,Meziroční index (%) - neočištěno,110.8183009678
Česko,Průmysl celkem,březen 2017,Meziroční index (%) - očištěno o kalendářní vlivy,104.4214791704
Česko,Průmysl celkem,březen 2017,Meziměsíční index (%) - sezónně očištěno,99.7137689632
Česko,Průmysl celkem,březen 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,únor 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,93.16716595
Česko,Průmysl celkem,únor 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,93.11908891
Česko,Průmysl celkem,únor 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,96.04971323
Česko,Průmysl celkem,únor 2017,Meziroční index (%) - neočištěno,103.096856175
Česko,Průmysl celkem,únor 2017,Meziroční index (%) - očištěno o kalendářní vlivy,103.8668677961
Česko,Průmysl celkem,únor 2017,Meziměsíční index (%) - sezónně očištěno,101.1155844022
Česko,Průmysl celkem,únor 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,leden 2017,Bazický index (průměr roku 2021=100) (%) - neočištěno ,93.69354772
Česko,Průmysl celkem,leden 2017,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.02611644
Česko,Průmysl celkem,leden 2017,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,94.99001939
Česko,Průmysl celkem,leden 2017,Meziroční index (%) - neočištěno,111.3196111383
Česko,Průmysl celkem,leden 2017,Meziroční index (%) - očištěno o kalendářní vlivy,105.1409792638
Česko,Průmysl celkem,leden 2017,Meziměsíční index (%) - sezónně očištěno,102.4044709657
Česko,Průmysl celkem,leden 2017,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,87.96127186
Česko,Průmysl celkem,prosinec 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,85.79487736
Česko,Průmysl celkem,prosinec 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,92.75964076
Česko,Průmysl celkem,prosinec 2016,Meziroční index (%) - neočištěno,104.0618727086
Česko,Průmysl celkem,prosinec 2016,Meziroční index (%) - očištěno o kalendářní vlivy,103.5778578562
Česko,Průmysl celkem,prosinec 2016,Meziměsíční index (%) - sezónně očištěno,99.5713917065
Česko,Průmysl celkem,prosinec 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,100.90209014
Česko,Průmysl celkem,listopad 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,100.61962279
Česko,Průmysl celkem,listopad 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,93.15892765
Česko,Průmysl celkem,listopad 2016,Meziroční index (%) - neočištěno,107.6232849869
Česko,Průmysl celkem,listopad 2016,Meziroční index (%) - očištěno o kalendářní vlivy,104.4868302644
Česko,Průmysl celkem,listopad 2016,Meziměsíční index (%) - sezónně očištěno,99.8005954187
Česko,Průmysl celkem,listopad 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.87967079
Česko,Průmysl celkem,říjen 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,99.41416307
Česko,Průmysl celkem,říjen 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,93.34506198
Česko,Průmysl celkem,říjen 2016,Meziroční index (%) - neočištěno,99.0493484895
Česko,Průmysl celkem,říjen 2016,Meziroční index (%) - očištěno o kalendářní vlivy,102.0233217636
Česko,Průmysl celkem,říjen 2016,Meziměsíční index (%) - sezónně očištěno,101.5073633136
Česko,Průmysl celkem,říjen 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,95.58425248
Česko,Průmysl celkem,září 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,94.97157198
Česko,Průmysl celkem,září 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,91.95890715
Česko,Průmysl celkem,září 2016,Meziroční index (%) - neočištěno,103.0801651952
Česko,Průmysl celkem,září 2016,Meziroční index (%) - očištěno o kalendářní vlivy,102.5328968137
Česko,Průmysl celkem,září 2016,Meziměsíční index (%) - sezónně očištěno,99.0405844492
Česko,Průmysl celkem,září 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,88.57056097
Česko,Průmysl celkem,srpen 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,86.90048787
Česko,Průmysl celkem,srpen 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,92.84972182
Česko,Průmysl celkem,srpen 2016,Meziroční index (%) - neočištěno,113.6635681415
Česko,Průmysl celkem,srpen 2016,Meziroční index (%) - očištěno o kalendářní vlivy,106.0666509218
Česko,Průmysl celkem,srpen 2016,Meziměsíční index (%) - sezónně očištěno,101.7034731381
Česko,Průmysl celkem,srpen 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,76.75251486
Česko,Průmysl celkem,červenec 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,81.81373362
Česko,Průmysl celkem,červenec 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,91.29454379
Česko,Průmysl celkem,červenec 2016,Meziroční index (%) - neočištěno,87.1419705492
Česko,Průmysl celkem,červenec 2016,Meziroční index (%) - očištěno o kalendářní vlivy,95.4016003039
Česko,Průmysl celkem,červenec 2016,Meziměsíční index (%) - sezónně očištěno,98.310790276
Česko,Průmysl celkem,červenec 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,98.74498034
Česko,Průmysl celkem,červen 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,97.29523783
Česko,Průmysl celkem,červen 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,92.86319796
Česko,Průmysl celkem,červen 2016,Meziroční index (%) - neočištěno,104.6200182672
Česko,Průmysl celkem,červen 2016,Meziroční index (%) - očištěno o kalendářní vlivy,103.6834967793
Česko,Průmysl celkem,červen 2016,Meziměsíční index (%) - sezónně očištěno,103.7368169977
Česko,Průmysl celkem,červen 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.23475014
Česko,Průmysl celkem,květen 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,91.1865319
Česko,Průmysl celkem,květen 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,89.51807145
Česko,Průmysl celkem,květen 2016,Meziroční index (%) - neočištěno,109.3940342823
Česko,Průmysl celkem,květen 2016,Meziroční index (%) - očištěno o kalendářní vlivy,99.5538323517
Česko,Průmysl celkem,květen 2016,Meziměsíční index (%) - sezónně očištěno,97.6575494849
Česko,Průmysl celkem,květen 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,94.34368814
Česko,Průmysl celkem,duben 2016,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,91.81376373
Česko,Průmysl celkem,duben 2016,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,91.6652854
Česko,Průmysl celkem,duben 2016,Meziroční index (%) - neočištěno,104.4106961055
Česko,Průmysl celkem,duben 2016,Meziroční index (%) - očištěno o kalendářní vlivy,101.7160153125
Česko,Průmysl celkem,duben 2016,Meziměsíční index (%) - sezónně očištěno,99.8725117765
Česko,Průmysl celkem,duben 2016,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2016,Bazický index (průměr roku 2021=100) (%) - neočištěno ,97.00361056
