Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,leden 2025,Meziměsíční index (%) - sezónně očištěno,99.3254172566
Česko,Průmysl celkem,leden 2025,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,prosinec 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,90.09710762
Česko,Průmysl celkem,prosinec 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,92.7109861
Česko,Průmysl celkem,prosinec 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.08745948
Česko,Průmysl celkem,prosinec 2024,Meziroční index (%) - neočištěno,97.2713049884
Česko,Průmysl celkem,prosinec 2024,Meziroční index (%) - očištěno o kalendářní vlivy,97.2805297542
Česko,Průmysl celkem,prosinec 2024,Meziměsíční index (%) - sezónně očištěno,102.0094544579
Česko,Průmysl celkem,prosinec 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,listopad 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,106.90857884
Česko,Průmysl celkem,listopad 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,106.00203421
Česko,Průmysl celkem,listopad 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.11586584
Česko,Průmysl celkem,listopad 2024,Meziroční index (%) - neočištěno,97.6476636133
Česko,Průmysl celkem,listopad 2024,Meziroční index (%) - očištěno o kalendářní vlivy,97.648746924
Česko,Průmysl celkem,listopad 2024,Meziměsíční index (%) - sezónně očištěno,98.394090352
Česko,Průmysl celkem,listopad 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,říjen 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,107.59584196
Česko,Průmysl celkem,říjen 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,105.76062356
Česko,Průmysl celkem,říjen 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.71723453
Česko,Průmysl celkem,říjen 2024,Meziroční index (%) - neočištěno,98.4199060244
Česko,Průmysl celkem,říjen 2024,Meziroční index (%) - očištěno o kalendářní vlivy,98.4104105664
Česko,Průmysl celkem,říjen 2024,Meziměsíční index (%) - sezónně očištěno,99.5868470546
Česko,Průmysl celkem,říjen 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,září 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,104.43665555
Česko,Průmysl celkem,září 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,103.54301262
Česko,Průmysl celkem,září 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.13092841
Česko,Průmysl celkem,září 2024,Meziroční index (%) - neočištěno,104.9983712586
Česko,Průmysl celkem,září 2024,Meziroční index (%) - očištěno o kalendářní vlivy,101.8754598562
Česko,Průmysl celkem,září 2024,Meziměsíční index (%) - sezónně očištěno,99.365955695
Česko,Průmysl celkem,září 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,srpen 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,93.31535138
Česko,Průmysl celkem,srpen 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,93.71774077
Česko,Průmysl celkem,srpen 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.76985393
Česko,Průmysl celkem,srpen 2024,Meziroční index (%) - neočištěno,98.859444466
Česko,Průmysl celkem,srpen 2024,Meziroční index (%) - očištěno o kalendářní vlivy,101.8608728128
Česko,Průmysl celkem,srpen 2024,Meziměsíční index (%) - sezónně očištěno,102.0158857108
Česko,Průmysl celkem,srpen 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červenec 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,91.86916607
Česko,Průmysl celkem,červenec 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,88.41390581
Česko,Průmysl celkem,červenec 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.77859044
Česko,Průmysl celkem,červenec 2024,Meziroční index (%) - neočištěno,107.582314022
Česko,Průmysl celkem,červenec 2024,Meziroční index (%) - očištěno o kalendářní vlivy,98.3485703473
Česko,Průmysl celkem,červenec 2024,Meziměsíční index (%) - sezónně očištěno,98.9906186937
Česko,Průmysl celkem,červenec 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,červen 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,100.53151813
Česko,Průmysl celkem,červen 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,104.98149993
Česko,Průmysl celkem,červen 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.78580975
Česko,Průmysl celkem,červen 2024,Meziroční index (%) - neočištěno,91.6842194486
Česko,Průmysl celkem,červen 2024,Meziroční index (%) - očištěno o kalendářní vlivy,97.4297974497
Česko,Průmysl celkem,červen 2024,Meziměsíční index (%) - sezónně očištěno,100.9414764801
Česko,Průmysl celkem,červen 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,květen 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,101.4912393
Česko,Průmysl celkem,květen 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,100.6117269
Česko,Průmysl celkem,květen 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,98.85511212
Česko,Průmysl celkem,květen 2024,Meziroční index (%) - neočištěno,97.571070305
Česko,Průmysl celkem,květen 2024,Meziroční index (%) - očištěno o kalendářní vlivy,97.5753025745
