Ukazatel;Území;Rodinný stav ženicha;Věk ženicha (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;25;2019;1754.0
Sňatky;Česko;Celkem;25;2018;1804.0
Sňatky;Česko;Celkem;25;2017;1692.0
Sňatky;Česko;Celkem;25;2016;1772.0
Sňatky;Česko;Celkem;25;2015;1534.0
Sňatky;Česko;Celkem;25;2014;1560.0
Sňatky;Česko;Celkem;25;2013;1443.0
Sňatky;Česko;Celkem;25;2012;1535.0
Sňatky;Česko;Celkem;25;2011;1647.0
Sňatky;Česko;Celkem;25;2010;1782.0
Sňatky;Česko;Celkem;25;2009;1881.0
Sňatky;Česko;Celkem;25;2008;2276.0
Sňatky;Česko;Celkem;25;2007;2613.0
Sňatky;Česko;Celkem;25;2006;2702.0
Sňatky;Česko;Celkem;25;2005;3242.0
Sňatky;Česko;Celkem;25;2004;3430.0
Sňatky;Česko;Celkem;25;2003;3750.0
Sňatky;Česko;Celkem;25;2002;4433.0
Sňatky;Česko;Celkem;25;2001;4589.0
Sňatky;Česko;Celkem;26;2024;
Sňatky;Česko;Celkem;26;2023;1621.0
Sňatky;Česko;Celkem;26;2022;1938.0
Sňatky;Česko;Celkem;26;2021;1724.0
Sňatky;Česko;Celkem;26;2020;1765.0
Sňatky;Česko;Celkem;26;2019;2461.0
Sňatky;Česko;Celkem;26;2018;2437.0
Sňatky;Česko;Celkem;26;2017;2458.0
Sňatky;Česko;Celkem;26;2016;2168.0
Sňatky;Česko;Celkem;26;2015;2005.0
Sňatky;Česko;Celkem;26;2014;2016.0
Sňatky;Česko;Celkem;26;2013;1952.0
Sňatky;Česko;Celkem;26;2012;2110.0
Sňatky;Česko;Celkem;26;2011;2190.0
Sňatky;Česko;Celkem;26;2010;2231.0
Sňatky;Česko;Celkem;26;2009;2365.0
Sňatky;Česko;Celkem;26;2008;2837.0
Sňatky;Česko;Celkem;26;2007;3349.0
Sňatky;Česko;Celkem;26;2006;3617.0
Sňatky;Česko;Celkem;26;2005;3900.0
Sňatky;Česko;Celkem;26;2004;4041.0
Sňatky;Česko;Celkem;26;2003;4149.0
Sňatky;Česko;Celkem;26;2002;4660.0
Sňatky;Česko;Celkem;26;2001;4845.0
Sňatky;Česko;Celkem;27;2024;
Sňatky;Česko;Celkem;27;2023;1883.0
Sňatky;Česko;Celkem;27;2022;2292.0
Sňatky;Česko;Celkem;27;2021;2200.0
Sňatky;Česko;Celkem;27;2020;2329.0
Sňatky;Česko;Celkem;27;2019;2747.0
Sňatky;Česko;Celkem;27;2018;3026.0
Sňatky;Česko;Celkem;27;2017;2779.0
Sňatky;Česko;Celkem;27;2016;2687.0
Sňatky;Česko;Celkem;27;2015;2640.0
Sňatky;Česko;Celkem;27;2014;2501.0
Sňatky;Česko;Celkem;27;2013;2379.0
Sňatky;Česko;Celkem;27;2012;2505.0
Sňatky;Česko;Celkem;27;2011;2498.0
Sňatky;Česko;Celkem;27;2010;2781.0
Sňatky;Česko;Celkem;27;2009;2971.0
Sňatky;Česko;Celkem;27;2008;3430.0
Sňatky;Česko;Celkem;27;2007;4166.0
Sňatky;Česko;Celkem;27;2006;4149.0
Sňatky;Česko;Celkem;27;2005;4280.0
Sňatky;Česko;Celkem;27;2004;4444.0
Sňatky;Česko;Celkem;27;2003;4198.0
Sňatky;Česko;Celkem;27;2002;4453.0
Sňatky;Česko;Celkem;27;2001;4509.0
Sňatky;Česko;Celkem;28;2024;
Sňatky;Česko;Celkem;28;2023;2193.0
Sňatky;Česko;Celkem;28;2022;2897.0
Sňatky;Česko;Celkem;28;2021;2609.0
Sňatky;Česko;Celkem;28;2020;2579.0
Sňatky;Česko;Celkem;28;2019;3320.0
Sňatky;Česko;Celkem;28;2018;3110.0
Sňatky;Česko;Celkem;28;2017;3096.0
Sňatky;Česko;Celkem;28;2016;3104.0
Sňatky;Česko;Celkem;28;2015;3005.0
Sňatky;Česko;Celkem;28;2014;2750.0
Sňatky;Česko;Celkem;28;2013;2762.0
Sňatky;Česko;Celkem;28;2012;2890.0
Sňatky;Česko;Celkem;28;2011;2847.0
Sňatky;Česko;Celkem;28;2010;3085.0
Sňatky;Česko;Celkem;28;2009;3227.0
Sňatky;Česko;Celkem;28;2008;3918.0
Sňatky;Česko;Celkem;28;2007;4513.0
Sňatky;Česko;Celkem;28;2006;4452.0
Sňatky;Česko;Celkem;28;2005;4420.0
Sňatky;Česko;Celkem;28;2004;4349.0
Sňatky;Česko;Celkem;28;2003;4018.0
Sňatky;Česko;Celkem;28;2002;4206.0
Sňatky;Česko;Celkem;28;2001;3538.0
Sňatky;Česko;Celkem;29;2024;
Sňatky;Česko;Celkem;29;2023;2610.0
Sňatky;Česko;Celkem;29;2022;3133.0
Sňatky;Česko;Celkem;29;2021;2696.0
Sňatky;Česko;Celkem;29;2020;2766.0
Sňatky;Česko;Celkem;29;2019;3316.0
Sňatky;Česko;Celkem;29;2018;3364.0
Sňatky;Česko;Celkem;29;2017;3208.0
Sňatky;Česko;Celkem;29;2016;3145.0
Sňatky;Česko;Celkem;29;2015;3144.0
Sňatky;Česko;Celkem;29;2014;2976.0
Sňatky;Česko;Celkem;29;2013;2913.0
Sňatky;Česko;Celkem;29;2012;2965.0
Sňatky;Česko;Celkem;29;2011;3030.0
Sňatky;Česko;Celkem;29;2010;3193.0
Sňatky;Česko;Celkem;29;2009;3533.0
Sňatky;Česko;Celkem;29;2008;4130.0
Sňatky;Česko;Celkem;29;2007;4538.0
Sňatky;Česko;Celkem;29;2006;4298.0
Sňatky;Česko;Celkem;29;2005;4079.0
Sňatky;Česko;Celkem;29;2004;3928.0
Sňatky;Česko;Celkem;29;2003;3559.0
Sňatky;Česko;Celkem;29;2002;3408.0
Sňatky;Česko;Celkem;29;2001;2862.0
Sňatky;Česko;Celkem;30;2024;
Sňatky;Česko;Celkem;30;2023;2693.0
Sňatky;Česko;Celkem;30;2022;3050.0
Sňatky;Česko;Celkem;30;2021;2867.0
Sňatky;Česko;Celkem;30;2020;2618.0
Sňatky;Česko;Celkem;30;2019;3160.0
Sňatky;Česko;Celkem;30;2018;3305.0
Sňatky;Česko;Celkem;30;2017;3282.0
Sňatky;Česko;Celkem;30;2016;3223.0
Sňatky;Česko;Celkem;30;2015;3108.0
Sňatky;Česko;Celkem;30;2014;3004.0
Sňatky;Česko;Celkem;30;2013;2831.0
Sňatky;Česko;Celkem;30;2012;3076.0
Sňatky;Česko;Celkem;30;2011;2968.0
Sňatky;Česko;Celkem;30;2010;3420.0
Sňatky;Česko;Celkem;30;2009;3631.0
Sňatky;Česko;Celkem;30;2008;3862.0
Sňatky;Česko;Celkem;30;2007;4325.0
Sňatky;Česko;Celkem;30;2006;3902.0
Sňatky;Česko;Celkem;30;2005;3814.0
Sňatky;Česko;Celkem;30;2004;3543.0
Sňatky;Česko;Celkem;30;2003;2807.0
Sňatky;Česko;Celkem;30;2002;2635.0
Sňatky;Česko;Celkem;30;2001;2402.0
