Ukazatel,Roky,"ČR, kraje",Věk (pětileté skupiny),value
Míry plodnosti,2024,Karlovarský kraj,40 - 44,7.965686275
Míry plodnosti,2024,Karlovarský kraj,45 - 49,0.635626887
Míry plodnosti,2024,Ústecký kraj,15 - 49,35.62610024
Míry plodnosti,2024,Ústecký kraj,15 - 19,13.55651454
Míry plodnosti,2024,Ústecký kraj,20 - 24,54.89569817
Míry plodnosti,2024,Ústecký kraj,25 - 29,91.12256879
Míry plodnosti,2024,Ústecký kraj,30 - 34,75.06398691
Míry plodnosti,2024,Ústecký kraj,35 - 39,36.92827547
Míry plodnosti,2024,Ústecký kraj,40 - 44,7.859711563
Míry plodnosti,2024,Ústecký kraj,45 - 49,0.501652502
Míry plodnosti,2024,Liberecký kraj,15 - 49,33.71124192
Míry plodnosti,2024,Liberecký kraj,15 - 19,6.251001763
Míry plodnosti,2024,Liberecký kraj,20 - 24,38.00871419
Míry plodnosti,2024,Liberecký kraj,25 - 29,87.67483338
Míry plodnosti,2024,Liberecký kraj,30 - 34,82.61488867
Míry plodnosti,2024,Liberecký kraj,35 - 39,38.99432054
Míry plodnosti,2024,Liberecký kraj,40 - 44,9.847806625
Míry plodnosti,2024,Liberecký kraj,45 - 49,0.626206753
Míry plodnosti,2024,Královéhradecký kraj,15 - 49,36.02961004
Míry plodnosti,2024,Královéhradecký kraj,15 - 19,4.985707638
Míry plodnosti,2024,Královéhradecký kraj,20 - 24,32.7177994
Míry plodnosti,2024,Královéhradecký kraj,25 - 29,94.79336913
Míry plodnosti,2024,Královéhradecký kraj,30 - 34,93.52562515
Míry plodnosti,2024,Královéhradecký kraj,35 - 39,44.02998288
Míry plodnosti,2024,Královéhradecký kraj,40 - 44,8.324604443
Míry plodnosti,2024,Královéhradecký kraj,45 - 49,0.614574188
Míry plodnosti,2024,Pardubický kraj,15 - 49,37.54110666
Míry plodnosti,2024,Pardubický kraj,15 - 19,5.603234272
Míry plodnosti,2024,Pardubický kraj,20 - 24,34.08726339
Míry plodnosti,2024,Pardubický kraj,25 - 29,98.20107468
Míry plodnosti,2024,Pardubický kraj,30 - 34,96.95152424
Míry plodnosti,2024,Pardubický kraj,35 - 39,43.75298045
Míry plodnosti,2024,Pardubický kraj,40 - 44,7.916760914
Míry plodnosti,2024,Pardubický kraj,45 - 49,0.453967678
Míry plodnosti,2024,Kraj Vysočina,15 - 49,39.17859785
Míry plodnosti,2024,Kraj Vysočina,15 - 19,4.677060134
Míry plodnosti,2024,Kraj Vysočina,20 - 24,35.87517405
Míry plodnosti,2024,Kraj Vysočina,25 - 29,103.0622851
Míry plodnosti,2024,Kraj Vysočina,30 - 34,100.7962711
Míry plodnosti,2024,Kraj Vysočina,35 - 39,42.11861719
Míry plodnosti,2024,Kraj Vysočina,40 - 44,9.525510508
Míry plodnosti,2024,Kraj Vysočina,45 - 49,0.631129236
Míry plodnosti,2024,Jihomoravský kraj,15 - 49,36.97763655
Míry plodnosti,2024,Jihomoravský kraj,15 - 19,3.95983147
Míry plodnosti,2024,Jihomoravský kraj,20 - 24,29.36773826
Míry plodnosti,2024,Jihomoravský kraj,25 - 29,88.31840932
Míry plodnosti,2024,Jihomoravský kraj,30 - 34,99.21736935
Míry plodnosti,2024,Jihomoravský kraj,35 - 39,45.60738811
Míry plodnosti,2024,Jihomoravský kraj,40 - 44,9.64515626
Míry plodnosti,2024,Jihomoravský kraj,45 - 49,0.704018774
Míry plodnosti,2024,Olomoucký kraj,15 - 49,37.52628662
Míry plodnosti,2024,Olomoucký kraj,15 - 19,5.684878224
Míry plodnosti,2024,Olomoucký kraj,20 - 24,36.83595629
Míry plodnosti,2024,Olomoucký kraj,25 - 29,94.05133777
Míry plodnosti,2024,Olomoucký kraj,30 - 34,95.8998935
Míry plodnosti,2024,Olomoucký kraj,35 - 39,47.05520529
Míry plodnosti,2024,Olomoucký kraj,40 - 44,8.748285809
Míry plodnosti,2024,Olomoucký kraj,45 - 49,0.874624482
Míry plodnosti,2024,Zlínský kraj,15 - 49,37.52109349
Míry plodnosti,2024,Zlínský kraj,15 - 19,2.76858667
Míry plodnosti,2024,Zlínský kraj,20 - 24,28.16477144
Míry plodnosti,2024,Zlínský kraj,25 - 29,97.11798259
