Území,Země,Čtvrtletí,Ukazatel,value
Česko,Svět celkem,2. čtvrtletí 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",1545097.328067
Česko,Svět celkem,2. čtvrtletí 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",1374094.718374
Česko,Svět celkem,2. čtvrtletí 2025,Bilance - pohyb zboží (v mil. Kč),171002.609693
Česko,Svět celkem,2. čtvrtletí 2025,Obrat - pohyb zboží (v mil. Kč),2919192.046441
Česko,Svět celkem,2. čtvrtletí 2025,Pohyb zboží z ČR (meziroční index ),101.212675764
Česko,Svět celkem,2. čtvrtletí 2025,Pohyb zboží do ČR (meziroční index),102.3319226153
Česko,Svět celkem,2. čtvrtletí 2025,Obrat pohybu zboží (meziroční index),101.7364514523
Česko,Svět celkem,1. čtvrtletí 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",1579812.349063
Česko,Svět celkem,1. čtvrtletí 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",1387402.247359
Česko,Svět celkem,1. čtvrtletí 2025,Bilance - pohyb zboží (v mil. Kč),192410.101704
Česko,Svět celkem,1. čtvrtletí 2025,Obrat - pohyb zboží (v mil. Kč),2967214.596422
Česko,Svět celkem,1. čtvrtletí 2025,Pohyb zboží z ČR (meziroční index ),104.3433757093
Česko,Svět celkem,1. čtvrtletí 2025,Pohyb zboží do ČR (meziroční index),104.8776731062
Česko,Svět celkem,1. čtvrtletí 2025,Obrat pohybu zboží (meziroční index),104.5925218052
Česko,Svět celkem,4. čtvrtletí 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",1591589.045156
Česko,Svět celkem,4. čtvrtletí 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",1426098.180933
Česko,Svět celkem,4. čtvrtletí 2024,Bilance - pohyb zboží (v mil. Kč),165490.864223
Česko,Svět celkem,4. čtvrtletí 2024,Obrat - pohyb zboží (v mil. Kč),3017687.226089
Česko,Svět celkem,4. čtvrtletí 2024,Pohyb zboží z ČR (meziroční index ),108.0752660606
Česko,Svět celkem,4. čtvrtletí 2024,Pohyb zboží do ČR (meziroční index),107.7097184074
Česko,Svět celkem,4. čtvrtletí 2024,Obrat pohybu zboží (meziroční index),107.9022068819
Česko,Svět celkem,3. čtvrtletí 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",1476597.746185
Česko,Svět celkem,3. čtvrtletí 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",1321677.4035
Česko,Svět celkem,3. čtvrtletí 2024,Bilance - pohyb zboží (v mil. Kč),154920.342685
Česko,Svět celkem,3. čtvrtletí 2024,Obrat - pohyb zboží (v mil. Kč),2798275.149685
Česko,Svět celkem,3. čtvrtletí 2024,Pohyb zboží z ČR (meziroční index ),111.473611279
Česko,Svět celkem,3. čtvrtletí 2024,Pohyb zboží do ČR (meziroční index),107.486578994
Česko,Svět celkem,3. čtvrtletí 2024,Obrat pohybu zboží (meziroční index),109.5542367009
Česko,Svět celkem,2. čtvrtletí 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",1526584.80413
Česko,Svět celkem,2. čtvrtletí 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",1342782.079391
Česko,Svět celkem,2. čtvrtletí 2024,Bilance - pohyb zboží (v mil. Kč),183802.724739
Česko,Svět celkem,2. čtvrtletí 2024,Obrat - pohyb zboží (v mil. Kč),2869366.883521
Česko,Svět celkem,2. čtvrtletí 2024,Pohyb zboží z ČR (meziroční index ),108.2128792002
Česko,Svět celkem,2. čtvrtletí 2024,Pohyb zboží do ČR (meziroční index),105.1712153278
Česko,Svět celkem,2. čtvrtletí 2024,Obrat pohybu zboží (meziroční index),106.7678576947
Česko,Svět celkem,1. čtvrtletí 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",1514051.407983
Česko,Svět celkem,1. čtvrtletí 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",1322876.648831
Česko,Svět celkem,1. čtvrtletí 2024,Bilance - pohyb zboží (v mil. Kč),191174.759152
Česko,Svět celkem,1. čtvrtletí 2024,Obrat - pohyb zboží (v mil. Kč),2836928.056814
Česko,Svět celkem,1. čtvrtletí 2024,Pohyb zboží z ČR (meziroční index ),103.2123241157
Česko,Svět celkem,1. čtvrtletí 2024,Pohyb zboží do ČR (meziroční index),100.3632805818
Česko,Svět celkem,1. čtvrtletí 2024,Obrat pohybu zboží (meziroční index),101.8639335431
Česko,Svět celkem,4. čtvrtletí 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",1472667.246791
Česko,Svět celkem,4. čtvrtletí 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",1324019.969618
