Kategorie ubytovacího zařízení,Roky,Městské části/obvody statutárních měst,Ukazatel,value
HUZ celkem,2023,Praha-Přední Kopanina,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Přední Kopanina,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Přední Kopanina,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Přední Kopanina,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 16,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha 16,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 16,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 16,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Řeporyje,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha-Řeporyje,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Řeporyje,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Řeporyje,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Slivenec,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Slivenec,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Slivenec,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Slivenec,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 13,Počet hromadných ubytovacích zařízení,8.0
HUZ celkem,2023,Praha 13,Počet pokojů v hromadných ubytovacích zařízeních,186.0
HUZ celkem,2023,Praha 13,Počet lůžek v hromadných ubytovacích zařízeních,441.0
HUZ celkem,2023,Praha 13,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,65.0
HUZ celkem,2023,Praha-Šeberov,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha-Šeberov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Šeberov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Šeberov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Újezd,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Újezd,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Újezd,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Újezd,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Zbraslav,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Praha-Zbraslav,Počet pokojů v hromadných ubytovacích zařízeních,91.0
HUZ celkem,2023,Praha-Zbraslav,Počet lůžek v hromadných ubytovacích zařízeních,183.0
HUZ celkem,2023,Praha-Zbraslav,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Zličín,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha-Zličín,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Zličín,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Zličín,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Moravská Ostrava a Přívoz,Počet hromadných ubytovacích zařízení,24.0
HUZ celkem,2023,Moravská Ostrava a Přívoz,Počet pokojů v hromadných ubytovacích zařízeních,942.0
HUZ celkem,2023,Moravská Ostrava a Přívoz,Počet lůžek v hromadných ubytovacích zařízeních,1953.0
HUZ celkem,2023,Moravská Ostrava a Přívoz,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 1,Počet hromadných ubytovacích zařízení,14.0
HUZ celkem,2023,Plzeň 1,Počet pokojů v hromadných ubytovacích zařízeních,445.0
HUZ celkem,2023,Plzeň 1,Počet lůžek v hromadných ubytovacích zařízeních,1007.0
HUZ celkem,2023,Plzeň 1,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,160.0
HUZ celkem,2023,Plzeň 2-Slovany,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Plzeň 2-Slovany,Počet pokojů v hromadných ubytovacích zařízeních,432.0
HUZ celkem,2023,Plzeň 2-Slovany,Počet lůžek v hromadných ubytovacích zařízeních,914.0
HUZ celkem,2023,Plzeň 2-Slovany,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 3,Počet hromadných ubytovacích zařízení,37.0
HUZ celkem,2023,Plzeň 3,Počet pokojů v hromadných ubytovacích zařízeních,1465.0
HUZ celkem,2023,Plzeň 3,Počet lůžek v hromadných ubytovacích zařízeních,2941.0
HUZ celkem,2023,Plzeň 3,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Slezská Ostrava,Počet hromadných ubytovacích zařízení,11.0
HUZ celkem,2023,Slezská Ostrava,Počet pokojů v hromadných ubytovacích zařízeních,319.0
HUZ celkem,2023,Slezská Ostrava,Počet lůžek v hromadných ubytovacích zařízeních,669.0
HUZ celkem,2023,Slezská Ostrava,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Ostrava-Jih,Počet hromadných ubytovacích zařízení,10.0
HUZ celkem,2023,Ostrava-Jih,Počet pokojů v hromadných ubytovacích zařízeních,679.0
HUZ celkem,2023,Ostrava-Jih,Počet lůžek v hromadných ubytovacích zařízeních,1350.0
HUZ celkem,2023,Ostrava-Jih,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 4,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Plzeň 4,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 4,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 4,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Poruba,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Poruba,Počet pokojů v hromadných ubytovacích zařízeních,151.0
HUZ celkem,2023,Poruba,Počet lůžek v hromadných ubytovacích zařízeních,275.0
HUZ celkem,2023,Poruba,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 11,Počet hromadných ubytovacích zařízení,10.0
HUZ celkem,2023,Praha 11,Počet pokojů v hromadných ubytovacích zařízeních,1010.0
HUZ celkem,2023,Praha 11,Počet lůžek v hromadných ubytovacích zařízeních,2140.0
HUZ celkem,2023,Praha 11,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Kunratice,Počet hromadných ubytovacích zařízení,7.0
HUZ celkem,2023,Praha-Kunratice,Počet pokojů v hromadných ubytovacích zařízeních,709.0
HUZ celkem,2023,Praha-Kunratice,Počet lůžek v hromadných ubytovacích zařízeních,1101.0
HUZ celkem,2023,Praha-Kunratice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Libuš,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Praha-Libuš,Počet pokojů v hromadných ubytovacích zařízeních,71.0
HUZ celkem,2023,Praha-Libuš,Počet lůžek v hromadných ubytovacích zařízeních,154.0
HUZ celkem,2023,Praha-Libuš,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 12,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha 12,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 12,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 12,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Velká Chuchle,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha-Velká Chuchle,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Velká Chuchle,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Velká Chuchle,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Lysolaje,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Lysolaje,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Lysolaje,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Lysolaje,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Nebušice,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha-Nebušice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Nebušice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Nebušice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 17,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha 17,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 17,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 17,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Suchdol,Počet hromadných ubytovacích zařízení,4.0
HUZ celkem,2023,Praha-Suchdol,Počet pokojů v hromadných ubytovacích zařízeních,191.0
HUZ celkem,2023,Praha-Suchdol,Počet lůžek v hromadných ubytovacích zařízeních,405.0
HUZ celkem,2023,Praha-Suchdol,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Ďáblice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Ďáblice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Ďáblice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Ďáblice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Dolní Chabry,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha-Dolní Chabry,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Dolní Chabry,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Dolní Chabry,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Čakovice,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Praha-Čakovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Čakovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Čakovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Troja,Počet hromadných ubytovacích zařízení,13.0
HUZ celkem,2023,Praha-Troja,Počet pokojů v hromadných ubytovacích zařízeních,100.0
HUZ celkem,2023,Praha-Troja,Počet lůžek v hromadných ubytovacích zařízeních,464.0
HUZ celkem,2023,Praha-Troja,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,286.0
HUZ celkem,2023,Praha 19,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha 19,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 19,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha 19,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 14,Počet hromadných ubytovacích zařízení,9.0
HUZ celkem,2023,Praha 14,Počet pokojů v hromadných ubytovacích zařízeních,182.0
HUZ celkem,2023,Praha 14,Počet lůžek v hromadných ubytovacích zařízeních,391.0
HUZ celkem,2023,Praha 14,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Dolní Měcholupy,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Praha-Dolní Měcholupy,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Dolní Měcholupy,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Dolní Měcholupy,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 15,Počet hromadných ubytovacích zařízení,7.0
HUZ celkem,2023,Praha 15,Počet pokojů v hromadných ubytovacích zařízeních,215.0
HUZ celkem,2023,Praha 15,Počet lůžek v hromadných ubytovacích zařízeních,525.0
HUZ celkem,2023,Praha 15,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Petrovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Praha-Petrovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Petrovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Petrovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha-Štěrboholy,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Praha-Štěrboholy,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Štěrboholy,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Praha-Štěrboholy,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Praha 18,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Praha 18,Počet pokojů v hromadných ubytovacích zařízeních,123.0
HUZ celkem,2023,Praha 18,Počet lůžek v hromadných ubytovacích zařízeních,275.0
HUZ celkem,2023,Praha 18,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-střed,Počet hromadných ubytovacích zařízení,51.0
HUZ celkem,2023,Brno-střed,Počet pokojů v hromadných ubytovacích zařízeních,3212.0
HUZ celkem,2023,Brno-střed,Počet lůžek v hromadných ubytovacích zařízeních,6697.0
HUZ celkem,2023,Brno-střed,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Žabovřesky,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Žabovřesky,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Žabovřesky,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Žabovřesky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Královo Pole,Počet hromadných ubytovacích zařízení,19.0
HUZ celkem,2023,Brno-Královo Pole,Počet pokojů v hromadných ubytovacích zařízeních,989.0
HUZ celkem,2023,Brno-Královo Pole,Počet lůžek v hromadných ubytovacích zařízeních,1890.0
HUZ celkem,2023,Brno-Královo Pole,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-sever,Počet hromadných ubytovacích zařízení,8.0
HUZ celkem,2023,Brno-sever,Počet pokojů v hromadných ubytovacích zařízeních,117.0
HUZ celkem,2023,Brno-sever,Počet lůžek v hromadných ubytovacích zařízeních,270.0
HUZ celkem,2023,Brno-sever,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Židenice,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Brno-Židenice,Počet pokojů v hromadných ubytovacích zařízeních,63.0
HUZ celkem,2023,Brno-Židenice,Počet lůžek v hromadných ubytovacích zařízeních,119.0
HUZ celkem,2023,Brno-Židenice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Černovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Černovice,Počet pokojů v hromadných ubytovacích zařízeních,
