Ukazatel;Věk (roky);Pohlaví;Kraje;Dvouleté období (kraje);value
Naděje dožití (ex);0;muži;Hlavní město Praha;2001-2002;73.65891442
Naděje dožití (ex);0;muži;Hlavní město Praha;2002-2003;73.7089732
Naděje dožití (ex);0;muži;Hlavní město Praha;2003-2004;74.08318252
Naděje dožití (ex);0;muži;Hlavní město Praha;2004-2005;74.7064031
Naděje dožití (ex);0;muži;Hlavní město Praha;2005-2006;75.19585439
Naděje dožití (ex);0;muži;Hlavní město Praha;2006-2007;75.55386499
Naděje dožití (ex);0;muži;Hlavní město Praha;2007-2008;75.91012886
Naděje dožití (ex);0;muži;Hlavní město Praha;2008-2009;76.23922461
Naděje dožití (ex);0;muži;Hlavní město Praha;2009-2010;76.31085674
Naděje dožití (ex);0;muži;Hlavní město Praha;2010-2011;76.52131925
Naděje dožití (ex);0;muži;Hlavní město Praha;2011-2012;76.8793987
Naděje dožití (ex);0;muži;Hlavní město Praha;2012-2013;77.19957221
Naděje dožití (ex);0;muži;Hlavní město Praha;2013-2014;77.44352481
Naděje dožití (ex);0;muži;Hlavní město Praha;2014-2015;77.53391106
Naděje dožití (ex);0;muži;Hlavní město Praha;2015-2016;77.69105278
Naděje dožití (ex);0;muži;Hlavní město Praha;2016-2017;78.0601298
Naděje dožití (ex);0;muži;Hlavní město Praha;2017-2018;78.2540592061
Naděje dožití (ex);0;muži;Hlavní město Praha;2018-2019;78.374001802
Naděje dožití (ex);0;muži;Hlavní město Praha;2019-2020;78.1557050008
Naděje dožití (ex);0;muži;Hlavní město Praha;2020-2021;77.0854793992
Naděje dožití (ex);0;muži;Hlavní město Praha;2021-2022;77.1106172989
Naděje dožití (ex);0;muži;Hlavní město Praha;2022-2023;78.20069236
Naděje dožití (ex);0;muži;Středočeský kraj;2001-2002;72.0312385
Naděje dožití (ex);0;muži;Středočeský kraj;2002-2003;71.94613619
Naděje dožití (ex);0;muži;Středočeský kraj;2003-2004;71.99482122
Naděje dožití (ex);0;muži;Středočeský kraj;2004-2005;72.4599087
Naděje dožití (ex);0;muži;Středočeský kraj;2005-2006;73.04986437
Naděje dožití (ex);0;muži;Středočeský kraj;2006-2007;73.49518885
Naděje dožití (ex);0;muži;Středočeský kraj;2007-2008;73.74727378
Naděje dožití (ex);0;muži;Středočeský kraj;2008-2009;74.02028375
Naděje dožití (ex);0;muži;Středočeský kraj;2009-2010;74.31223529
Naděje dožití (ex);0;muži;Středočeský kraj;2010-2011;74.68867384
Naděje dožití (ex);0;muži;Středočeský kraj;2011-2012;74.93511951
Naděje dožití (ex);0;muži;Středočeský kraj;2012-2013;75.08570884
Naděje dožití (ex);0;muži;Středočeský kraj;2013-2014;75.55859356
Naděje dožití (ex);0;muži;Středočeský kraj;2014-2015;75.96693775
Naděje dožití (ex);0;muži;Středočeský kraj;2015-2016;76.13865211
Naděje dožití (ex);0;muži;Středočeský kraj;2016-2017;76.27622162
Naděje dožití (ex);0;muži;Středočeský kraj;2017-2018;76.1370845775
Naděje dožití (ex);0;muži;Středočeský kraj;2018-2019;76.3196561062
Naděje dožití (ex);0;muži;Středočeský kraj;2019-2020;76.1585063348
Naděje dožití (ex);0;muži;Středočeský kraj;2020-2021;75.1255805487
Naděje dožití (ex);0;muži;Středočeský kraj;2021-2022;75.3987106673
