Ukazatel;Věkové skupiny;Pohlaví;Roky;Kraj vystěhování;Kraj přistěhování;value
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Hlavní město Praha;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Středočeský kraj;16751.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Jihočeský kraj;1330.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Plzeňský kraj;1181.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Karlovarský kraj;543.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Ústecký kraj;1623.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Liberecký kraj;934.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Královéhradecký kraj;968.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Pardubický kraj;725.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Kraj Vysočina;752.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Jihomoravský kraj;1178.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Olomoucký kraj;407.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Zlínský kraj;426.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Hlavní město Praha;Moravskoslezský kraj;783.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Hlavní město Praha;11228.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Středočeský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Jihočeský kraj;1127.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Plzeňský kraj;1266.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Karlovarský kraj;422.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Ústecký kraj;1525.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Liberecký kraj;1058.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Královéhradecký kraj;953.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Pardubický kraj;861.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Kraj Vysočina;775.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Jihomoravský kraj;744.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Olomoucký kraj;387.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Zlínský kraj;257.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Středočeský kraj;Moravskoslezský kraj;513.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Hlavní město Praha;1626.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Středočeský kraj;1068.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Jihočeský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Plzeňský kraj;654.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Karlovarský kraj;130.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Ústecký kraj;271.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Liberecký kraj;149.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Královéhradecký kraj;136.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Pardubický kraj;153.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Kraj Vysočina;574.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Jihomoravský kraj;393.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Olomoucký kraj;122.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Zlínský kraj;107.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihočeský kraj;Moravskoslezský kraj;237.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Hlavní město Praha;1549.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Středočeský kraj;1240.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Jihočeský kraj;608.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Plzeňský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Karlovarský kraj;753.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Ústecký kraj;378.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Liberecký kraj;173.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Královéhradecký kraj;194.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Pardubický kraj;171.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Kraj Vysočina;200.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Jihomoravský kraj;303.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Olomoucký kraj;151.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Zlínský kraj;130.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Plzeňský kraj;Moravskoslezský kraj;166.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Hlavní město Praha;904.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Středočeský kraj;487.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Jihočeský kraj;179.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Plzeňský kraj;787.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Karlovarský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Ústecký kraj;328.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Liberecký kraj;81.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Královéhradecký kraj;88.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Pardubický kraj;74.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Kraj Vysočina;97.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Jihomoravský kraj;160.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Olomoucký kraj;68.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Zlínský kraj;28.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Karlovarský kraj;Moravskoslezský kraj;117.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Hlavní město Praha;2173.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Středočeský kraj;1589.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Jihočeský kraj;252.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Plzeňský kraj;491.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Karlovarský kraj;410.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Ústecký kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Liberecký kraj;784.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Královéhradecký kraj;240.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Pardubický kraj;193.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Kraj Vysočina;171.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Jihomoravský kraj;282.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Olomoucký kraj;179.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Zlínský kraj;96.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Ústecký kraj;Moravskoslezský kraj;222.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Hlavní město Praha;1273.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Středočeský kraj;1112.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Jihočeský kraj;138.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Plzeňský kraj;182.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Karlovarský kraj;72.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Ústecký kraj;699.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Liberecký kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Královéhradecký kraj;540.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Pardubický kraj;163.0
