Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – červen 2024,102.2
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – červenec 2024,102.6
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – srpen 2024,102.8
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – září 2024,102.7
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – říjen 2024,102.7
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – listopad 2024,102.9
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – prosinec 2024,103.1
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden 2025,104.0
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – únor 2025,103.0
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – březen 2025,102.3
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – duben 2025,101.6
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – květen 2025,101.3
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – červen 2025,101.1
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – červenec 2025,100.6
Index vývozních cen (%),Meziroční index,Česko,Úhrn celkem,leden – srpen 2025,100.2
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – červen 2024,90.5
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – červenec 2024,91.8
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – srpen 2024,93.0
