Ukazatel;Území;Reprezentant;Čtvrtletí;value
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2015;1369.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2015;1374.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2015;1377.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2015;1361.6
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2016;1363.0
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2016;1364.4
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2016;1363.2
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2016;1364.2
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2017;1368.1
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2017;1333.3
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2017;1350.4
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2017;1350.4
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2018;1338.9
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2018;1340.6
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2018;1333.4
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2018;1319.1
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2019;1365.2
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2019;1394.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2019;1394.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2019;1394.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2020;1454.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2020;1491.2
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2020;1504.5
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2020;1509.1
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2021;1528.2
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2021;1526.6
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2021;1529.6
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2021;1533.5
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2022;1627.3
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2022;1678.7
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];3. čtvrtletí 2022;1737.0
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];4. čtvrtletí 2022;1739.0
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];1. čtvrtletí 2023;1736.8
Cena za poskytnutí tržní služby (Kč);Česko;Software analýza [hod];2. čtvrtletí 2023;1739.2
