Území;CZ-NACE;Čtvrtletí;Ukazatel;value
Česko;Průmysl celkem;1. čtvrtletí 2025;Bazický index (průměr roku 2021=100) (%) - neočištěno ;101.0771845533
Česko;Průmysl celkem;1. čtvrtletí 2025;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;101.2296843033
Česko;Průmysl celkem;1. čtvrtletí 2025;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.8149455267
Česko;Průmysl celkem;1. čtvrtletí 2025;Meziroční index (%) - neočištěno;100.7978613184
Česko;Průmysl celkem;1. čtvrtletí 2025;Meziroční index (%) - očištěno o kalendářní vlivy;100.7386776854
Česko;Průmysl celkem;1. čtvrtletí 2025;Mezičtvrtletní index (%) - sezónně očištěno;101.5372277464
Česko;Průmysl celkem;4. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - neočištěno ;101.5338428067
Česko;Průmysl celkem;4. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;101.4894384567
Česko;Průmysl celkem;4. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.2886528067
Česko;Průmysl celkem;4. čtvrtletí 2024;Meziroční index (%) - neočištěno;97.8068124283
Česko;Průmysl celkem;4. čtvrtletí 2024;Meziroční index (%) - očištěno o kalendářní vlivy;97.7992569427
Česko;Průmysl celkem;4. čtvrtletí 2024;Mezičtvrtletní index (%) - sezónně očištěno;99.4180094461
Česko;Průmysl celkem;3. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - neočištěno ;96.540391
Česko;Průmysl celkem;3. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;95.2351374967
Česko;Průmysl celkem;3. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.86988611
Česko;Průmysl celkem;3. čtvrtletí 2024;Meziroční index (%) - neočištěno;103.7134666467
Česko;Průmysl celkem;3. čtvrtletí 2024;Meziroční index (%) - očištěno o kalendářní vlivy;100.775219963
Česko;Průmysl celkem;3. čtvrtletí 2024;Mezičtvrtletní index (%) - sezónně očištěno;100.0547969533
Česko;Průmysl celkem;2. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - neočištěno ;102.0589397633
Česko;Průmysl celkem;2. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;102.1401386767
Česko;Průmysl celkem;2. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.8151904267
Česko;Průmysl celkem;2. čtvrtletí 2024;Meziroční index (%) - neočištěno;99.2756728281
Česko;Průmysl celkem;2. čtvrtletí 2024;Meziroční index (%) - očištěno o kalendářní vlivy;98.4458049259
Česko;Průmysl celkem;2. čtvrtletí 2024;Mezičtvrtletní index (%) - sezónně očištěno;99.5978677133
Česko;Průmysl celkem;1. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - neočištěno ;100.2771122633
Česko;Průmysl celkem;1. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;100.4874062567
Česko;Průmysl celkem;1. čtvrtletí 2024;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.2182001667
Česko;Průmysl celkem;1. čtvrtletí 2024;Meziroční index (%) - neočištěno;96.7681218006
Česko;Průmysl celkem;1. čtvrtletí 2024;Meziroční index (%) - očištěno o kalendářní vlivy;98.9446100206
Česko;Průmysl celkem;1. čtvrtletí 2024;Mezičtvrtletní index (%) - sezónně očištěno;98.7243605251
Česko;Průmysl celkem;4. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.8106040733
Česko;Průmysl celkem;4. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.7732204
Česko;Průmysl celkem;4. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.5131418767
Česko;Průmysl celkem;4. čtvrtletí 2023;Meziroční index (%) - neočištěno;99.5322710874
Česko;Průmysl celkem;4. čtvrtletí 2023;Meziroční index (%) - očištěno o kalendářní vlivy;99.2657911123
Česko;Průmysl celkem;4. čtvrtletí 2023;Mezičtvrtletní index (%) - sezónně očištěno;102.3094006329
Česko;Průmysl celkem;3. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - neočištěno ;93.08375674
Česko;Průmysl celkem;3. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;94.50253498
Česko;Průmysl celkem;3. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.2217149633
Česko;Průmysl celkem;3. čtvrtletí 2023;Meziroční index (%) - neočištěno;95.5123429883
Česko;Průmysl celkem;3. čtvrtletí 2023;Meziroční index (%) - očištěno o kalendářní vlivy;96.5620107326
Česko;Průmysl celkem;3. čtvrtletí 2023;Mezičtvrtletní index (%) - sezónně očištěno;97.8736895513
Česko;Průmysl celkem;2. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - neočištěno ;102.8035739833
Česko;Průmysl celkem;2. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.7526573667
Česko;Průmysl celkem;2. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.3773113267
Česko;Průmysl celkem;2. čtvrtletí 2023;Meziroční index (%) - neočištěno;98.3188636552
Česko;Průmysl celkem;2. čtvrtletí 2023;Meziroční index (%) - očištěno o kalendářní vlivy;100.2576339776
Česko;Průmysl celkem;2. čtvrtletí 2023;Mezičtvrtletní index (%) - sezónně očištěno;100.1061959687
Česko;Průmysl celkem;1. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.6261843233
Česko;Průmysl celkem;1. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;101.55925243
Česko;Průmysl celkem;1. čtvrtletí 2023;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.2697669167
Česko;Průmysl celkem;1. čtvrtletí 2023;Meziroční index (%) - neočištěno;101.5273541254
Česko;Průmysl celkem;1. čtvrtletí 2023;Meziroční index (%) - očištěno o kalendářní vlivy;100.5475382006
Česko;Průmysl celkem;1. čtvrtletí 2023;Mezičtvrtletní index (%) - sezónně očištěno;99.3638766102
Česko;Průmysl celkem;4. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - neočištěno ;104.2984380233
Česko;Průmysl celkem;4. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;104.54076801
Česko;Průmysl celkem;4. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.9180917367
Česko;Průmysl celkem;4. čtvrtletí 2022;Meziroční index (%) - neočištěno;101.4984927662
Česko;Průmysl celkem;4. čtvrtletí 2022;Meziroční index (%) - očištěno o kalendářní vlivy;102.3894009615
Česko;Průmysl celkem;4. čtvrtletí 2022;Mezičtvrtletní index (%) - sezónně očištěno;99.1428292577
Česko;Průmysl celkem;3. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - neočištěno ;97.4573063833
Česko;Průmysl celkem;3. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;97.86719877
Česko;Průmysl celkem;3. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;102.79925689
Česko;Průmysl celkem;3. čtvrtletí 2022;Meziroční index (%) - neočištěno;105.1379678696
