Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2023,98.2602844727
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel,2024,103.2815082149
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2001,108.9071766847
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2002,102.0765815665
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2003,104.3998616884
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2004,102.2272917323
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2005,109.2232492627
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2006,112.7209559212
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2007,113.070573253
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2008,101.6305349956
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2009,91.4879023819
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2010,103.2025086788
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2011,103.5401423307
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2012,98.41196185
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2013,103.0662014267
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2014,109.9323162133
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2015,110.933214346
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2016,107.2996315078
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2017,103.5287592019
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2018,99.3755419534
