Stát,Typ ceny,Čtvrtletí,Ukazatel,Typ indexu,value
Česko,Běžné ceny,3. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),127.1693307967
Česko,Běžné ceny,3. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Meziroční index,103.930346553
Česko,Běžné ceny,3. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),139.8598653267
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Celkem (%),Meziroční index,100.8005720367
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),123.3685023767
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Meziroční index,101.7050470806
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),122.6077654133
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Meziroční index,99.1543764047
Česko,Běžné ceny,2. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),124.8142624533
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Celkem (%),Meziroční index,108.2284163677
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),84.6032200733
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Meziroční index,112.9621320851
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),96.04535944
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Meziroční index,96.487074192
Česko,Běžné ceny,1. čtvrtletí 2023,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),62.85774282
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Celkem (%),Meziroční index,111.7646967581
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),136.5012587
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Meziroční index,109.0015943268
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),131.27191547
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Meziroční index,116.8091771647
Česko,Běžné ceny,4. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),146.4394844567
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Celkem (%),Meziroční index,112.7968412778
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),127.8393253667
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Meziroční index,111.6147375024
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),124.2973427467
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Meziroční index,114.9335920402
Česko,Běžné ceny,3. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),134.5707677933
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Celkem (%),Meziroční index,119.0206486681
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),122.3886927267
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Meziroční index,120.4255828555
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),120.5522920767
