Území,Ukazatel,Typ ceny,Očištění,CZCPA,Roky,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2024,4663189.076956
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2023,4442443.207112
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2022,4407319.309563
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2021,3881385.014424
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2020,3430581.754363
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2019,3691763.204316
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2018,3616240.056958
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2017,3512897.349161
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2016,3299106.33368
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,Celkem,2015,3262971.222752
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2024,58709.294439
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2023,55939.232928
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2022,62315.521674
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2021,49581.938914
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2020,41863.885475
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2019,36377.259037
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2018,35183.152497
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2017,39451.329687
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2016,40309.891171
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,2015,43547.080128
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2024,10778.978825
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2023,14026.688742
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2022,24946.347963
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2021,25769.833851
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2020,20400.800553
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2019,18053.427198
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2018,13645.198246
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2017,12391.823185
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2016,12101.973053
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby",2015,10419.807239
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2024,2546.970383
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2023,2500.112166
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2022,2887.01715
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2021,2491.470563
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2020,2057.40643
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2019,1995.744718
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2018,2146.563175
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2017,2812.718085
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2016,2793.294045
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,03 Ryby a jiné produkty rybolovu; produkty akvakultury; podpůrné služby pro rybolov a akvakulturu,2015,1963.575031
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2024,7936.369396
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2023,6797.88433
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2022,9562.236486
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2021,6340.092461
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2020,3064.036956
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2019,6012.761464
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2018,7925.979518
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2017,9367.433332
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2016,8692.069101
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,05 Černé a hnědé uhlí a lignit,2015,9649.722034
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2024,896.088575
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2023,207.116236
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2022,13456.03928
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2021,508.127992
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2020,3453.603896
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2019,3960.036263
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2018,4927.525792
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2017,3521.641148
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2016,11502.313657
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,06 Ropa a zemní plyn,2015,34941.625737
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2024,103.029679
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2023,90.853345
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2022,59.769445
