Území,Roky,Země,Ukazatel,value
Česko,2024,Oceánie a Polární oblasti,"Pohyb zboží do ČR (v mil. Kč, CIF)",4007.673602
Česko,2024,Oceánie a Polární oblasti,Bilance - pohyb zboží (v mil. Kč),13393.333921
Česko,2024,Oceánie a Polární oblasti,Obrat - pohyb zboží (v mil. Kč),21408.681125
Česko,2024,Oceánie a Polární oblasti,Pohyb zboží z ČR (meziroční index ),101.9999743506
Česko,2024,Oceánie a Polární oblasti,Pohyb zboží do ČR (meziroční index),103.9683093872
Česko,2024,Oceánie a Polární oblasti,Obrat pohybu zboží (meziroční index),102.3627535946
Česko,2024,Afghánistán,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Afghánistán,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Afghánistán,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Afghánistán,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Afghánistán,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Afghánistán,Pohyb zboží do ČR (meziroční index),
Česko,2024,Afghánistán,Obrat pohybu zboží (meziroční index),
Česko,2024,Albánie,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Albánie,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Albánie,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Albánie,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Albánie,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Albánie,Pohyb zboží do ČR (meziroční index),
Česko,2024,Albánie,Obrat pohybu zboží (meziroční index),
Česko,2024,Alžírsko,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Alžírsko,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Alžírsko,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Alžírsko,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Alžírsko,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Alžírsko,Pohyb zboží do ČR (meziroční index),
Česko,2024,Alžírsko,Obrat pohybu zboží (meziroční index),
Česko,2024,Americká Samoa,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Americká Samoa,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Americká Samoa,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Americká Samoa,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Americká Samoa,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Americká Samoa,Pohyb zboží do ČR (meziroční index),
Česko,2024,Americká Samoa,Obrat pohybu zboží (meziroční index),
Česko,2024,Americké Panenské ostrovy,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Americké Panenské ostrovy,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Americké Panenské ostrovy,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Americké Panenské ostrovy,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Americké Panenské ostrovy,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Americké Panenské ostrovy,Pohyb zboží do ČR (meziroční index),
Česko,2024,Americké Panenské ostrovy,Obrat pohybu zboží (meziroční index),
Česko,2024,Andorra,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Andorra,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Andorra,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Andorra,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Andorra,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Andorra,Pohyb zboží do ČR (meziroční index),
Česko,2024,Andorra,Obrat pohybu zboží (meziroční index),
Česko,2024,Angola,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Angola,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Angola,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Angola,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Angola,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Angola,Pohyb zboží do ČR (meziroční index),
Česko,2024,Angola,Obrat pohybu zboží (meziroční index),
