Správní obvody hl. města Prahy;Roky;Kategorie ubytovacího zařízení;Ukazatel;Rezidence;value
Praha 1;2023;HUZ celkem;Počet hostů;Celkem;2805867.0
Praha 1;2023;HUZ celkem;Počet hostů;Rezidenti;353873.0
Praha 1;2023;HUZ celkem;Počet hostů;Nerezidenti;2451994.0
Praha 1;2023;HUZ celkem;Počet přenocování;Celkem;6765286.0
Praha 1;2023;HUZ celkem;Počet přenocování;Rezidenti;589457.0
Praha 1;2023;HUZ celkem;Počet přenocování;Nerezidenti;6175829.0
Praha 1;2023;HUZ celkem;Průměrný počet přenocování ;Celkem;2.411121411
Praha 1;2023;HUZ celkem;Průměrný počet přenocování ;Rezidenti;1.6657303609
Praha 1;2023;HUZ celkem;Průměrný počet přenocování ;Nerezidenti;2.51869662
Praha 1;2023;Hotel *****;Počet hostů;Celkem;851846.0
Praha 1;2023;Hotel *****;Počet hostů;Rezidenti;79661.0
Praha 1;2023;Hotel *****;Počet hostů;Nerezidenti;772185.0
Praha 1;2023;Hotel *****;Počet přenocování;Celkem;2062707.0
Praha 1;2023;Hotel *****;Počet přenocování;Rezidenti;129286.0
Praha 1;2023;Hotel *****;Počet přenocování;Nerezidenti;1933421.0
Praha 1;2023;Hotel *****;Průměrný počet přenocování ;Celkem;2.4214552865
Praha 1;2023;Hotel *****;Průměrný počet přenocování ;Rezidenti;1.6229522602
Praha 1;2023;Hotel *****;Průměrný počet přenocování ;Nerezidenti;2.5038313358
Praha 1;2023;Hotel, motel, botel ****;Počet hostů;Celkem;1246728.0
Praha 1;2023;Hotel, motel, botel ****;Počet hostů;Rezidenti;152293.0
Praha 1;2023;Hotel, motel, botel ****;Počet hostů;Nerezidenti;1094435.0
Praha 1;2023;Hotel, motel, botel ****;Počet přenocování;Celkem;3059138.0
Praha 1;2023;Hotel, motel, botel ****;Počet přenocování;Rezidenti;249742.0
Praha 1;2023;Hotel, motel, botel ****;Počet přenocování;Nerezidenti;2809396.0
Praha 1;2023;Hotel, motel, botel ****;Průměrný počet přenocování ;Celkem;2.4537332923
