Území,Ukazatel,Typ indexu,Typ zakázek,Očištění,Vybraná odvětví průmyslu,Kumulace měsíců,value
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2025,100.544619053
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2025,101.648667545
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2025,100.6725259993
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2025,101.3489401708
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2025,100.8470294637
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2025,99.4609039287
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2025,97.1004740819
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2025,97.8495401096
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2024,103.9159087276
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2024,104.1169905408
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2024,104.6207790391
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2024,104.8158256405
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2024,104.5663437366
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2024,104.056641789
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2024,103.9448705912
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2024,104.3503619646
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2024,104.9584976905
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2024,102.7681827709
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2024,105.048217417
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2024,99.7832740962
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2023,98.7223603995
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2023,98.9650661095
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2023,98.8506029463
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2023,98.5207141824
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2023,99.3156959755
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2023,99.7013676423
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2023,100.0084446469
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2023,101.0707481144
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2023,103.2387740523
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2023,103.9520072729
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2023,105.5777699562
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2023,110.7425921113
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2022,110.9634587942
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2022,111.3631939134
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2022,111.4728206604
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2022,110.7301973491
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2022,109.3244584837
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2022,107.7579392027
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2022,108.6839962038
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2022,107.1663665033
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2022,105.7413396652
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2022,107.1447158209
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2022,108.3610752343
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2022,110.4620766683
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2021,115.3276154891
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2021,116.1028848693
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2021,116.5700957586
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2021,119.2984710684
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2021,122.2060766702
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2021,124.2044393655
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2021,125.8993550016
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2021,126.5179403689
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2021,121.1843855906
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2021,108.9813691338
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2021,100.522338726
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2021,94.9529674111
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2020,93.2278228788
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2020,91.7273656255
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2020,90.7715374013
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2020,89.1214775128
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2020,87.1568024208
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2020,86.6651328901
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2020,85.259404907
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2020,83.1560503937
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2020,87.6545107007
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2020,97.5276254684
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2020,102.9806336125
