Území,Čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,4. čtvrtletí 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),457076.3970383506
Česko,4. čtvrtletí 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Mzdy bez ostatních osobních nákladů - meziroční index (%),106.2877442335
Česko,4. čtvrtletí 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady (tis. Kč),497300.3177580581
Česko,4. čtvrtletí 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),46424.2734275976
Česko,4. čtvrtletí 2024,"D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",Ostatní osobní náklady - meziroční index (%),110.2964604155
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů (tis. Kč),7751245.367897077
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),589679.72677734
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.2339498977
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů (tis. Kč),7412187.257480102
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),590761.2962476457
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Mzdy bez ostatních osobních nákladů - meziroční index (%),108.6603783374
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady (tis. Kč),339058.1104169756
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1081.5694703056
Česko,4. čtvrtletí 2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Ostatní osobní náklady - meziroční index (%),99.682021965
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů (tis. Kč),28721170.306390826
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),778141.4230943139
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy včetně ostatních osobních nákladů - meziroční index (%),102.7847425787
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů (tis. Kč),26931283.615427587
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1909144.5941653147
Česko,4. čtvrtletí 2024,F - Stavebnictví,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.6298217053
Česko,4. čtvrtletí 2024,F - Stavebnictví,Ostatní osobní náklady (tis. Kč),1789886.6909632366
Česko,4. čtvrtletí 2024,F - Stavebnictví,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1131003.1710710009
Česko,4. čtvrtletí 2024,F - Stavebnictví,Ostatní osobní náklady - meziroční index (%),61.2788148649
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů (tis. Kč),71656662.37756401
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3569623.014520347
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.242734958
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů (tis. Kč),66820763.44504094
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3755971.9696196998
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.9557351761
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady (tis. Kč),4835898.932523073
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-186348.9550993525
Česko,4. čtvrtletí 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady - meziroční index (%),96.2895309178
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů (tis. Kč),36205722.44126223
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2241012.6544412486
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.5980621313
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů (tis. Kč),34205834.64795202
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2259658.036417882
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.0733285673
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Ostatní osobní náklady (tis. Kč),1999887.7933102048
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-18645.3819766334
Česko,4. čtvrtletí 2024,H - Doprava a skladování,Ostatní osobní náklady - meziroční index (%),99.0762905359
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů (tis. Kč),11701449.397485776
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),827322.6730278373
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.6081757551
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů (tis. Kč),10160703.786221512
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1261671.0334103813
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů - meziroční index (%),114.1776198431
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady (tis. Kč),1540745.6112642637
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-434348.3603825441
Česko,4. čtvrtletí 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady - meziroční index (%),78.008724313
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),36644511.23266521
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2972104.2497405517
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.8265274628
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),35098275.34674569
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2902259.481153464
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.014343555
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady (tis. Kč),1546235.885919518
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),69844.7685870878
Česko,4. čtvrtletí 2024,J - Informační a komunikační činnosti,Ostatní osobní náklady - meziroční index (%),104.7307768089
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů (tis. Kč),16717243.763005726
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),851693.4183026316
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.3681933485
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů (tis. Kč),15953865.51338537
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1081237.0403750367
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.2699794951
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady (tis. Kč),763378.2496203565
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-229543.622072405
Česko,4. čtvrtletí 2024,K - Peněžnictví a pojišťovnictví,Ostatní osobní náklady - meziroční index (%),76.8820056626
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů (tis. Kč),7585190.639737267
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1035761.3802566607
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy včetně ostatních osobních nákladů - meziroční index (%),115.8145288577
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů (tis. Kč),5920909.779010584
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),933976.8925226253
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Mzdy bez ostatních osobních nákladů - meziroční index (%),118.7284832939
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady (tis. Kč),1664280.8607266834
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),101784.4877340354
Česko,4. čtvrtletí 2024,L - Činnosti v oblasti nemovitostí,Ostatní osobní náklady - meziroční index (%),106.5142223363
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů (tis. Kč),35017521.32059462
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2265017.411651036
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.9155549693
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů (tis. Kč),31624597.46463204
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2846070.7906310647
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Mzdy bez ostatních osobních nákladů - meziroční index (%),109.8895639199
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady (tis. Kč),3392923.855962584
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-581053.3789800291
Česko,4. čtvrtletí 2024,"M - Profesní, vědecké a technické činnosti",Ostatní osobní náklady - meziroční index (%),85.3785428394
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),22005968.987657133
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),635240.8945833768
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),102.9724812922
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),18745638.05018946
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1199884.5988907176
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.8386040088
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady (tis. Kč),3260330.9374676696
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-564643.7043073407
Česko,4. čtvrtletí 2024,N - Administrativní a podpůrné činnosti,Ostatní osobní náklady - meziroční index (%),85.2379752237
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů (tis. Kč),50488621.883038715
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1764839.0154248918
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy včetně ostatních osobních nákladů - meziroční index (%),103.6221305317
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů (tis. Kč),44389385.70765988
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),736292.4852312172
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Mzdy bez ostatních osobních nákladů - meziroční index (%),101.6866902913
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady (tis. Kč),6099236.175378836
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),1028546.5301936747
Česko,4. čtvrtletí 2024,O - Veřejná správa a obrana; povinné sociální zabezpečení,Ostatní osobní náklady - meziroční index (%),120.2841546646
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů (tis. Kč),56853452.79881715
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1156686.9981204816
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy včetně ostatních osobních nákladů - meziroční index (%),102.0767579257
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů (tis. Kč),54731898.80514682
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1301777.9224371277
Česko,4. čtvrtletí 2024,P - Vzdělávání,Mzdy bez ostatních osobních nákladů - meziroční index (%),102.4364120854
Česko,4. čtvrtletí 2024,P - Vzdělávání,Ostatní osobní náklady (tis. Kč),2121553.993670334
Česko,4. čtvrtletí 2024,P - Vzdělávání,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-145090.9243166462
Česko,4. čtvrtletí 2024,P - Vzdělávání,Ostatní osobní náklady - meziroční index (%),93.5988683907
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů (tis. Kč),62235456.57558231
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6165507.959999368
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy včetně ostatních osobních nákladů - meziroční index (%),110.9961006069
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů (tis. Kč),58821911.603550695
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),5897413.86029177
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Mzdy bez ostatních osobních nákladů - meziroční index (%),111.143070056
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady (tis. Kč),3413544.9720316185
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),268094.0997075978
Česko,4. čtvrtletí 2024,Q - Zdravotní a sociální péče,Ostatní osobní náklady - meziroční index (%),108.5232327761
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů (tis. Kč),7533753.728288239
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),543293.5278261943
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.7719279167
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů (tis. Kč),6607644.9414910935
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),418349.8560829311
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Mzdy bez ostatních osobních nákladů - meziroční index (%),106.7592488371
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady (tis. Kč),926108.7867971457
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),124943.6717432632
Česko,4. čtvrtletí 2024,"R - Kulturní, zábavní a rekreační činnosti",Ostatní osobní náklady - meziroční index (%),115.5952461478
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),5412906.40689549
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),765996.344146578
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy včetně ostatních osobních nákladů - meziroční index (%),116.4839933161
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů (tis. Kč),4332462.560032545
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),420373.6099291884
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Mzdy bez ostatních osobních nákladů - meziroční index (%),110.7455023465
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Ostatní osobní náklady (tis. Kč),1080443.8468629457
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),345622.7342173896
Česko,4. čtvrtletí 2024,S - Ostatní činnosti,Ostatní osobní náklady - meziroční index (%),147.0349488154
