Ukazatel;Území;Měsíce;Komodity SITC;value
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;0 Potraviny a živá zvířata;25869.017544
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;1 Nápoje a tabák;3781.028649
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;2 Suroviny nepoživatelné, s výjimkou paliv;8223.907856
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;3 Minerální paliva, maziva a příbuzné materiály;25931.912315
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1075.072541
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;5 Chemikálie a příbuzné výrobky, j. n.;45697.253667
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;6 Tržní výrobky tříděné hlavně podle materiálu;67122.417765
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;7 Stroje a dopravní prostředky;183110.131237
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;8 Průmyslové spotřební zboží;53784.303099
Dovoz (v mil. Kč, CIF);Česko;říjen 2024;9 Komodity a předměty obchodu, j. n.;1507.869977
Dovoz (v mil. Kč, CIF);Česko;září 2024;0 Potraviny a živá zvířata;23344.71247
Dovoz (v mil. Kč, CIF);Česko;září 2024;1 Nápoje a tabák;4267.158139
Dovoz (v mil. Kč, CIF);Česko;září 2024;2 Suroviny nepoživatelné, s výjimkou paliv;6989.166903
Dovoz (v mil. Kč, CIF);Česko;září 2024;3 Minerální paliva, maziva a příbuzné materiály;20709.887754
Dovoz (v mil. Kč, CIF);Česko;září 2024;4 Živočišné a rostlinné oleje, tuky a vosky;846.227394
Dovoz (v mil. Kč, CIF);Česko;září 2024;5 Chemikálie a příbuzné výrobky, j. n.;46374.196388
Dovoz (v mil. Kč, CIF);Česko;září 2024;6 Tržní výrobky tříděné hlavně podle materiálu;62474.339058
Dovoz (v mil. Kč, CIF);Česko;září 2024;7 Stroje a dopravní prostředky;165431.430508
Dovoz (v mil. Kč, CIF);Česko;září 2024;8 Průmyslové spotřební zboží;46899.347933
Dovoz (v mil. Kč, CIF);Česko;září 2024;9 Komodity a předměty obchodu, j. n.;975.955197
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;0 Potraviny a živá zvířata;21605.326682
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;1 Nápoje a tabák;3823.93626
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7001.581053
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;3 Minerální paliva, maziva a příbuzné materiály;24098.84424
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1038.242665
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;5 Chemikálie a příbuzné výrobky, j. n.;42767.848454
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;6 Tržní výrobky tříděné hlavně podle materiálu;57672.594224
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;7 Stroje a dopravní prostředky;154144.45952
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;8 Průmyslové spotřební zboží;42843.938821
Dovoz (v mil. Kč, CIF);Česko;srpen 2024;9 Komodity a předměty obchodu, j. n.;924.64313
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;0 Potraviny a živá zvířata;23143.274289
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;1 Nápoje a tabák;3685.417944
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;2 Suroviny nepoživatelné, s výjimkou paliv;6894.230728
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;3 Minerální paliva, maziva a příbuzné materiály;27390.94723
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1011.101486
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;5 Chemikálie a příbuzné výrobky, j. n.;45794.949165
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;6 Tržní výrobky tříděné hlavně podle materiálu;61206.746913
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;7 Stroje a dopravní prostředky;151199.180006
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;8 Průmyslové spotřební zboží;42439.782374
Dovoz (v mil. Kč, CIF);Česko;červenec 2024;9 Komodity a předměty obchodu, j. n.;1133.686135
Dovoz (v mil. Kč, CIF);Česko;červen 2024;0 Potraviny a živá zvířata;21680.486267
Dovoz (v mil. Kč, CIF);Česko;červen 2024;1 Nápoje a tabák;3649.636438
Dovoz (v mil. Kč, CIF);Česko;červen 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7073.292662
Dovoz (v mil. Kč, CIF);Česko;červen 2024;3 Minerální paliva, maziva a příbuzné materiály;24288.607248
Dovoz (v mil. Kč, CIF);Česko;červen 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1004.004324
Dovoz (v mil. Kč, CIF);Česko;červen 2024;5 Chemikálie a příbuzné výrobky, j. n.;43069.947697
Dovoz (v mil. Kč, CIF);Česko;červen 2024;6 Tržní výrobky tříděné hlavně podle materiálu;59470.586323
Dovoz (v mil. Kč, CIF);Česko;červen 2024;7 Stroje a dopravní prostředky;155587.30513
Dovoz (v mil. Kč, CIF);Česko;červen 2024;8 Průmyslové spotřební zboží;39317.964284
Dovoz (v mil. Kč, CIF);Česko;červen 2024;9 Komodity a předměty obchodu, j. n.;1619.131661
Dovoz (v mil. Kč, CIF);Česko;květen 2024;0 Potraviny a živá zvířata;23364.655741
Dovoz (v mil. Kč, CIF);Česko;květen 2024;1 Nápoje a tabák;3888.592557
Dovoz (v mil. Kč, CIF);Česko;květen 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7639.286239
Dovoz (v mil. Kč, CIF);Česko;květen 2024;3 Minerální paliva, maziva a příbuzné materiály;25570.782617
Dovoz (v mil. Kč, CIF);Česko;květen 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1057.924174
Dovoz (v mil. Kč, CIF);Česko;květen 2024;5 Chemikálie a příbuzné výrobky, j. n.;44694.84721
Dovoz (v mil. Kč, CIF);Česko;květen 2024;6 Tržní výrobky tříděné hlavně podle materiálu;61036.624184
Dovoz (v mil. Kč, CIF);Česko;květen 2024;7 Stroje a dopravní prostředky;162929.176203
Dovoz (v mil. Kč, CIF);Česko;květen 2024;8 Průmyslové spotřební zboží;39423.916929
Dovoz (v mil. Kč, CIF);Česko;květen 2024;9 Komodity a předměty obchodu, j. n.;1295.753783
Dovoz (v mil. Kč, CIF);Česko;duben 2024;0 Potraviny a živá zvířata;22971.769227
Dovoz (v mil. Kč, CIF);Česko;duben 2024;1 Nápoje a tabák;3447.326121
Dovoz (v mil. Kč, CIF);Česko;duben 2024;2 Suroviny nepoživatelné, s výjimkou paliv;8457.842132
