Ukazatel,Roky,"ČR, kraje",Věk muže (pětileté skupiny),value
Rozvody,2024,Česko,Celkem,20796
Rozvody,2024,Česko,do 19,1
Rozvody,2024,Česko,20 - 24,91
Rozvody,2024,Česko,25 - 29,722
Rozvody,2024,Česko,30 - 34,2008
Rozvody,2024,Česko,35 - 39,2918
Rozvody,2024,Česko,40 - 44,3649
Rozvody,2024,Česko,45 - 49,4427
Rozvody,2024,Česko,50 - 54,3335
Rozvody,2024,Česko,55 - 59,1844
Rozvody,2024,Česko,60 - 64,941
Rozvody,2024,Česko,65 a více,860
Rozvody,2024,Hlavní město Praha,Celkem,2380
Rozvody,2024,Hlavní město Praha,do 19,0
Rozvody,2024,Hlavní město Praha,20 - 24,7
Rozvody,2024,Hlavní město Praha,25 - 29,94
Rozvody,2024,Hlavní město Praha,30 - 34,226
Rozvody,2024,Hlavní město Praha,35 - 39,370
Rozvody,2024,Hlavní město Praha,40 - 44,420
Rozvody,2024,Hlavní město Praha,45 - 49,455
Rozvody,2024,Hlavní město Praha,50 - 54,372
Rozvody,2024,Hlavní město Praha,55 - 59,201
Rozvody,2024,Hlavní město Praha,60 - 64,108
Rozvody,2024,Hlavní město Praha,65 a více,127
Rozvody,2024,Středočeský kraj,Celkem,2946
Rozvody,2024,Středočeský kraj,do 19,1
Rozvody,2024,Středočeský kraj,20 - 24,16
Rozvody,2024,Středočeský kraj,25 - 29,83
Rozvody,2024,Středočeský kraj,30 - 34,269
Rozvody,2024,Středočeský kraj,35 - 39,401
Rozvody,2024,Středočeský kraj,40 - 44,537
Rozvody,2024,Středočeský kraj,45 - 49,684
Rozvody,2024,Středočeský kraj,50 - 54,486
Rozvody,2024,Středočeský kraj,55 - 59,251
Rozvody,2024,Středočeský kraj,60 - 64,114
Rozvody,2024,Středočeský kraj,65 a více,104
Rozvody,2024,Jihočeský kraj,Celkem,1270
Rozvody,2024,Jihočeský kraj,do 19,0
Rozvody,2024,Jihočeský kraj,20 - 24,10
Rozvody,2024,Jihočeský kraj,25 - 29,48
Rozvody,2024,Jihočeský kraj,30 - 34,137
Rozvody,2024,Jihočeský kraj,35 - 39,183
Rozvody,2024,Jihočeský kraj,40 - 44,223
Rozvody,2024,Jihočeský kraj,45 - 49,252
Rozvody,2024,Jihočeský kraj,50 - 54,191
Rozvody,2024,Jihočeský kraj,55 - 59,105
Rozvody,2024,Jihočeský kraj,60 - 64,59
Rozvody,2024,Jihočeský kraj,65 a více,62
Rozvody,2024,Plzeňský kraj,Celkem,1229
Rozvody,2024,Plzeňský kraj,do 19,0
Rozvody,2024,Plzeňský kraj,20 - 24,8
Rozvody,2024,Plzeňský kraj,25 - 29,46
Rozvody,2024,Plzeňský kraj,30 - 34,121
Rozvody,2024,Plzeňský kraj,35 - 39,201
Rozvody,2024,Plzeňský kraj,40 - 44,206
Rozvody,2024,Plzeňský kraj,45 - 49,250
Rozvody,2024,Plzeňský kraj,50 - 54,179
Rozvody,2024,Plzeňský kraj,55 - 59,105
Rozvody,2024,Plzeňský kraj,60 - 64,60
Rozvody,2024,Plzeňský kraj,65 a více,53
Rozvody,2024,Karlovarský kraj,Celkem,632
Rozvody,2024,Karlovarský kraj,do 19,0
Rozvody,2024,Karlovarský kraj,20 - 24,2
Rozvody,2024,Karlovarský kraj,25 - 29,24
Rozvody,2024,Karlovarský kraj,30 - 34,59
Rozvody,2024,Karlovarský kraj,35 - 39,88
Rozvody,2024,Karlovarský kraj,40 - 44,94
Rozvody,2024,Karlovarský kraj,45 - 49,120
Rozvody,2024,Karlovarský kraj,50 - 54,103
