Roky;Ukazatel;Rezidence;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Turistická ubytovna;3655.0
2023;Počet hostů;Celkem;Kutnohorsko a Kolínsko;Ostatní HUZ;5686.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;HUZ celkem;49231.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel *****;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel ****;14139.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel ***;5160.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel **;6160.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel, motel, botel *;290.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Hotel garni;
2023;Počet hostů;Celkem;Kraj blanických rytířů;Penzion;14612.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Kemp;2378.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Chatová osada;1162.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Turistická ubytovna;1223.0
2023;Počet hostů;Celkem;Kraj blanických rytířů;Ostatní HUZ;4107.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;HUZ celkem;91678.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel *****;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel ****;13666.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel ***;28029.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Hotel garni;3402.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Penzion;29797.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Kemp;11896.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Chatová osada;914.0
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Turistická ubytovna;
2023;Počet hostů;Celkem;Mělnicko - Kokořínsko;Ostatní HUZ;3974.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;HUZ celkem;212782.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel *****;6494.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel ****;64877.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel ***;71218.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel **;13714.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Pojizeří a Polabí;Hotel garni;11873.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Penzion;30953.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Kemp;5324.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Chatová osada;192.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Turistická ubytovna;1556.0
2023;Počet hostů;Celkem;Pojizeří a Polabí;Ostatní HUZ;6581.0
2023;Počet hostů;Celkem;Posázaví;HUZ celkem;332206.0
2023;Počet hostů;Celkem;Posázaví;Hotel *****;
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel ****;118825.0
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel ***;124544.0
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel **;2804.0
2023;Počet hostů;Celkem;Posázaví;Hotel, motel, botel *;7175.0
2023;Počet hostů;Celkem;Posázaví;Hotel garni;1385.0
2023;Počet hostů;Celkem;Posázaví;Penzion;42569.0
2023;Počet hostů;Celkem;Posázaví;Kemp;22527.0
2023;Počet hostů;Celkem;Posázaví;Chatová osada;4645.0
2023;Počet hostů;Celkem;Posázaví;Turistická ubytovna;3862.0
2023;Počet hostů;Celkem;Posázaví;Ostatní HUZ;3870.0
2023;Počet hostů;Celkem;Rakovnicko;HUZ celkem;41757.0
2023;Počet hostů;Celkem;Rakovnicko;Hotel *****;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel ***;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Rakovnicko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Rakovnicko;Hotel garni;
2023;Počet hostů;Celkem;Rakovnicko;Penzion;
2023;Počet hostů;Celkem;Rakovnicko;Kemp;
2023;Počet hostů;Celkem;Rakovnicko;Chatová osada;
2023;Počet hostů;Celkem;Rakovnicko;Turistická ubytovna;
2023;Počet hostů;Celkem;Rakovnicko;Ostatní HUZ;
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;HUZ celkem;67665.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel *****;
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel, motel, botel ***;25447.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel, motel, botel **;1787.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Hotel garni;1139.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Penzion;14289.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Kemp;10202.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Chatová osada;4411.0
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Turistická ubytovna;
2023;Počet hostů;Celkem;Toulava  - Středočeský kraj;Ostatní HUZ;10390.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;HUZ celkem;4460.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel *****;
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel, motel, botel ***;2292.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Hotel garni;
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Penzion;861.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Kemp;631.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Chatová osada;236.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Turistická ubytovna;440.0
2023;Počet hostů;Celkem;Máchův kraj - Středočeský kraj;Ostatní HUZ;
2023;Počet hostů;Celkem;Česká Kanada;HUZ celkem;102327.0
2023;Počet hostů;Celkem;Česká Kanada;Hotel *****;
2023;Počet hostů;Celkem;Česká Kanada;Hotel, motel, botel ****;
2023;Počet hostů;Celkem;Česká Kanada;Hotel, motel, botel ***;10882.0
2023;Počet hostů;Celkem;Česká Kanada;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Česká Kanada;Hotel, motel, botel *;2267.0
2023;Počet hostů;Celkem;Česká Kanada;Hotel garni;
2023;Počet hostů;Celkem;Česká Kanada;Penzion;36935.0
2023;Počet hostů;Celkem;Česká Kanada;Kemp;19551.0
2023;Počet hostů;Celkem;Česká Kanada;Chatová osada;5886.0
2023;Počet hostů;Celkem;Česká Kanada;Turistická ubytovna;3730.0
2023;Počet hostů;Celkem;Česká Kanada;Ostatní HUZ;13298.0
2023;Počet hostů;Celkem;Budějovicko;HUZ celkem;291874.0
2023;Počet hostů;Celkem;Budějovicko;Hotel *****;21626.0
2023;Počet hostů;Celkem;Budějovicko;Hotel, motel, botel ****;141586.0
2023;Počet hostů;Celkem;Budějovicko;Hotel, motel, botel ***;50515.0
2023;Počet hostů;Celkem;Budějovicko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Budějovicko;Hotel, motel, botel *;793.0
2023;Počet hostů;Celkem;Budějovicko;Hotel garni;4030.0
2023;Počet hostů;Celkem;Budějovicko;Penzion;22944.0
2023;Počet hostů;Celkem;Budějovicko;Kemp;19487.0
2023;Počet hostů;Celkem;Budějovicko;Chatová osada;1183.0
2023;Počet hostů;Celkem;Budějovicko;Turistická ubytovna;12547.0
2023;Počet hostů;Celkem;Budějovicko;Ostatní HUZ;17163.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;HUZ celkem;245884.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel *****;17865.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel, motel, botel ****;72710.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel, motel, botel ***;4962.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel, motel, botel **;1180.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Český Krumlov a okolí;Hotel garni;15023.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Penzion;61733.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Kemp;56423.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Chatová osada;1084.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Turistická ubytovna;4202.0
2023;Počet hostů;Celkem;Český Krumlov a okolí;Ostatní HUZ;10702.0
2023;Počet hostů;Celkem;Lipensko;HUZ celkem;312689.0
2023;Počet hostů;Celkem;Lipensko;Hotel *****;
2023;Počet hostů;Celkem;Lipensko;Hotel, motel, botel ****;66299.0
2023;Počet hostů;Celkem;Lipensko;Hotel, motel, botel ***;83417.0
2023;Počet hostů;Celkem;Lipensko;Hotel, motel, botel **;783.0
2023;Počet hostů;Celkem;Lipensko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Lipensko;Hotel garni;
2023;Počet hostů;Celkem;Lipensko;Penzion;46730.0
2023;Počet hostů;Celkem;Lipensko;Kemp;71215.0
2023;Počet hostů;Celkem;Lipensko;Chatová osada;5674.0
2023;Počet hostů;Celkem;Lipensko;Turistická ubytovna;839.0
2023;Počet hostů;Celkem;Lipensko;Ostatní HUZ;37732.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;HUZ celkem;56810.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel *****;
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel, motel, botel ****;10588.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel, motel, botel ***;13239.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel, motel, botel *;905.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Hotel garni;3946.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Penzion;17628.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Kemp;5984.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Chatová osada;326.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Turistická ubytovna;2558.0
2023;Počet hostů;Celkem;Novohradsko-Doudlebsko;Ostatní HUZ;1636.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;HUZ celkem;157052.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel *****;
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel ****;20619.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel ***;34368.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel **;5975.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel garni;3695.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Penzion;17947.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Kemp;34156.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Chatová osada;9288.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Turistická ubytovna;1962.0
2023;Počet hostů;Celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Ostatní HUZ;29042.0
2023;Počet hostů;Celkem;Šumavsko;HUZ celkem;135225.0
2023;Počet hostů;Celkem;Šumavsko;Hotel *****;
2023;Počet hostů;Celkem;Šumavsko;Hotel, motel, botel ****;5386.0
2023;Počet hostů;Celkem;Šumavsko;Hotel, motel, botel ***;43593.0
2023;Počet hostů;Celkem;Šumavsko;Hotel, motel, botel **;2987.0
2023;Počet hostů;Celkem;Šumavsko;Hotel, motel, botel *;0.0
2023;Počet hostů;Celkem;Šumavsko;Hotel garni;
2023;Počet hostů;Celkem;Šumavsko;Penzion;50093.0
2023;Počet hostů;Celkem;Šumavsko;Kemp;16685.0
2023;Počet hostů;Celkem;Šumavsko;Chatová osada;1934.0
2023;Počet hostů;Celkem;Šumavsko;Turistická ubytovna;5386.0
2023;Počet hostů;Celkem;Šumavsko;Ostatní HUZ;9161.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;HUZ celkem;147853.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel *****;
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel, motel, botel ****;20533.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel, motel, botel ***;31821.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel, motel, botel **;2106.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel, motel, botel *;2810.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Hotel garni;
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Penzion;23313.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Kemp;28410.0
