Ukazatel,Rok sčítání,Území,Věk,Nejvyšší dosažené vzdělání,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Nezjištěno,Muži,299875
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Nezjištěno,Ženy,211503
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Vysokoškolské,Muži,729211
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Vysokoškolské,Ženy,823196
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Vyšší odborné, konzervatoř",Muži,46970
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Vyšší odborné, konzervatoř",Ženy,91618
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Úplné střední (s maturitou), vč. nástavbového a pomaturitního",Muži,1218150
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,"Úplné střední (s maturitou), vč. nástavbového a pomaturitního",Ženy,1510941
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Muži,1554236
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Ženy,1182747
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Základní vč. neukončeného,Muži,443124
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Základní vč. neukončeného,Ženy,664736
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Bez vzdělání,Muži,28660
Počet obyvatel (obvyklý pobyt),2021,Česká republika,15 a více let,Bez vzdělání,Ženy,27440
