Ukazatel,Území,Typ údaje,Odvětví,Čtvrtletí,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2000,78.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2000,79.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2000,80.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2000,81.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2001,82.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2001,82.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2001,82.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2001,82.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2002,82.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2002,81.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2002,81.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2002,81.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2003,81.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2003,81.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2003,80.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2003,81.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2004,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2004,84.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2004,87.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2004,88.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2005,88.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2005,88.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2005,88.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2005,88.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2006,88.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2006,89.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2006,90.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2006,90.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2007,91.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2007,93.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2007,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,4. čtvrtletí 2007,94.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,1. čtvrtletí 2008,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,2. čtvrtletí 2008,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),PRŮMYSL CELKEM,3. čtvrtletí 2008,99.2
