Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,19,Kraj Vysočina,9.769441188
Míry plodnosti,2024,19,Jihomoravský kraj,10.05936675
Míry plodnosti,2024,19,Olomoucký kraj,9.385113269
Míry plodnosti,2024,19,Zlínský kraj,8.190883191
Míry plodnosti,2024,19,Moravskoslezský kraj,18.03641314
Míry plodnosti,2024,20,Česko,19.26562646
Míry plodnosti,2024,20,Praha,11.51449472
Míry plodnosti,2024,20,Střední Čechy,15.14936996
Míry plodnosti,2024,20,Jihozápad,20.42470417
Míry plodnosti,2024,20,Severozápad,37.24261415
Míry plodnosti,2024,20,Severovýchod,18.09713906
Míry plodnosti,2024,20,Jihovýchod,14.52058082
Míry plodnosti,2024,20,Střední Morava,17.18393828
Míry plodnosti,2024,20,Moravskoslezsko,26.01908066
Míry plodnosti,2024,20,Hlavní město Praha,11.51449472
Míry plodnosti,2024,20,Středočeský kraj,15.14936996
Míry plodnosti,2024,20,Jihočeský kraj,18.77187401
Míry plodnosti,2024,20,Plzeňský kraj,22.14144085
Míry plodnosti,2024,20,Karlovarský kraj,28.75629044
Míry plodnosti,2024,20,Ústecký kraj,40.05722461
Míry plodnosti,2024,20,Liberecký kraj,19.17930419
Míry plodnosti,2024,20,Královéhradecký kraj,15.90825009
Míry plodnosti,2024,20,Pardubický kraj,19.45525292
Míry plodnosti,2024,20,Kraj Vysočina,15.10333863
Míry plodnosti,2024,20,Jihomoravský kraj,14.26852329
Míry plodnosti,2024,20,Olomoucký kraj,22.14876033
Míry plodnosti,2024,20,Zlínský kraj,11.57580284
Míry plodnosti,2024,20,Moravskoslezský kraj,26.01908066
Míry plodnosti,2024,21,Česko,28.11206683
Míry plodnosti,2024,21,Praha,16.77852349
Míry plodnosti,2024,21,Střední Čechy,24.95596007
Míry plodnosti,2024,21,Jihozápad,33.25102881
Míry plodnosti,2024,21,Severozápad,49.74582426
Míry plodnosti,2024,21,Severovýchod,29.62556577
Míry plodnosti,2024,21,Jihovýchod,21.32816287
Míry plodnosti,2024,21,Střední Morava,25.0533049
Míry plodnosti,2024,21,Moravskoslezsko,30.62117235
Míry plodnosti,2024,21,Hlavní město Praha,16.77852349
Míry plodnosti,2024,21,Středočeský kraj,24.95596007
Míry plodnosti,2024,21,Jihočeský kraj,32.78156443
Míry plodnosti,2024,21,Plzeňský kraj,33.73413494
Míry plodnosti,2024,21,Karlovarský kraj,47.05882353
Míry plodnosti,2024,21,Ústecký kraj,50.70145213
Míry plodnosti,2024,21,Liberecký kraj,34.14859252
Míry plodnosti,2024,21,Královéhradecký kraj,29.48960302
Míry plodnosti,2024,21,Pardubický kraj,25.81686164
Míry plodnosti,2024,21,Kraj Vysočina,25.73238321
Míry plodnosti,2024,21,Jihomoravský kraj,19.38526022
Míry plodnosti,2024,21,Olomoucký kraj,29.35222672
Míry plodnosti,2024,21,Zlínský kraj,20.27027027
Míry plodnosti,2024,21,Moravskoslezský kraj,30.62117235
Míry plodnosti,2024,22,Česko,33.86202199
Míry plodnosti,2024,22,Praha,22.25433526
Míry plodnosti,2024,22,Střední Čechy,34.23314734
Míry plodnosti,2024,22,Jihozápad,32.27942394
Míry plodnosti,2024,22,Severozápad,53.34805004
Míry plodnosti,2024,22,Severovýchod,31.84979138
