Zdroj znečišťování ovzduší,Území,Ukazatel,Druh látky znečišťující ovzduší,Roky,value
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2013,215105.03462072
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2014,209919.91935723
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2015,204414.64929241
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2016,195204.26969629
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2017,191782.67174232
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2018,184576.10135667
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2019,171570.62980661
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2020,154466.66374201
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),2021,158061.80619008
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2005,1262683.61199029
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2006,1266602.58462918
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2007,1247039.62741793
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2008,1176911.69147071
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2009,1208033.97783038
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2010,1269803.33100992
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2011,1252794.83129232
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2012,1224678.11782748
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2013,1255523.52573848
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2014,1180168.89478399
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2015,1178926.05109376
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2016,1168260.07383832
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2017,1167887.00464758
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2018,1135874.38494688
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2019,1080969.68573026
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2020,1056272.33511838
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Emise znečišťujících látek (t),Oxid uhelnatý (CO),2021,1094973.4438088
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2005,1.40351184
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2006,1.43337154
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2007,1.4406582
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2008,1.36019506
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2009,1.35276895
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2010,1.44237264
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2011,1.44133256
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2012,1.45972627
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2013,1.47016256
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2014,1.40021311
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2015,1.3952757
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2016,1.34235113
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2017,1.34096374
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2018,1.27295253
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2019,1.19500172
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2020,1.09055459
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Tuhé látky,2021,1.07821057
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2005,2.64327832
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2006,2.62163442
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2007,2.68893523
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2008,2.15687804
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2009,2.1400093
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2010,2.0779871
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2011,2.12395598
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2012,2.03131495
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2013,1.84174494
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2014,1.70526997
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2015,1.64036544
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2016,1.45984896
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2017,1.39433129
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2018,1.22471198
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2019,1.01349327
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2020,0.84473437
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),2021,0.77121083
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2005,3.80381407
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2006,3.69964938
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2007,3.68098587
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2008,3.46089793
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2009,3.24500023
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2010,3.20761569
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2011,3.03545489
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2012,2.88585136
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2013,2.72743801
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2014,2.66166873
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2015,2.59180114
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2016,2.47500012
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2017,2.4316219
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2018,2.34022748
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2019,2.1753588
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2020,1.95847192
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2021,2.00405377
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2005,16.01027088
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2006,16.05997781
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2007,15.8119965
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2008,14.92308177
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2009,15.31776174
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2010,16.10089786
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2011,15.88511084
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2012,15.5285569
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2013,15.91949066
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2014,14.9638903
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2015,14.94776376
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2016,14.81240048
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2017,14.8076966
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2018,14.40167189
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2019,13.70570781
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2020,13.39240236
Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,Česko,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),2021,13.88308606
