Území,Ukazatel,Hospodářský rok,value
Česko,Spotřeba živin v minerálních hnojivech,2003,89.65395857
Česko,Spotřeba živin v minerálních hnojivech,2004,99.79528308
Česko,Spotřeba živin v minerálních hnojivech,2005,97.06387829
Česko,Spotřeba živin v minerálních hnojivech,2006,98.93878211
Česko,Spotřeba živin v minerálních hnojivech,2007,104.6
Česko,Spotřeba živin v minerálních hnojivech,2008,110.5
Česko,Spotřeba živin v minerálních hnojivech,2009,98.0
Česko,Spotřeba živin v minerálních hnojivech,2010,99.8
Česko,Spotřeba živin v minerálních hnojivech,2011,108.1
Česko,Spotřeba živin v minerálních hnojivech,2012,113.2
Česko,Spotřeba živin v minerálních hnojivech,2013,121.9823184
Česko,Spotřeba živin v minerálních hnojivech,2014,127.92935292
Česko,Spotřeba živin v minerálních hnojivech,2015,130.65539505
Česko,Spotřeba živin v minerálních hnojivech,2016,141.03583468
Česko,Spotřeba živin v minerálních hnojivech,2017,139.52058792
Česko,Spotřeba živin v minerálních hnojivech,2018,137.4829630567
Česko,Spotřeba živin v minerálních hnojivech,2019,134.5569465017
Česko,Spotřeba živin v minerálních hnojivech,2020,134.136057612
Česko,Spotřeba živin v minerálních hnojivech,2021,128.0767052828
Česko,Spotřeba živin v minerálních hnojivech,2022,111.2255193162
Česko,Spotřeba živin v minerálních hnojivech,2023,108.829060604
Česko,Spotřeba živin v minerálních hnojivech,2024,110.6327280863
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2003,65.23736087
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2004,73.65408496
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2005,71.67952989
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2006,74.09326784
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2007,77.6
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2008,82.2
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2009,78.1
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2010,80.1
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2011,84.9
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2012,88.3
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2013,94.37640021
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2014,97.21590342
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2015,98.66364482
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2016,107.28637648
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2017,104.88630541
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2018,103.2114565912
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2019,101.1279437775
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2020,99.6101352039
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2021,95.8665343184
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2022,85.102679015
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2023,85.2248813188
Česko,Spotřeba dusíku (N) v minerálních hnojivech,2024,85.186383925
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2003,14.06149187
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2004,15.64787849
