Území,Ukazatel,Pohlaví,Roky,value
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2011,22133
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2012,22496
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2013,22729
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2014,23203
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2015,24094
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2016,25309
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2017,27187
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2018,29627
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2019,32207
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2020,34899
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2021,37125
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2022,38861
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2023,41139
Česko,Průměrná hrubá měsíční mzda (Kč),ženy,2024,43741
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2011,28431
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2012,28873
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2013,29026
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2014,29721
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2015,30842
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2016,32065
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2017,34293
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2018,37008
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2019,39820
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2020,41667
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2021,43785
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2022,47239
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2023,50010
Česko,Průměrná hrubá měsíční mzda (Kč),muži,2024,53423
Česko,Medián měsíčních mezd (Kč),ženy,2011,19731
Česko,Medián měsíčních mezd (Kč),ženy,2012,20042
Česko,Medián měsíčních mezd (Kč),ženy,2013,20271
Česko,Medián měsíčních mezd (Kč),ženy,2014,20660
Česko,Medián měsíčních mezd (Kč),ženy,2015,21461
Česko,Medián měsíčních mezd (Kč),ženy,2016,22651
Česko,Medián měsíčních mezd (Kč),ženy,2017,24477
Česko,Medián měsíčních mezd (Kč),ženy,2018,26678
Česko,Medián měsíčních mezd (Kč),ženy,2019,28750
Česko,Medián měsíčních mezd (Kč),ženy,2020,30926
Česko,Medián měsíčních mezd (Kč),ženy,2021,32800
Česko,Medián měsíčních mezd (Kč),ženy,2022,34587
Česko,Medián měsíčních mezd (Kč),ženy,2023,36669
Česko,Medián měsíčních mezd (Kč),ženy,2024,38676
Česko,Medián měsíčních mezd (Kč),muži,2011,23533
Česko,Medián měsíčních mezd (Kč),muži,2012,23652
Česko,Medián měsíčních mezd (Kč),muži,2013,23955
Česko,Medián měsíčních mezd (Kč),muži,2014,24670
Česko,Medián měsíčních mezd (Kč),muži,2015,25688
Česko,Medián měsíčních mezd (Kč),muži,2016,26973
Česko,Medián měsíčních mezd (Kč),muži,2017,29006
Česko,Medián měsíčních mezd (Kč),muži,2018,31433
Česko,Medián měsíčních mezd (Kč),muži,2019,33844
Česko,Medián měsíčních mezd (Kč),muži,2020,35051
Česko,Medián měsíčních mezd (Kč),muži,2021,37070
Česko,Medián měsíčních mezd (Kč),muži,2022,40020
Česko,Medián měsíčních mezd (Kč),muži,2023,42231
Česko,Medián měsíčních mezd (Kč),muži,2024,44740
