Území,Ukazatel,Čtvrtletí,value
Česko,HPH - Činnosti v oblasti nemovitostí,3. čtvrtletí 2023,99.8
Česko,HPH - Činnosti v oblasti nemovitostí,4. čtvrtletí 2023,99.9
Česko,HPH - Činnosti v oblasti nemovitostí,1. čtvrtletí 2024,97.8
Česko,HPH - Činnosti v oblasti nemovitostí,2. čtvrtletí 2024,98.6
Česko,HPH - Činnosti v oblasti nemovitostí,3. čtvrtletí 2024,97.7
Česko,HPH - Činnosti v oblasti nemovitostí,4. čtvrtletí 2024,97.9
Česko,HPH - Činnosti v oblasti nemovitostí,1. čtvrtletí 2025,100.8
Česko,HPH - Činnosti v oblasti nemovitostí,2. čtvrtletí 2025,101.0
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",3. čtvrtletí 2023,101.2
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",4. čtvrtletí 2023,101.8
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",1. čtvrtletí 2024,100.3
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",2. čtvrtletí 2024,101.0
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",3. čtvrtletí 2024,102.5
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",4. čtvrtletí 2024,105.5
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",1. čtvrtletí 2025,103.3
Česko,"HPH - Profesní, vědecké, technické a administrativní činnosti",2. čtvrtletí 2025,102.7
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",3. čtvrtletí 2023,100.5
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",4. čtvrtletí 2023,99.4
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",1. čtvrtletí 2024,100.7
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",2. čtvrtletí 2024,100.8
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",3. čtvrtletí 2024,101.0
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",4. čtvrtletí 2024,101.7
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",1. čtvrtletí 2025,101.3
Česko,"HPH - Veřejná správa a obrana, vzdělávání, zdravotní a sociální péče",2. čtvrtletí 2025,101.2
Česko,HPH - Ostatní činnosti,3. čtvrtletí 2023,94.2
Česko,HPH - Ostatní činnosti,4. čtvrtletí 2023,103.1
Česko,HPH - Ostatní činnosti,1. čtvrtletí 2024,101.5
