Území;Týdny;Ukazatel;value
Česko; 01. týden 2021;Průměrná cena bez daní (Kč/tis. l);9505.0
Česko; 01. týden 2021;Index cen (%);97.9
Česko; 51. týden 2020;Průměrná cena bez daní (Kč/tis. l);9712.0
Česko; 51. týden 2020;Index cen (%);101.2
Česko; 50. týden 2020;Průměrná cena bez daní (Kč/tis. l);9594.0
Česko; 50. týden 2020;Index cen (%);102.4
Česko; 49. týden 2020;Průměrná cena bez daní (Kč/tis. l);9367.0
Česko; 49. týden 2020;Index cen (%);104.2
Česko; 48. týden 2020;Průměrná cena bez daní (Kč/tis. l);8988.0
Česko; 48. týden 2020;Index cen (%);100.6
Česko; 47. týden 2020;Průměrná cena bez daní (Kč/tis. l);8931.0
Česko; 47. týden 2020;Index cen (%);104.0
Česko; 46. týden 2020;Průměrná cena bez daní (Kč/tis. l);8584.0
Česko; 46. týden 2020;Index cen (%);97.8
Česko; 45. týden 2020;Průměrná cena bez daní (Kč/tis. l);8775.0
Česko; 45. týden 2020;Index cen (%);98.8
Česko; 44. týden 2020;Průměrná cena bez daní (Kč/tis. l);8886.0
Česko; 44. týden 2020;Index cen (%);98.6
Česko; 43. týden 2020;Průměrná cena bez daní (Kč/tis. l);9008.0
Česko; 43. týden 2020;Index cen (%);102.6
Česko; 42. týden 2020;Průměrná cena bez daní (Kč/tis. l);8782.0
Česko; 42. týden 2020;Index cen (%);101.0
Česko; 41. týden 2020;Průměrná cena bez daní (Kč/tis. l);8698.0
Česko; 41. týden 2020;Index cen (%);99.7
Česko; 40. týden 2020;Průměrná cena bez daní (Kč/tis. l);8725.0
Česko; 40. týden 2020;Index cen (%);100.7
Česko; 39. týden 2020;Průměrná cena bez daní (Kč/tis. l);8662.0
Česko; 39. týden 2020;Index cen (%);99.6
Česko; 38. týden 2020;Průměrná cena bez daní (Kč/tis. l);8696.0
Česko; 38. týden 2020;Index cen (%);97.9
Česko; 37. týden 2020;Průměrná cena bez daní (Kč/tis. l);8885.0
Česko; 37. týden 2020;Index cen (%);97.6
Česko; 36. týden 2020;Průměrná cena bez daní (Kč/tis. l);9102.0
Česko; 36. týden 2020;Index cen (%);99.4
Česko; 35. týden 2020;Průměrná cena bez daní (Kč/tis. l);9153.0
Česko; 35. týden 2020;Index cen (%);99.0
Česko; 34. týden 2020;Průměrná cena bez daní (Kč/tis. l);9242.0
Česko; 34. týden 2020;Index cen (%);98.4
Česko; 33. týden 2020;Průměrná cena bez daní (Kč/tis. l);9397.0
Česko; 33. týden 2020;Index cen (%);101.8
Česko; 32. týden 2020;Průměrná cena bez daní (Kč/tis. l);9230.0
Česko; 32. týden 2020;Index cen (%);98.1
Česko; 31. týden 2020;Průměrná cena bez daní (Kč/tis. l);9408.0
Česko; 31. týden 2020;Index cen (%);99.6
Česko; 30. týden 2020;Průměrná cena bez daní (Kč/tis. l);9442.0
Česko; 30. týden 2020;Index cen (%);99.2
Česko; 29. týden 2020;Průměrná cena bez daní (Kč/tis. l);9514.0
Česko; 29. týden 2020;Index cen (%);100.8
Česko; 28. týden 2020;Průměrná cena bez daní (Kč/tis. l);9442.0
Česko; 28. týden 2020;Index cen (%);104.8
Česko; 27. týden 2020;Průměrná cena bez daní (Kč/tis. l);9009.0
Česko; 27. týden 2020;Index cen (%);100.3
Česko; 26. týden 2020;Průměrná cena bez daní (Kč/tis. l);8979.0
Česko; 26. týden 2020;Index cen (%);104.0
Česko; 25. týden 2020;Průměrná cena bez daní (Kč/tis. l);8633.0
Česko; 25. týden 2020;Index cen (%);97.7
Česko; 24. týden 2020;Průměrná cena bez daní (Kč/tis. l);8840.0
Česko; 24. týden 2020;Index cen (%);104.5
Česko; 23. týden 2020;Průměrná cena bez daní (Kč/tis. l);8461.0
Česko; 23. týden 2020;Index cen (%);100.4
Česko; 22. týden 2020;Průměrná cena bez daní (Kč/tis. l);8429.0
Česko; 22. týden 2020;Index cen (%);109.1
Česko; 21. týden 2020;Průměrná cena bez daní (Kč/tis. l);7728.0
Česko; 21. týden 2020;Index cen (%);103.3
Česko; 20. týden 2020;Průměrná cena bez daní (Kč/tis. l);7480.0
Česko; 20. týden 2020;Index cen (%);98.2
Česko; 19. týden 2020;Průměrná cena bez daní (Kč/tis. l);7619.0
Česko; 19. týden 2020;Index cen (%);96.7
Česko; 18. týden 2020;Průměrná cena bez daní (Kč/tis. l);7881.0
Česko; 18. týden 2020;Index cen (%);92.7
Česko; 17. týden 2020;Průměrná cena bez daní (Kč/tis. l);8503.0
Česko; 17. týden 2020;Index cen (%);96.6
Česko; 15. týden 2020;Průměrná cena bez daní (Kč/tis. l);8802.0
Česko; 15. týden 2020;Index cen (%);95.1
Česko; 14. týden 2020;Průměrná cena bez daní (Kč/tis. l);9256.0
Česko; 14. týden 2020;Index cen (%);97.4
Česko; 13. týden 2020;Průměrná cena bez daní (Kč/tis. l);9505.0
Česko; 13. týden 2020;Index cen (%);93.8
Česko; 12. týden 2020;Průměrná cena bez daní (Kč/tis. l);10129.0
Česko; 12. týden 2020;Index cen (%);91.0
Česko; 11. týden 2020;Průměrná cena bez daní (Kč/tis. l);11136.0
Česko; 11. týden 2020;Index cen (%);93.8
Česko; 10. týden 2020;Průměrná cena bez daní (Kč/tis. l);11869.0
Česko; 10. týden 2020;Index cen (%);96.6
Česko; 09. týden 2020;Průměrná cena bez daní (Kč/tis. l);12288.0
Česko; 09. týden 2020;Index cen (%);101.0
Česko; 08. týden 2020;Průměrná cena bez daní (Kč/tis. l);12163.0
Česko; 08. týden 2020;Index cen (%);101.5
Česko; 07. týden 2020;Průměrná cena bez daní (Kč/tis. l);11986.0
Česko; 07. týden 2020;Index cen (%);94.3
Česko; 06. týden 2020;Průměrná cena bez daní (Kč/tis. l);12714.0
Česko; 06. týden 2020;Index cen (%);96.5
Česko; 05. týden 2020;Průměrná cena bez daní (Kč/tis. l);13175.0
Česko; 05. týden 2020;Index cen (%);98.1
Česko; 04. týden 2020;Průměrná cena bez daní (Kč/tis. l);13432.0
Česko; 04. týden 2020;Index cen (%);97.1
Česko; 03. týden 2020;Průměrná cena bez daní (Kč/tis. l);13837.0
Česko; 03. týden 2020;Index cen (%);97.0
Česko; 02. týden 2020;Průměrná cena bez daní (Kč/tis. l);14259.0
Česko; 02. týden 2020;Index cen (%);106.5
Česko; 51. týden 2019;Průměrná cena bez daní (Kč/tis. l);13385.0
Česko; 51. týden 2019;Index cen (%);100.4
Česko; 50. týden 2019;Průměrná cena bez daní (Kč/tis. l);13329.0
Česko; 50. týden 2019;Index cen (%);97.7
Česko; 49. týden 2019;Průměrná cena bez daní (Kč/tis. l);13641.0
Česko; 49. týden 2019;Index cen (%);100.2
Česko; 48. týden 2019;Průměrná cena bez daní (Kč/tis. l);13618.0
Česko; 48. týden 2019;Index cen (%);99.1
Česko; 47. týden 2019;Průměrná cena bez daní (Kč/tis. l);13735.0
Česko; 47. týden 2019;Index cen (%);99.6
Česko; 46. týden 2019;Průměrná cena bez daní (Kč/tis. l);13784.0
Česko; 46. týden 2019;Index cen (%);100.8
Česko; 45. týden 2019;Průměrná cena bez daní (Kč/tis. l);13669.0
Česko; 45. týden 2019;Index cen (%);100.9
Česko; 44. týden 2019;Průměrná cena bez daní (Kč/tis. l);13549.0
Česko; 44. týden 2019;Index cen (%);100.2
Česko; 43. týden 2019;Průměrná cena bez daní (Kč/tis. l);13522.0
Česko; 43. týden 2019;Index cen (%);100.0
Česko; 42. týden 2019;Průměrná cena bez daní (Kč/tis. l);13528.0
Česko; 42. týden 2019;Index cen (%);97.7
Česko; 41. týden 2019;Průměrná cena bez daní (Kč/tis. l);13840.0
Česko; 41. týden 2019;Index cen (%);98.4
Česko; 40. týden 2019;Průměrná cena bez daní (Kč/tis. l);14062.0
Česko; 40. týden 2019;Index cen (%);99.0
Česko; 39. týden 2019;Průměrná cena bez daní (Kč/tis. l);14207.0
Česko; 39. týden 2019;Index cen (%);104.0
Česko; 38. týden 2019;Průměrná cena bez daní (Kč/tis. l);13665.0
Česko; 38. týden 2019;Index cen (%);102.0
Česko; 37. týden 2019;Průměrná cena bez daní (Kč/tis. l);13392.0
Česko; 37. týden 2019;Index cen (%);100.9
Česko; 36. týden 2019;Průměrná cena bez daní (Kč/tis. l);13277.0
Česko; 36. týden 2019;Index cen (%);100.4
Česko; 35. týden 2019;Průměrná cena bez daní (Kč/tis. l);13220.0
Česko; 35. týden 2019;Index cen (%);101.8
Česko; 34. týden 2019;Průměrná cena bez daní (Kč/tis. l);12980.0
Česko; 34. týden 2019;Index cen (%);100.2
Česko; 33. týden 2019;Průměrná cena bez daní (Kč/tis. l);12960.0
Česko; 33. týden 2019;Index cen (%);96.6
Česko; 32. týden 2019;Průměrná cena bez daní (Kč/tis. l);13415.0
Česko; 32. týden 2019;Index cen (%);101.6
Česko; 31. týden 2019;Průměrná cena bez daní (Kč/tis. l);13209.0
Česko; 31. týden 2019;Index cen (%);100.3
Česko; 30. týden 2019;Průměrná cena bez daní (Kč/tis. l);13169.0
Česko; 30. týden 2019;Index cen (%);99.3
Česko; 29. týden 2019;Průměrná cena bez daní (Kč/tis. l);13259.0
Česko; 29. týden 2019;Index cen (%);101.0
Česko; 28. týden 2019;Průměrná cena bez daní (Kč/tis. l);13127.0
Česko; 28. týden 2019;Index cen (%);98.4
Česko; 27. týden 2019;Průměrná cena bez daní (Kč/tis. l);13346.0
Česko; 27. týden 2019;Index cen (%);101.8
Česko; 26. týden 2019;Průměrná cena bez daní (Kč/tis. l);13115.0
Česko; 26. týden 2019;Index cen (%);100.9
Česko; 25. týden 2019;Průměrná cena bez daní (Kč/tis. l);12997.0
Česko; 25. týden 2019;Index cen (%);97.7
Česko; 24. týden 2019;Průměrná cena bez daní (Kč/tis. l);13299.0
Česko; 24. týden 2019;Index cen (%);94.3
Česko; 23. týden 2019;Průměrná cena bez daní (Kč/tis. l);14105.0
Česko; 23. týden 2019;Index cen (%);97.5
Česko; 22. týden 2019;Průměrná cena bez daní (Kč/tis. l);14463.0
Česko; 22. týden 2019;Index cen (%);99.9
Česko; 21. týden 2019;Průměrná cena bez daní (Kč/tis. l);14479.0
Česko; 21. týden 2019;Index cen (%);101.0
Česko; 20. týden 2019;Průměrná cena bez daní (Kč/tis. l);14340.0
Česko; 20. týden 2019;Index cen (%);99.9
Česko; 19. týden 2019;Průměrná cena bez daní (Kč/tis. l);14350.0
Česko; 19. týden 2019;Index cen (%);100.3
Česko; 18. týden 2019;Průměrná cena bez daní (Kč/tis. l);14311.0
Česko; 18. týden 2019;Index cen (%);103.6
Česko; 16. týden 2019;Průměrná cena bez daní (Kč/tis. l);13810.0
Česko; 16. týden 2019;Index cen (%);101.5
Česko; 15. týden 2019;Průměrná cena bez daní (Kč/tis. l);13610.0
Česko; 15. týden 2019;Index cen (%);101.2
Česko; 14. týden 2019;Průměrná cena bez daní (Kč/tis. l);13447.0
Česko; 14. týden 2019;Index cen (%);100.1
Česko; 13. týden 2019;Průměrná cena bez daní (Kč/tis. l);13431.0
Česko; 13. týden 2019;Index cen (%);99.0
Česko; 12. týden 2019;Průměrná cena bez daní (Kč/tis. l);13560.0
Česko; 12. týden 2019;Index cen (%);98.9
Česko; 11. týden 2019;Průměrná cena bez daní (Kč/tis. l);13711.0
Česko; 11. týden 2019;Index cen (%);101.3
Česko; 10. týden 2019;Průměrná cena bez daní (Kč/tis. l);13538.0
Česko; 10. týden 2019;Index cen (%);102.5
Česko; 09. týden 2019;Průměrná cena bez daní (Kč/tis. l);13206.0
Česko; 09. týden 2019;Index cen (%);100.3
Česko; 08. týden 2019;Průměrná cena bez daní (Kč/tis. l);13168.0
Česko; 08. týden 2019;Index cen (%);102.7
Česko; 07. týden 2019;Průměrná cena bez daní (Kč/tis. l);12824.0
Česko; 07. týden 2019;Index cen (%);101.2
Česko; 06. týden 2019;Průměrná cena bez daní (Kč/tis. l);12673.0
Česko; 06. týden 2019;Index cen (%);101.3
Česko; 05. týden 2019;Průměrná cena bez daní (Kč/tis. l);12505.0
Česko; 05. týden 2019;Index cen (%);98.5
Česko; 04. týden 2019;Průměrná cena bez daní (Kč/tis. l);12697.0
Česko; 04. týden 2019;Index cen (%);101.3
Česko; 03. týden 2019;Průměrná cena bez daní (Kč/tis. l);12533.0
Česko; 03. týden 2019;Index cen (%);98.2
Česko; 02. týden 2019;Průměrná cena bez daní (Kč/tis. l);12763.0
Česko; 02. týden 2019;Index cen (%);88.2
Česko; 51. týden 2018;Průměrná cena bez daní (Kč/tis. l);14472.0
Česko; 51. týden 2018;Index cen (%);98.2
Česko; 50. týden 2018;Průměrná cena bez daní (Kč/tis. l);14732.0
Česko; 50. týden 2018;Index cen (%);94.6
Česko; 49. týden 2018;Průměrná cena bez daní (Kč/tis. l);15575.0
Česko; 49. týden 2018;Index cen (%);97.3
Česko; 48. týden 2018;Průměrná cena bez daní (Kč/tis. l);16003.0
Česko; 48. týden 2018;Index cen (%);100.0
Česko; 47. týden 2018;Průměrná cena bez daní (Kč/tis. l);16003.0
Česko; 47. týden 2018;Index cen (%);100.0
Česko; 46. týden 2018;Průměrná cena bez daní (Kč/tis. l);16005.0
Česko; 46. týden 2018;Index cen (%);99.7
Česko; 45. týden 2018;Průměrná cena bez daní (Kč/tis. l);16051.0
Česko; 45. týden 2018;Index cen (%);98.2
Česko; 44. týden 2018;Průměrná cena bez daní (Kč/tis. l);16338.0
Česko; 44. týden 2018;Index cen (%);100.4
Česko; 43. týden 2018;Průměrná cena bez daní (Kč/tis. l);16278.0
Česko; 43. týden 2018;Index cen (%);100.4
Česko; 42. týden 2018;Průměrná cena bez daní (Kč/tis. l);16211.0
Česko; 42. týden 2018;Index cen (%);104.5
Česko; 41. týden 2018;Průměrná cena bez daní (Kč/tis. l);15510.0
Česko; 41. týden 2018;Index cen (%);107.5
Česko; 40. týden 2018;Průměrná cena bez daní (Kč/tis. l);14426.0
Česko; 40. týden 2018;Index cen (%);101.1
Česko; 39. týden 2018;Průměrná cena bez daní (Kč/tis. l);14263.0
Česko; 39. týden 2018;Index cen (%);99.4
Česko; 38. týden 2018;Průměrná cena bez daní (Kč/tis. l);14348.0
Česko; 38. týden 2018;Index cen (%);98.4
Česko; 37. týden 2018;Průměrná cena bez daní (Kč/tis. l);14579.0
Česko; 37. týden 2018;Index cen (%);104.6
Česko; 36. týden 2018;Průměrná cena bez daní (Kč/tis. l);13943.0
Česko; 36. týden 2018;Index cen (%);101.5
Česko; 35. týden 2018;Průměrná cena bez daní (Kč/tis. l);13734.0
Česko; 35. týden 2018;Index cen (%);100.4
Česko; 34. týden 2018;Průměrná cena bez daní (Kč/tis. l);13684.0
Česko; 34. týden 2018;Index cen (%);100.4
Česko; 33. týden 2018;Průměrná cena bez daní (Kč/tis. l);13633.0
Česko; 33. týden 2018;Index cen (%);98.8
Česko; 32. týden 2018;Průměrná cena bez daní (Kč/tis. l);13794.0
Česko; 32. týden 2018;Index cen (%);99.6
Česko; 31. týden 2018;Průměrná cena bez daní (Kč/tis. l);13845.0
Česko; 31. týden 2018;Index cen (%);100.3
Česko; 30. týden 2018;Průměrná cena bez daní (Kč/tis. l);13802.0
Česko; 30. týden 2018;Index cen (%);98.7
Česko; 29. týden 2018;Průměrná cena bez daní (Kč/tis. l);13983.0
Česko; 29. týden 2018;Index cen (%);98.6
Česko; 28. týden 2018;Průměrná cena bez daní (Kč/tis. l);14176.0
Česko; 28. týden 2018;Index cen (%);99.0
Česko; 26. týden 2018;Průměrná cena bez daní (Kč/tis. l);14322.0
Česko; 26. týden 2018;Index cen (%);98.3
Česko; 25. týden 2018;Průměrná cena bez daní (Kč/tis. l);14567.0
Česko; 25. týden 2018;Index cen (%);100.5
Česko; 24. týden 2018;Průměrná cena bez daní (Kč/tis. l);14496.0
Česko; 24. týden 2018;Index cen (%);99.5
Česko; 23. týden 2018;Průměrná cena bez daní (Kč/tis. l);14574.0
Česko; 23. týden 2018;Index cen (%);95.0
Česko; 22. týden 2018;Průměrná cena bez daní (Kč/tis. l);15344.0
Česko; 22. týden 2018;Index cen (%);108.2
Česko; 21. týden 2018;Průměrná cena bez daní (Kč/tis. l);14176.0
Česko; 21. týden 2018;Index cen (%);107.5
Česko; 20. týden 2018;Průměrná cena bez daní (Kč/tis. l);13186.0
Česko; 20. týden 2018;Index cen (%);103.9
Česko; 19. týden 2018;Průměrná cena bez daní (Kč/tis. l);12691.0
Česko; 19. týden 2018;Index cen (%);102.3
Česko; 18. týden 2018;Průměrná cena bez daní (Kč/tis. l);12406.0
Česko; 18. týden 2018;Index cen (%);102.4
Česko; 17. týden 2018;Průměrná cena bez daní (Kč/tis. l);12111.0
Česko; 17. týden 2018;Index cen (%);100.3
Česko; 16. týden 2018;Průměrná cena bez daní (Kč/tis. l);12076.0
Česko; 16. týden 2018;Index cen (%);99.7
Česko; 15. týden 2018;Průměrná cena bez daní (Kč/tis. l);12107.0
Česko; 15. týden 2018;Index cen (%);103.3
Česko; 13. týden 2018;Průměrná cena bez daní (Kč/tis. l);11724.0
Česko; 13. týden 2018;Index cen (%);102.2
Česko; 12. týden 2018;Průměrná cena bez daní (Kč/tis. l);11471.0
Česko; 12. týden 2018;Index cen (%);100.1
Česko; 11. týden 2018;Průměrná cena bez daní (Kč/tis. l);11456.0
Česko; 11. týden 2018;Index cen (%);98.7
Česko; 10. týden 2018;Průměrná cena bez daní (Kč/tis. l);11611.0
Česko; 10. týden 2018;Index cen (%);99.2
Česko; 09. týden 2018;Průměrná cena bez daní (Kč/tis. l);11702.0
Česko; 09. týden 2018;Index cen (%);100.3
Česko; 08. týden 2018;Průměrná cena bez daní (Kč/tis. l);11664.0
Česko; 08. týden 2018;Index cen (%);97.2
Česko; 07. týden 2018;Průměrná cena bez daní (Kč/tis. l);12005.0
Česko; 07. týden 2018;Index cen (%);97.1
Česko; 06. týden 2018;Průměrná cena bez daní (Kč/tis. l);12367.0
Česko; 06. týden 2018;Index cen (%);99.4
Česko; 05. týden 2018;Průměrná cena bez daní (Kč/tis. l);12441.0
Česko; 05. týden 2018;Index cen (%);99.1
Česko; 04. týden 2018;Průměrná cena bez daní (Kč/tis. l);12549.0
Česko; 04. týden 2018;Index cen (%);98.7
Česko; 03. týden 2018;Průměrná cena bez daní (Kč/tis. l);12716.0
Česko; 03. týden 2018;Index cen (%);101.1
Česko; 02. týden 2018;Průměrná cena bez daní (Kč/tis. l);12579.0
Česko; 02. týden 2018;Index cen (%);100.8
Česko; 01. týden 2018;Průměrná cena bez daní (Kč/tis. l);12483.0
Česko; 01. týden 2018;Index cen (%);100.3
Česko; 51. týden 2017;Průměrná cena bez daní (Kč/tis. l);12447.0
Česko; 51. týden 2017;Index cen (%);102.8
Česko; 50. týden 2017;Průměrná cena bez daní (Kč/tis. l);12103.0
Česko; 50. týden 2017;Index cen (%);100.6
Česko; 49. týden 2017;Průměrná cena bez daní (Kč/tis. l);12032.0
Česko; 49. týden 2017;Index cen (%);99.2
Česko; 48. týden 2017;Průměrná cena bez daní (Kč/tis. l);12134.0
Česko; 48. týden 2017;Index cen (%);98.5
Česko; 47. týden 2017;Průměrná cena bez daní (Kč/tis. l);12314.0
Česko; 47. týden 2017;Index cen (%);100.3
Česko; 46. týden 2017;Průměrná cena bez daní (Kč/tis. l);12278.0
Česko; 46. týden 2017;Index cen (%);102.7
Česko; 45. týden 2017;Průměrná cena bez daní (Kč/tis. l);11954.0
Česko; 45. týden 2017;Index cen (%);101.9
Česko; 44. týden 2017;Průměrná cena bez daní (Kč/tis. l);11726.0
Česko; 44. týden 2017;Index cen (%);99.6
Česko; 43. týden 2017;Průměrná cena bez daní (Kč/tis. l);11768.0
Česko; 43. týden 2017;Index cen (%);100.9
Česko; 42. týden 2017;Průměrná cena bez daní (Kč/tis. l);11660.0
Česko; 42. týden 2017;Index cen (%);100.3
Česko; 41. týden 2017;Průměrná cena bez daní (Kč/tis. l);11626.0
Česko; 41. týden 2017;Index cen (%);100.3
Česko; 40. týden 2017;Průměrná cena bez daní (Kč/tis. l);11593.0
Česko; 40. týden 2017;Index cen (%);102.3
Česko; 39. týden 2017;Průměrná cena bez daní (Kč/tis. l);11327.0
Česko; 39. týden 2017;Index cen (%);100.4
Česko; 38. týden 2017;Průměrná cena bez daní (Kč/tis. l);11287.0
Česko; 38. týden 2017;Index cen (%);102.1
Česko; 37. týden 2017;Průměrná cena bez daní (Kč/tis. l);11054.0
Česko; 37. týden 2017;Index cen (%);102.3
Česko; 36. týden 2017;Průměrná cena bez daní (Kč/tis. l);10803.0
Česko; 36. týden 2017;Index cen (%);101.7
Česko; 35. týden 2017;Průměrná cena bez daní (Kč/tis. l);10622.0
Česko; 35. týden 2017;Index cen (%);100.1
Česko; 34. týden 2017;Průměrná cena bez daní (Kč/tis. l);10608.0
Česko; 34. týden 2017;Index cen (%);99.5
Česko; 33. týden 2017;Průměrná cena bez daní (Kč/tis. l);10660.0
Česko; 33. týden 2017;Index cen (%);99.9
Česko; 32. týden 2017;Průměrná cena bez daní (Kč/tis. l);10675.0
Česko; 32. týden 2017;Index cen (%);102.1
Česko; 31. týden 2017;Průměrná cena bez daní (Kč/tis. l);10460.0
Česko; 31. týden 2017;Index cen (%);101.1
Česko; 30. týden 2017;Průměrná cena bez daní (Kč/tis. l);10342.0
Česko; 30. týden 2017;Index cen (%);100.8
Česko; 29. týden 2017;Průměrná cena bez daní (Kč/tis. l);10261.0
Česko; 29. týden 2017;Index cen (%);96.5
Česko; 28. týden 2017;Průměrná cena bez daní (Kč/tis. l);10638.0
Česko; 28. týden 2017;Index cen (%);102.1
Česko; 26. týden 2017;Průměrná cena bez daní (Kč/tis. l);10424.0
Česko; 26. týden 2017;Index cen (%);98.7
Česko; 25. týden 2017;Průměrná cena bez daní (Kč/tis. l);10562.0
Česko; 25. týden 2017;Index cen (%);98.8
Česko; 24. týden 2017;Průměrná cena bez daní (Kč/tis. l);10693.0
Česko; 24. týden 2017;Index cen (%);97.0
Česko; 23. týden 2017;Průměrná cena bez daní (Kč/tis. l);11026.0
Česko; 23. týden 2017;Index cen (%);97.0
Česko; 22. týden 2017;Průměrná cena bez daní (Kč/tis. l);11364.0
Česko; 22. týden 2017;Index cen (%);100.6
Česko; 21. týden 2017;Průměrná cena bez daní (Kč/tis. l);11292.0
Česko; 21. týden 2017;Index cen (%);101.5
Česko; 20. týden 2017;Průměrná cena bez daní (Kč/tis. l);11122.0
Česko; 20. týden 2017;Index cen (%);92.5
Česko; 17. týden 2017;Průměrná cena bez daní (Kč/tis. l);12027.0
Česko; 17. týden 2017;Index cen (%);100.1
Česko; 15. týden 2017;Průměrná cena bez daní (Kč/tis. l);12011.0
Česko; 15. týden 2017;Index cen (%);100.1
Česko; 14. týden 2017;Průměrná cena bez daní (Kč/tis. l);11998.0
Česko; 14. týden 2017;Index cen (%);101.5
Česko; 13. týden 2017;Průměrná cena bez daní (Kč/tis. l);11818.0
Česko; 13. týden 2017;Index cen (%);98.9
Česko; 12. týden 2017;Průměrná cena bez daní (Kč/tis. l);11947.0
Česko; 12. týden 2017;Index cen (%);97.3
Česko; 11. týden 2017;Průměrná cena bez daní (Kč/tis. l);12273.0
Česko; 11. týden 2017;Index cen (%);97.9
Česko; 10. týden 2017;Průměrná cena bez daní (Kč/tis. l);12531.0
Česko; 10. týden 2017;Index cen (%);99.6
Česko; 09. týden 2017;Průměrná cena bez daní (Kč/tis. l);12587.0
Česko; 09. týden 2017;Index cen (%);101.5
Česko; 08. týden 2017;Průměrná cena bez daní (Kč/tis. l);12407.0
Česko; 08. týden 2017;Index cen (%);99.4
Česko; 07. týden 2017;Průměrná cena bez daní (Kč/tis. l);12485.0
Česko; 07. týden 2017;Index cen (%);99.5
Česko; 06. týden 2017;Průměrná cena bez daní (Kč/tis. l);12550.0
Česko; 06. týden 2017;Index cen (%);100.5
Česko; 05. týden 2017;Průměrná cena bez daní (Kč/tis. l);12482.0
Česko; 05. týden 2017;Index cen (%);99.1
Česko; 04. týden 2017;Průměrná cena bez daní (Kč/tis. l);12595.0
Česko; 04. týden 2017;Index cen (%);99.6
Česko; 03. týden 2017;Průměrná cena bez daní (Kč/tis. l);12643.0
Česko; 03. týden 2017;Index cen (%);100.8
Česko; 02. týden 2017;Průměrná cena bez daní (Kč/tis. l);12540.0
Česko; 02. týden 2017;Index cen (%);99.5
Česko; 01. týden 2017;Průměrná cena bez daní (Kč/tis. l);12607.0
Česko; 01. týden 2017;Index cen (%);101.6
Česko; 51. týden 2016;Průměrná cena bez daní (Kč/tis. l);12405.0
Česko; 51. týden 2016;Index cen (%);102.6
Česko; 50. týden 2016;Průměrná cena bez daní (Kč/tis. l);12089.0
Česko; 50. týden 2016;Index cen (%);104.1
Česko; 49. týden 2016;Průměrná cena bez daní (Kč/tis. l);11618.0
Česko; 49. týden 2016;Index cen (%);101.3
Česko; 48. týden 2016;Průměrná cena bez daní (Kč/tis. l);11467.0
Česko; 48. týden 2016;Index cen (%);104.8
Česko; 47. týden 2016;Průměrná cena bez daní (Kč/tis. l);10938.0
Česko; 47. týden 2016;Index cen (%);102.4
Česko; 46. týden 2016;Průměrná cena bez daní (Kč/tis. l);10683.0
Česko; 46. týden 2016;Index cen (%);98.1
Česko; 45. týden 2016;Průměrná cena bez daní (Kč/tis. l);10890.0
Česko; 45. týden 2016;Index cen (%);96.7
Česko; 44. týden 2016;Průměrná cena bez daní (Kč/tis. l);11260.0
Česko; 44. týden 2016;Index cen (%);100.7
Česko; 42. týden 2016;Průměrná cena bez daní (Kč/tis. l);11179.0
Česko; 42. týden 2016;Index cen (%);104.5
Česko; 41. týden 2016;Průměrná cena bez daní (Kč/tis. l);10693.0
Česko; 41. týden 2016;Index cen (%);99.8
Česko; 40. týden 2016;Průměrná cena bez daní (Kč/tis. l);10717.0
Česko; 40. týden 2016;Index cen (%);100.6
Česko; 39. týden 2016;Průměrná cena bez daní (Kč/tis. l);10654.0
Česko; 39. týden 2016;Index cen (%);101.9
Česko; 38. týden 2016;Průměrná cena bez daní (Kč/tis. l);10453.0
Česko; 38. týden 2016;Index cen (%);99.6
Česko; 37. týden 2016;Průměrná cena bez daní (Kč/tis. l);10494.0
Česko; 37. týden 2016;Index cen (%);99.9
Česko; 36. týden 2016;Průměrná cena bez daní (Kč/tis. l);10501.0
Česko; 36. týden 2016;Index cen (%);93.6
Česko; 35. týden 2016;Průměrná cena bez daní (Kč/tis. l);11223.0
Česko; 35. týden 2016;Index cen (%);105.5
Česko; 34. týden 2016;Průměrná cena bez daní (Kč/tis. l);10637.0
Česko; 34. týden 2016;Index cen (%);106.5
Česko; 33. týden 2016;Průměrná cena bez daní (Kč/tis. l);9987.0
Česko; 33. týden 2016;Index cen (%);101.8
Česko; 32. týden 2016;Průměrná cena bez daní (Kč/tis. l);9813.0
Česko; 32. týden 2016;Index cen (%);99.4
Česko; 31. týden 2016;Průměrná cena bez daní (Kč/tis. l);9875.0
Česko; 31. týden 2016;Index cen (%);97.1
Česko; 30. týden 2016;Průměrná cena bez daní (Kč/tis. l);10166.0
Česko; 30. týden 2016;Index cen (%);99.1
Česko; 29. týden 2016;Průměrná cena bez daní (Kč/tis. l);10256.0
Česko; 29. týden 2016;Index cen (%);98.4
Česko; 28. týden 2016;Průměrná cena bez daní (Kč/tis. l);10421.0
Česko; 28. týden 2016;Index cen (%);96.3
Česko; 26. týden 2016;Průměrná cena bez daní (Kč/tis. l);10819.0
Česko; 26. týden 2016;Index cen (%);100.0
Česko; 25. týden 2016;Průměrná cena bez daní (Kč/tis. l);10824.0
Česko; 25. týden 2016;Index cen (%);98.4
Česko; 24. týden 2016;Průměrná cena bez daní (Kč/tis. l);11004.0
Česko; 24. týden 2016;Index cen (%);102.0
Česko; 23. týden 2016;Průměrná cena bez daní (Kč/tis. l);10791.0
