Území;Týdny;Ukazatel;value
Česko; 28. týden 2024;Průměrná cena bez daní (Kč/tis. l);18082.0
Česko; 28. týden 2024;Index cen (%);98.7
Česko; 27. týden 2024;Průměrná cena bez daní (Kč/tis. l);18313.0
Česko; 27. týden 2024;Index cen (%);100.7
Česko; 26. týden 2024;Průměrná cena bez daní (Kč/tis. l);18185.0
Česko; 26. týden 2024;Index cen (%);103.8
Česko; 25. týden 2024;Průměrná cena bez daní (Kč/tis. l);17514.0
Česko; 25. týden 2024;Index cen (%);101.9
Česko; 24. týden 2024;Průměrná cena bez daní (Kč/tis. l);17181.0
Česko; 24. týden 2024;Index cen (%);97.6
Česko; 23. týden 2024;Průměrná cena bez daní (Kč/tis. l);17612.0
Česko; 23. týden 2024;Index cen (%);98.2
Česko; 22. týden 2024;Průměrná cena bez daní (Kč/tis. l);17943.0
Česko; 22. týden 2024;Index cen (%);99.7
Česko; 21. týden 2024;Průměrná cena bez daní (Kč/tis. l);18004.0
Česko; 21. týden 2024;Index cen (%);99.1
Česko; 20. týden 2024;Průměrná cena bez daní (Kč/tis. l);18169.0
Česko; 20. týden 2024;Index cen (%);98.8
Česko; 19. týden 2024;Průměrná cena bez daní (Kč/tis. l);18390.0
Česko; 19. týden 2024;Index cen (%);96.8
Česko; 18. týden 2024;Průměrná cena bez daní (Kč/tis. l);18995.0
Česko; 18. týden 2024;Index cen (%);99.3
Česko; 17. týden 2024;Průměrná cena bez daní (Kč/tis. l);19130.0
Česko; 17. týden 2024;Index cen (%);97.3
Česko; 16. týden 2024;Průměrná cena bez daní (Kč/tis. l);19669.0
Česko; 16. týden 2024;Index cen (%);98.4
Česko; 15. týden 2024;Průměrná cena bez daní (Kč/tis. l);19991.0
Česko; 15. týden 2024;Index cen (%);103.5
Česko; 14. týden 2024;Průměrná cena bez daní (Kč/tis. l);19311.0
Česko; 14. týden 2024;Index cen (%);100.3
Česko; 13. týden 2024;Průměrná cena bez daní (Kč/tis. l);19248.0
Česko; 13. týden 2024;Index cen (%);100.3
Česko; 12. týden 2024;Průměrná cena bez daní (Kč/tis. l);19192.0
Česko; 12. týden 2024;Index cen (%);100.0
Česko; 11. týden 2024;Průměrná cena bez daní (Kč/tis. l);19197.0
Česko; 11. týden 2024;Index cen (%);97.2
Česko; 10. týden 2024;Průměrná cena bez daní (Kč/tis. l);19747.0
Česko; 10. týden 2024;Index cen (%);100.4
Česko; 09. týden 2024;Průměrná cena bez daní (Kč/tis. l);19671.0
Česko; 09. týden 2024;Index cen (%);97.7
Česko; 08. týden 2024;Průměrná cena bez daní (Kč/tis. l);20127.0
Česko; 08. týden 2024;Index cen (%);103.5
Česko; 07. týden 2024;Průměrná cena bez daní (Kč/tis. l);19449.0
Česko; 07. týden 2024;Index cen (%);103.4
