Území;Ukazatel;Způsob vyplacení důchodu;Roky;value
Česko;Počet příjemců vdovských důchodu;Sólo;2017;23676
Česko;Počet příjemců vdovských důchodu;Sólo;2018;22121
Česko;Počet příjemců vdovských důchodu;Sólo;2019;20981
Česko;Počet příjemců vdovských důchodu;Sólo;2020;20327
Česko;Počet příjemců vdovských důchodu;Sólo;2021;20457
Česko;Počet příjemců vdovských důchodu;Sólo;2022;19259
Česko;Počet příjemců vdovských důchodu;Sólo;2023;18135
Česko;Počet příjemců vdovských důchodu;Kombinace;2011;539347
Česko;Počet příjemců vdovských důchodu;Kombinace;2012;537063
Česko;Počet příjemců vdovských důchodu;Kombinace;2013;533189
Česko;Počet příjemců vdovských důchodu;Kombinace;2014;530522
Česko;Počet příjemců vdovských důchodu;Kombinace;2015;526560
Česko;Počet příjemců vdovských důchodu;Kombinace;2016;524084
Česko;Počet příjemců vdovských důchodu;Kombinace;2017;519501
Česko;Počet příjemců vdovských důchodu;Kombinace;2018;515735
Česko;Počet příjemců vdovských důchodu;Kombinace;2019;511112
Česko;Počet příjemců vdovských důchodu;Kombinace;2020;503297
Česko;Počet příjemců vdovských důchodu;Kombinace;2021;502412
Česko;Počet příjemců vdovských důchodu;Kombinace;2022;496690
Česko;Počet příjemců vdovských důchodu;Kombinace;2023;490363
Česko;Průměrný vdovecký důchod (Kč);Sólo;2011;5920
Česko;Průměrný vdovecký důchod (Kč);Sólo;2012;6076
Česko;Průměrný vdovecký důchod (Kč);Sólo;2013;6240
Česko;Průměrný vdovecký důchod (Kč);Sólo;2014;6314
Česko;Průměrný vdovecký důchod (Kč);Sólo;2015;6477
Česko;Průměrný vdovecký důchod (Kč);Sólo;2016;6551
Česko;Průměrný vdovecký důchod (Kč);Sólo;2017;6815
Česko;Průměrný vdovecký důchod (Kč);Sólo;2018;7137
Česko;Průměrný vdovecký důchod (Kč);Sólo;2019;7898
Česko;Průměrný vdovecký důchod (Kč);Sólo;2020;8551
Česko;Průměrný vdovecký důchod (Kč);Sólo;2021;9004
Česko;Průměrný vdovecký důchod (Kč);Sólo;2022;10537
Česko;Průměrný vdovecký důchod (Kč);Sólo;2023;11529
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2011;12963
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2012;13236
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2013;13463
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2014;13596
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2015;13927
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2016;14049
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2017;14504
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2018;15175
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2019;16496
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2020;17669
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2021;18854
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2022;22036
Česko;Průměrný vdovecký důchod (Kč);Kombinace;2023;24076
Česko;Průměrný vdovský důchod (Kč);Sólo;2011;6989
Česko;Průměrný vdovský důchod (Kč);Sólo;2012;7104
Česko;Průměrný vdovský důchod (Kč);Sólo;2013;7216
Česko;Průměrný vdovský důchod (Kč);Sólo;2014;7250
Česko;Průměrný vdovský důchod (Kč);Sólo;2015;7395
Česko;Průměrný vdovský důchod (Kč);Sólo;2016;7446
Česko;Průměrný vdovský důchod (Kč);Sólo;2017;7677
Česko;Průměrný vdovský důchod (Kč);Sólo;2018;8029
