Kategorie ubytovacího zařízení,"ČR, kraje, SO ORP",Roky,Ukazatel,value
HUZ celkem,Česko,2024,Počet hromadných ubytovacích zařízení,10104
HUZ celkem,Česko,2024,Počet pokojů v hromadných ubytovacích zařízeních,216691
HUZ celkem,Česko,2024,Počet lůžek v hromadných ubytovacích zařízeních,559870
HUZ celkem,Česko,2024,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50968
HUZ celkem,Česko,2023,Počet hromadných ubytovacích zařízení,10293
HUZ celkem,Česko,2023,Počet pokojů v hromadných ubytovacích zařízeních,220420
HUZ celkem,Česko,2023,Počet lůžek v hromadných ubytovacích zařízeních,567195
HUZ celkem,Česko,2023,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,51480
HUZ celkem,Česko,2022,Počet hromadných ubytovacích zařízení,10652
HUZ celkem,Česko,2022,Počet pokojů v hromadných ubytovacích zařízeních,227695
HUZ celkem,Česko,2022,Počet lůžek v hromadných ubytovacích zařízeních,586836
HUZ celkem,Česko,2022,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,52886
HUZ celkem,Česko,2021,Počet hromadných ubytovacích zařízení,10898
HUZ celkem,Česko,2021,Počet pokojů v hromadných ubytovacích zařízeních,226848
HUZ celkem,Česko,2021,Počet lůžek v hromadných ubytovacích zařízeních,586061
HUZ celkem,Česko,2021,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,53708
HUZ celkem,Česko,2020,Počet hromadných ubytovacích zařízení,10699
HUZ celkem,Česko,2020,Počet pokojů v hromadných ubytovacích zařízeních,228431
HUZ celkem,Česko,2020,Počet lůžek v hromadných ubytovacích zařízeních,592314
HUZ celkem,Česko,2020,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,53530
HUZ celkem,Česko,2019,Počet hromadných ubytovacích zařízení,9383
HUZ celkem,Česko,2019,Počet pokojů v hromadných ubytovacích zařízeních,210496
HUZ celkem,Česko,2019,Počet lůžek v hromadných ubytovacích zařízeních,539685
HUZ celkem,Česko,2019,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,53772
HUZ celkem,Česko,2018,Počet hromadných ubytovacích zařízení,9426
HUZ celkem,Česko,2018,Počet pokojů v hromadných ubytovacích zařízeních,210415
HUZ celkem,Česko,2018,Počet lůžek v hromadných ubytovacích zařízeních,537603
HUZ celkem,Česko,2018,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,53746
HUZ celkem,Česko,2017,Počet hromadných ubytovacích zařízení,9007
HUZ celkem,Česko,2017,Počet pokojů v hromadných ubytovacích zařízeních,205324
HUZ celkem,Česko,2017,Počet lůžek v hromadných ubytovacích zařízeních,526788
HUZ celkem,Česko,2017,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,49725
HUZ celkem,Česko,2016,Počet hromadných ubytovacích zařízení,9168
HUZ celkem,Česko,2016,Počet pokojů v hromadných ubytovacích zařízeních,207309
HUZ celkem,Česko,2016,Počet lůžek v hromadných ubytovacích zařízeních,533507
HUZ celkem,Česko,2016,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,48719
HUZ celkem,Česko,2015,Počet hromadných ubytovacích zařízení,9163
HUZ celkem,Česko,2015,Počet pokojů v hromadných ubytovacích zařízeních,206258
HUZ celkem,Česko,2015,Počet lůžek v hromadných ubytovacích zařízeních,529250
HUZ celkem,Česko,2015,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,48585
HUZ celkem,Česko,2014,Počet hromadných ubytovacích zařízení,9013
HUZ celkem,Česko,2014,Počet pokojů v hromadných ubytovacích zařízeních,202482
HUZ celkem,Česko,2014,Počet lůžek v hromadných ubytovacích zařízeních,519909
HUZ celkem,Česko,2014,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50837
HUZ celkem,Česko,2013,Počet hromadných ubytovacích zařízení,9970
HUZ celkem,Česko,2013,Počet pokojů v hromadných ubytovacích zařízeních,215048
HUZ celkem,Česko,2013,Počet lůžek v hromadných ubytovacích zařízeních,554523
HUZ celkem,Česko,2013,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,49638
HUZ celkem,Česko,2012,Počet hromadných ubytovacích zařízení,10057
HUZ celkem,Česko,2012,Počet pokojů v hromadných ubytovacích zařízeních,217188
HUZ celkem,Česko,2012,Počet lůžek v hromadných ubytovacích zařízeních,560401
HUZ celkem,Česko,2012,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50282
