Ukazatel;Pohlaví;Roky;ČR, kraje;Věkové skupiny (pětileté);value
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;25 - 29;0.4040255638
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;30 - 34;0.5226427276
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;35 - 39;0.8457936868
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;40 - 44;1.1286371019
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;45 - 49;1.8854309723
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;50 - 54;3.4295434592
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;55 - 59;4.6640128335
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;60 - 64;8.9590307668
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;65 - 69;13.4602353231
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;70 - 74;22.9272103529
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;75 - 79;37.1673164943
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;80 - 84;68.0364968748
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;85 - 89;122.604322414
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;90 - 94;238.5914480776
Míra úmrtnosti;Celkem;2023;Kraj Vysočina;95 a více;368.0154142582
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;Celkem;10.0774737476
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;0;1.8369489153
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;1 - 4;0.0374118483
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;5 - 9;0.029399659
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;10 - 14;0.0300075019
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;15 - 19;0.1921752638
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;20 - 24;0.4512228138
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;25 - 29;0.5732301519
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;30 - 34;0.6807103699
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;35 - 39;0.7376926358
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;40 - 44;1.3013055721
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;45 - 49;2.0940305786
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;50 - 54;3.5764694625
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;55 - 59;5.2231089429
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;60 - 64;8.390587043
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;65 - 69;14.3311213963
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;70 - 74;23.2761479784
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;75 - 79;35.8989511006
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;80 - 84;62.7673878499
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;85 - 89;114.9858042217
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;90 - 94;229.4746085175
Míra úmrtnosti;Celkem;2023;Jihomoravský kraj;95 a více;354.2538354254
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;Celkem;11.032095956
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;0;2.6487727353
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;1 - 4;0.1153535587
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;5 - 9;0.0299760192
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;10 - 14;0.1174122344
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;15 - 19;0.364752728
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;20 - 24;0.5488474204
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;25 - 29;0.3172790152
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;30 - 34;0.7580926389
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;35 - 39;0.9911785112
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;40 - 44;1.7762378843
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;45 - 49;2.3314693721
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;50 - 54;3.6728478008
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;55 - 59;6.6543891958
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;60 - 64;9.9635740304
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;65 - 69;15.2233591215
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;70 - 74;24.7097667483
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;75 - 79;38.2394149609
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;80 - 84;64.7362385321
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;85 - 89;119.0754144291
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;90 - 94;226.885823305
Míra úmrtnosti;Celkem;2023;Olomoucký kraj;95 a více;377.2189349112
Míra úmrtnosti;Celkem;2023;Zlínský kraj;Celkem;10.8026975761
Míra úmrtnosti;Celkem;2023;Zlínský kraj;0;2.7461749706
Míra úmrtnosti;Celkem;2023;Zlínský kraj;1 - 4;0.1701548409
Míra úmrtnosti;Celkem;2023;Zlínský kraj;5 - 9;0.0334862539
Míra úmrtnosti;Celkem;2023;Zlínský kraj;10 - 14;0.0994497116
Míra úmrtnosti;Celkem;2023;Zlínský kraj;15 - 19;0.303674461
Míra úmrtnosti;Celkem;2023;Zlínský kraj;20 - 24;0.4789977892
Míra úmrtnosti;Celkem;2023;Zlínský kraj;25 - 29;0.5917159763
Míra úmrtnosti;Celkem;2023;Zlínský kraj;30 - 34;0.6683002896
Míra úmrtnosti;Celkem;2023;Zlínský kraj;35 - 39;1.0980770261
Míra úmrtnosti;Celkem;2023;Zlínský kraj;40 - 44;1.4223036498
Míra úmrtnosti;Celkem;2023;Zlínský kraj;45 - 49;2.859054687
Míra úmrtnosti;Celkem;2023;Zlínský kraj;50 - 54;3.4822286263
Míra úmrtnosti;Celkem;2023;Zlínský kraj;55 - 59;5.8698249442
Míra úmrtnosti;Celkem;2023;Zlínský kraj;60 - 64;9.0062372388
Míra úmrtnosti;Celkem;2023;Zlínský kraj;65 - 69;13.6282095906
Míra úmrtnosti;Celkem;2023;Zlínský kraj;70 - 74;22.0252720253
Míra úmrtnosti;Celkem;2023;Zlínský kraj;75 - 79;35.5362537764
Míra úmrtnosti;Celkem;2023;Zlínský kraj;80 - 84;65.0116750645
Míra úmrtnosti;Celkem;2023;Zlínský kraj;85 - 89;117.5310360831
Míra úmrtnosti;Celkem;2023;Zlínský kraj;90 - 94;227.245508982
