Ukazatel;Území;Reprezentant pro oblast cen;Měsíce;value
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2013;121.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2013;121.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2013;120.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2013;120.05
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2013;119.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2013;118.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2013;119.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2013;119.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2013;119.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2013;118.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2013;119.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2013;119.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2014;119.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2014;122.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2014;120.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2014;119.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2014;119.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2014;121.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2014;121.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2014;121.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2014;121.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2014;121.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2014;121.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2014;121.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2015;121.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2015;119.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2015;120.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2015;121.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2015;121.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2015;122.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2015;121.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2015;121.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2015;121.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2015;123.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2015;123.12
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2015;120.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2016;117.75
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2016;117.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2016;117.22
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2016;116.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2016;116.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2016;116.78
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2016;116.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2016;117.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2016;117.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2016;117.63
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2016;118.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2016;117.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2017;119.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2017;120.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2017;121.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2017;119.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2017;121.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2017;123.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2017;122.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2017;122.74
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2017;122.31
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2017;121.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2017;121.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2017;122.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2018;120.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2018;120.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2018;120.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2018;120.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2018;120.87
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2018;120.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2018;120.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2018;120.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2018;119.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2018;120.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2018;120.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2018;120.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2019;121.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2019;121.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2019;120.71
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2019;121.41
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2019;121.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2019;121.49
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2019;121.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2019;121.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2019;121.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2019;121.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2019;121.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2019;122.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2020;123.24
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2020;122.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2020;123.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2020;123.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2020;123.08
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2020;123.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2020;123.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2020;123.7
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2020;122.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2020;122.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2020;122.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2020;123.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2021;123.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2021;124.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2021;123.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2021;124.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2021;125.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2021;125.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2021;126.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2021;125.1
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2021;129.96
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2021;132.13
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2021;135.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2021;135.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2022;139.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2022;141.82
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2022;150.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2022;160.77
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2022;164.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2022;166.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2022;162.91
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2022;162.09
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2022;163.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2022;165.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2022;163.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2022;163.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2023;163.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2023;164.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2023;162.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2023;162.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2023;162.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2023;163.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2023;163.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2023;162.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2023;164.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2023;163.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2023;165.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2023;167.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2024;165.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2024;164.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2024;170.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2024;169.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];květen 2024;171.69
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červen 2024;172.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];červenec 2024;170.4
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];srpen 2024;168.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];září 2024;172.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];říjen 2024;175.16
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];listopad 2024;181.0
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];prosinec 2024;182.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];leden 2025;186.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];únor 2025;189.21
