Území,Roky,Druh cesty ,Způsob dopravy,Ukazatel,Cíl cesty,value
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Zahraniční,10344.658221
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet cest (v tis.),Domácí,11358.207892
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet cest (v tis.),Zahraniční,1346.3722223
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet přenocování (v tis.),Domácí,22779.595517
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet přenocování (v tis.),Zahraniční,3102.5300452
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Náklady (mil. Kč),Domácí,20339.094064
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Náklady (mil. Kč),Zahraniční,6523.3585455
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Počet cest (v tis.),Domácí,550.07266463
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Počet přenocování (v tis.),Domácí,1077.0557013
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Náklady (mil. Kč),Domácí,929.23423109
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Autobus,Náklady (mil. Kč),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Počet cest (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Počet přenocování (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Náklady (mil. Kč),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Náklady (mil. Kč),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Počet cest (v tis.),Domácí,906.19560753
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Počet přenocování (v tis.),Domácí,1747.6696893
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Náklady (mil. Kč),Domácí,1833.9246652
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Vlak,Náklady (mil. Kč),Zahraniční,
