Ukazatel;Rok sčítání;Území;Ekonomická aktivita;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracovní síla;Celkem;5563258
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracovní síla;Ženy;2541647
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracovní síla;Muži;3021611
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Zaměstnaní;Celkem;5290071
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Zaměstnaní;Ženy;2405652
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Zaměstnaní;Muži;2884419
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracující důchodci;Celkem;565811
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracující důchodci;Ženy;280868
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Pracující důchodci;Muži;284943
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na mateřské dovolené;Celkem;40097
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na mateřské dovolené;Ženy;39826
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na mateřské dovolené;Muži;271
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezaměstnaní;Celkem;273187
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezaměstnaní;Ženy;135995
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezaměstnaní;Muži;137192
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Mimo pracovní sílu;Celkem;4830885
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Mimo pracovní sílu;Ženy;2741901
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Mimo pracovní sílu;Muži;2088984
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nepracující důchodci;Celkem;2281067
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nepracující důchodci;Ženy;1367582
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nepracující důchodci;Muži;913485
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na rodičovské dovolené;Celkem;218485
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na rodičovské dovolené;Ženy;216894
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Osoby na rodičovské dovolené;Muži;1591
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Žáci, studenti;Celkem;1465320
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Žáci, studenti;Ženy;725693
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Žáci, studenti;Muži;739627
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Celkem;130024
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Ženy;54071
Počet obyvatel (obvyklý pobyt);2021;Česká republika;Nezjištěno;Muži;75953
