Území,Ukazatel,Typ ceny,Měsíce,Komodity SITC,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,0 Potraviny a živá zvířata,18129.091007
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,1 Nápoje a tabák,1989.688608
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",7568.832967
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,"3 Minerální paliva, maziva a příbuzné materiály",8410.248695
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",939.212427
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",23371.891522
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,52648.394525
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,7 Stroje a dopravní prostředky,195607.41506
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,8 Průmyslové spotřební zboží,37878.356027
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2025,"9 Komodity a předměty obchodu, j. n.",1232.015108
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,0 Potraviny a živá zvířata,18780.078821
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,1 Nápoje a tabák,2404.856785
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9007.147016
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,"3 Minerální paliva, maziva a příbuzné materiály",9057.777602
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",797.013513
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,"5 Chemikálie a příbuzné výrobky, j. n.",26747.520276
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,6 Tržní výrobky tříděné hlavně podle materiálu,60638.181654
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,7 Stroje a dopravní prostředky,206735.422693
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,8 Průmyslové spotřební zboží,40343.688552
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2025,"9 Komodity a předměty obchodu, j. n.",1393.065242
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,0 Potraviny a živá zvířata,18472.358567
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,1 Nápoje a tabák,2336.107784
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9156.550356
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,"3 Minerální paliva, maziva a příbuzné materiály",6632.648378
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",815.96648
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",28740.144546
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61236.568448
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,7 Stroje a dopravní prostředky,241581.106994
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,8 Průmyslové spotřební zboží,48028.139218
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2025,"9 Komodity a předměty obchodu, j. n.",1406.35237
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,0 Potraviny a živá zvířata,18581.294748
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,1 Nápoje a tabák,2174.484297
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9654.604863
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,"3 Minerální paliva, maziva a příbuzné materiály",8438.150938
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",984.908903
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27689.814986
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61898.846086
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,7 Stroje a dopravní prostředky,219231.971361
