Ukazatel;ČR, kraje, okresy;Roky;Kategorie ubytovacího zařízení;value
Počet hromadných ubytovacích zařízení;Česko;2024;HUZ celkem;10104
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel *****;77
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel, motel, botel ****;850
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel, motel, botel ***;1502
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel, motel, botel **;184
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel, motel, botel *;93
Počet hromadných ubytovacích zařízení;Česko;2024;Hotel garni;155
Počet hromadných ubytovacích zařízení;Česko;2024;Penzion;4255
Počet hromadných ubytovacích zařízení;Česko;2024;Kemp;569
Počet hromadných ubytovacích zařízení;Česko;2024;Chatová osada;286
Počet hromadných ubytovacích zařízení;Česko;2024;Turistická ubytovna;692
Počet hromadných ubytovacích zařízení;Česko;2024;Ostatní HUZ;1441
Počet hromadných ubytovacích zařízení;Česko;2023;HUZ celkem;10293
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel *****;75
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel, motel, botel ****;842
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel, motel, botel ***;1528
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel, motel, botel **;194
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel, motel, botel *;100
Počet hromadných ubytovacích zařízení;Česko;2023;Hotel garni;155
Počet hromadných ubytovacích zařízení;Česko;2023;Penzion;4373
Počet hromadných ubytovacích zařízení;Česko;2023;Kemp;572
Počet hromadných ubytovacích zařízení;Česko;2023;Chatová osada;291
Počet hromadných ubytovacích zařízení;Česko;2023;Turistická ubytovna;695
Počet hromadných ubytovacích zařízení;Česko;2023;Ostatní HUZ;1468
Počet hromadných ubytovacích zařízení;Česko;2022;HUZ celkem;10652
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel *****;71
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel, motel, botel ****;837
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel, motel, botel ***;1587
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel, motel, botel **;207
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel, motel, botel *;112
Počet hromadných ubytovacích zařízení;Česko;2022;Hotel garni;162
Počet hromadných ubytovacích zařízení;Česko;2022;Penzion;4555
Počet hromadných ubytovacích zařízení;Česko;2022;Kemp;579
Počet hromadných ubytovacích zařízení;Česko;2022;Chatová osada;305
Počet hromadných ubytovacích zařízení;Česko;2022;Turistická ubytovna;733
Počet hromadných ubytovacích zařízení;Česko;2022;Ostatní HUZ;1504
Počet hromadných ubytovacích zařízení;Česko;2021;HUZ celkem;10898
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel *****;69
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel, motel, botel ****;809
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel, motel, botel ***;1589
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel, motel, botel **;211
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel, motel, botel *;112
Počet hromadných ubytovacích zařízení;Česko;2021;Hotel garni;159
Počet hromadných ubytovacích zařízení;Česko;2021;Penzion;4736
Počet hromadných ubytovacích zařízení;Česko;2021;Kemp;580
Počet hromadných ubytovacích zařízení;Česko;2021;Chatová osada;321
Počet hromadných ubytovacích zařízení;Česko;2021;Turistická ubytovna;754
Počet hromadných ubytovacích zařízení;Česko;2021;Ostatní HUZ;1558
Počet hromadných ubytovacích zařízení;Česko;2020;HUZ celkem;10699
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel *****;68
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel, motel, botel ****;819
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel, motel, botel ***;1586
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel, motel, botel **;219
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel, motel, botel *;113
Počet hromadných ubytovacích zařízení;Česko;2020;Hotel garni;159
Počet hromadných ubytovacích zařízení;Česko;2020;Penzion;4527
Počet hromadných ubytovacích zařízení;Česko;2020;Kemp;581
Počet hromadných ubytovacích zařízení;Česko;2020;Chatová osada;314
Počet hromadných ubytovacích zařízení;Česko;2020;Turistická ubytovna;751
Počet hromadných ubytovacích zařízení;Česko;2020;Ostatní HUZ;1562
