Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q3 2024;Česko;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Česko;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Česko;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Česko;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Česko;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Česko;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Česko;Celkový přírůstek/úbytek;
Q1-Q3 2024;Česko;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Česko;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Hlavní město Praha;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Hlavní město Praha;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Hlavní město Praha;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Hlavní město Praha;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Hlavní město Praha;Celkový přírůstek/úbytek;
Q1-Q3 2024;Hlavní město Praha;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Hlavní město Praha;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Středočeský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Středočeský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Středočeský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Středočeský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Středočeský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Středočeský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Středočeský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Středočeský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Středočeský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Jihočeský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Jihočeský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Jihočeský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Jihočeský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Jihočeský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Jihočeský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Jihočeský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Jihočeský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Jihočeský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Plzeňský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Plzeňský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Plzeňský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Plzeňský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Plzeňský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Plzeňský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Plzeňský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Plzeňský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Plzeňský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Karlovarský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Karlovarský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Karlovarský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Karlovarský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Karlovarský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Karlovarský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Karlovarský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Karlovarský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Karlovarský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Ústecký kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Ústecký kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Ústecký kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Ústecký kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Ústecký kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Ústecký kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Ústecký kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Ústecký kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Ústecký kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Liberecký kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Liberecký kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Liberecký kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Liberecký kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Liberecký kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Liberecký kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Liberecký kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Liberecký kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Liberecký kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Královéhradecký kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Královéhradecký kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Královéhradecký kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Královéhradecký kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Královéhradecký kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Královéhradecký kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Královéhradecký kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Královéhradecký kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Královéhradecký kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Pardubický kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Pardubický kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Pardubický kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Pardubický kraj;Přírůstek/úbytek stěhováním;
