Ukazatel;Území;Roky;value
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Česko;2024;46164.5984871925
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Česko;2023;43120.4942893914
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Česko;2019;34577.5091871209
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Hlavní město Praha;2024;57231.8681153361
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Hlavní město Praha;2023;53506.5846390391
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Hlavní město Praha;2019;43062.363116459
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Středočeský kraj;2024;46951.0232167129
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Středočeský kraj;2023;43728.1466052758
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Středočeský kraj;2019;35608.4986866302
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihočeský kraj;2024;42171.1931977506
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihočeský kraj;2023;39627.8344934507
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihočeský kraj;2019;31310.4816020667
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Plzeňský kraj;2024;43550.5623239066
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Plzeňský kraj;2023;40845.8444801713
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Plzeňský kraj;2019;33615.2495006968
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Karlovarský kraj;2024;39415.0945766553
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Karlovarský kraj;2023;37162.156536666
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Karlovarský kraj;2019;30178.9005540994
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Ústecký kraj;2024;42833.5247844737
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Ústecký kraj;2023;40070.5130559827
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Ústecký kraj;2019;31939.1438296619
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Liberecký kraj;2024;41690.8452414696
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Liberecký kraj;2023;39039.3597224263
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Liberecký kraj;2019;32268.745039402
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Královéhradecký kraj;2024;42677.7098228301
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Královéhradecký kraj;2023;40021.3957615493
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Královéhradecký kraj;2019;32441.1654693719
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Pardubický kraj;2024;41337.4089213698
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Pardubický kraj;2023;38421.8911840635
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Pardubický kraj;2019;31059.151156752
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Kraj Vysočina;2024;41785.8753733014
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Kraj Vysočina;2023;39370.3386999437
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Kraj Vysočina;2019;31697.8543393574
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihomoravský kraj;2024;45299.8445642689
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihomoravský kraj;2023;42337.9459563156
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Jihomoravský kraj;2019;33548.7084237539
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Olomoucký kraj;2024;41378.3713860532
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Olomoucký kraj;2023;38636.6445473214
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Olomoucký kraj;2019;31064.4967257959
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Zlínský kraj;2024;41188.2009108029
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Zlínský kraj;2023;38503.6922552712
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Zlínský kraj;2019;30658.9811783433
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Moravskoslezský kraj;2024;41638.5110113362
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Moravskoslezský kraj;2023;38908.3474716343
Průměrná hrubá měsíční mzda – přepočtené počty zaměstnanců (Kč) ;Moravskoslezský kraj;2019;30969.5101632779
