Ukazatel,Činnost,Území,Pohlaví,2Q čtvrtletí,value
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2015,75.66883007
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2016,76.5
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2017,78.8
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2018,80.7
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2019,80.9
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2020,81.339
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2021,82.671
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2022,84.54
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2023,85.9941
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Celkem,2024,87.687760342
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2015,77.94236601
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2016,78.2
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2017,81.6
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2018,82.8
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2019,83.6
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2020,83.05
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2021,84.36
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2022,87.007
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2023,87.2328
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Muž,2024,88.052436066
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2015,73.49824794
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2016,74.8
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2017,76.0
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2018,78.7
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2019,78.3
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2020,79.718
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2021,81.08
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2022,82.175
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2023,84.8476
Používání internetu (podíl osob) - věk 16+,Používání internetu,Česko,Žena,2024,87.360398017
