Kategorie;Druh zařízení;Čtvrtletí;ČR, kraje;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet hostů;Celkem;256544.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet hostů;Rezidenti;153997.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet hostů;Nerezidenti;102547.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet přenocování;Celkem;1881525.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet přenocování;Rezidenti;1344030.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Počet přenocování;Nerezidenti;537495.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Průměrný počet přenocování ;Celkem;7.334122022
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Průměrný počet přenocování ;Rezidenti;8.7276375514
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Česko;Průměrný počet přenocování ;Nerezidenti;5.2414502618
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet hostů;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet hostů;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet hostů;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet přenocování;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet přenocování;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Počet přenocování;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Průměrný počet přenocování ;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Průměrný počet přenocování ;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Hlavní město Praha;Průměrný počet přenocování ;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet hostů;Celkem;7222.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet hostů;Rezidenti;6523.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet hostů;Nerezidenti;699.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet přenocování;Celkem;53792.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet přenocování;Rezidenti;47552.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Počet přenocování;Nerezidenti;6240.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Průměrný počet přenocování ;Celkem;7.448352257
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Průměrný počet přenocování ;Rezidenti;7.2898972865
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Středočeský kraj;Průměrný počet přenocování ;Nerezidenti;8.9270386266
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet hostů;Celkem;10291.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet hostů;Rezidenti;10152.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet hostů;Nerezidenti;139.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet přenocování;Celkem;157787.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet přenocování;Rezidenti;157143.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Počet přenocování;Nerezidenti;644.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Průměrný počet přenocování ;Celkem;15.3325235643
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Průměrný počet přenocování ;Rezidenti;15.4790189125
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihočeský kraj;Průměrný počet přenocování ;Nerezidenti;4.6330935252
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet hostů;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet hostů;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet hostů;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet přenocování;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet přenocování;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Počet přenocování;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Průměrný počet přenocování ;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Průměrný počet přenocování ;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Plzeňský kraj;Průměrný počet přenocování ;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet hostů;Celkem;173576.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet hostů;Rezidenti;75194.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet hostů;Nerezidenti;98382.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet přenocování;Celkem;895272.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet přenocování;Rezidenti;398314.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Počet přenocování;Nerezidenti;496958.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Průměrný počet přenocování ;Celkem;5.1578098355
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Průměrný počet přenocování ;Rezidenti;5.2971513685
