Území;Čtvrtletí;Ukazatel;value
Česko;1. čtvrtletí 2025;Pohyb zboží z ČR (v mil. Kč, FOB);1573289.616029
Česko;1. čtvrtletí 2025;Pohyb zboží do ČR (v mil. Kč, CIF);1376179.226824
Česko;1. čtvrtletí 2025;Bilance - pohyb zboží (v mil. Kč);197110.389205
Česko;1. čtvrtletí 2025;Pohyb zboží z ČR (meziroční index );103.8232785237
Česko;1. čtvrtletí 2025;Pohyb zboží do ČR (meziroční index);103.9369265588
Česko;4. čtvrtletí 2024;Pohyb zboží z ČR (v mil. Kč, FOB);1590369.417708
Česko;4. čtvrtletí 2024;Pohyb zboží do ČR (v mil. Kč, CIF);1423670.725927
Česko;4. čtvrtletí 2024;Bilance - pohyb zboží (v mil. Kč);166698.691781
Česko;4. čtvrtletí 2024;Pohyb zboží z ČR (meziroční index );107.9924484756
Česko;4. čtvrtletí 2024;Pohyb zboží do ČR (meziroční index);107.5263786495
Česko;3. čtvrtletí 2024;Pohyb zboží z ČR (v mil. Kč, FOB);1473650.63017
Česko;3. čtvrtletí 2024;Pohyb zboží do ČR (v mil. Kč, CIF);1319912.270552
Česko;3. čtvrtletí 2024;Bilance - pohyb zboží (v mil. Kč);153738.359618
Česko;3. čtvrtletí 2024;Pohyb zboží z ČR (meziroční index );111.2511230178
Česko;3. čtvrtletí 2024;Pohyb zboží do ČR (meziroční index);107.3430280023
Česko;2. čtvrtletí 2024;Pohyb zboží z ČR (v mil. Kč, FOB);1528051.038983
Česko;2. čtvrtletí 2024;Pohyb zboží do ČR (v mil. Kč, CIF);1342325.866732
Česko;2. čtvrtletí 2024;Bilance - pohyb zboží (v mil. Kč);185725.172251
Česko;2. čtvrtletí 2024;Pohyb zboží z ČR (meziroční index );108.3168141369
Česko;2. čtvrtletí 2024;Pohyb zboží do ČR (meziroční index);105.1354832157
Česko;1. čtvrtletí 2024;Pohyb zboží z ČR (v mil. Kč, FOB);1515353.433642
Česko;1. čtvrtletí 2024;Pohyb zboží do ČR (v mil. Kč, CIF);1324052.261681
Česko;1. čtvrtletí 2024;Bilance - pohyb zboží (v mil. Kč);191301.171961
Česko;1. čtvrtletí 2024;Pohyb zboží z ČR (meziroční index );103.301082723
Česko;1. čtvrtletí 2024;Pohyb zboží do ČR (meziroční index);100.4524713332
Česko;4. čtvrtletí 2023;Pohyb zboží z ČR (v mil. Kč, FOB);1472667.246791
Česko;4. čtvrtletí 2023;Pohyb zboží do ČR (v mil. Kč, CIF);1324019.969618
Česko;4. čtvrtletí 2023;Bilance - pohyb zboží (v mil. Kč);148647.277173
Česko;4. čtvrtletí 2023;Pohyb zboží z ČR (meziroční index );98.4459892621
Česko;4. čtvrtletí 2023;Pohyb zboží do ČR (meziroční index);91.437298001
Česko;3. čtvrtletí 2023;Pohyb zboží z ČR (v mil. Kč, FOB);1324616.408532
Česko;3. čtvrtletí 2023;Pohyb zboží do ČR (v mil. Kč, CIF);1229620.866037
Česko;3. čtvrtletí 2023;Bilance - pohyb zboží (v mil. Kč);94995.542495
Česko;3. čtvrtletí 2023;Pohyb zboží z ČR (meziroční index );93.6730639709
Česko;3. čtvrtletí 2023;Pohyb zboží do ČR (meziroční index);88.3738648974
Česko;2. čtvrtletí 2023;Pohyb zboží z ČR (v mil. Kč, FOB);1410723.765427
Česko;2. čtvrtletí 2023;Pohyb zboží do ČR (v mil. Kč, CIF);1276758.165441
Česko;2. čtvrtletí 2023;Bilance - pohyb zboží (v mil. Kč);133965.599986
Česko;2. čtvrtletí 2023;Pohyb zboží z ČR (meziroční index );99.7349045052
Česko;2. čtvrtletí 2023;Pohyb zboží do ČR (meziroční index);90.4729644587
Česko;1. čtvrtletí 2023;Pohyb zboží z ČR (v mil. Kč, FOB);1466928.897256
Česko;1. čtvrtletí 2023;Pohyb zboží do ČR (v mil. Kč, CIF);1318088.290022
Česko;1. čtvrtletí 2023;Bilance - pohyb zboží (v mil. Kč);148840.607234
Česko;1. čtvrtletí 2023;Pohyb zboží z ČR (meziroční index );110.2049830834
Česko;1. čtvrtletí 2023;Pohyb zboží do ČR (meziroční index);102.9019301396
Česko;4. čtvrtletí 2022;Pohyb zboží z ČR (v mil. Kč, FOB);1495913.909576
Česko;4. čtvrtletí 2022;Pohyb zboží do ČR (v mil. Kč, CIF);1448008.633855
Česko;4. čtvrtletí 2022;Bilance - pohyb zboží (v mil. Kč);47905.275721
Česko;4. čtvrtletí 2022;Pohyb zboží z ČR (meziroční index );114.8105601874
Česko;4. čtvrtletí 2022;Pohyb zboží do ČR (meziroční index);116.5982530166
Česko;3. čtvrtletí 2022;Pohyb zboží z ČR (v mil. Kč, FOB);1414084.639041
Česko;3. čtvrtletí 2022;Pohyb zboží do ČR (v mil. Kč, CIF);1391385.187764
Česko;3. čtvrtletí 2022;Bilance - pohyb zboží (v mil. Kč);22699.451277
Česko;3. čtvrtletí 2022;Pohyb zboží z ČR (meziroční index );124.588787045
Česko;3. čtvrtletí 2022;Pohyb zboží do ČR (meziroční index);124.8518129227
Česko;2. čtvrtletí 2022;Pohyb zboží z ČR (v mil. Kč, FOB);1414473.470874
Česko;2. čtvrtletí 2022;Pohyb zboží do ČR (v mil. Kč, CIF);1411204.079672
Česko;2. čtvrtletí 2022;Bilance - pohyb zboží (v mil. Kč);3269.391202
Česko;2. čtvrtletí 2022;Pohyb zboží z ČR (meziroční index );111.9652844006
Česko;2. čtvrtletí 2022;Pohyb zboží do ČR (meziroční index);121.0683890643
Česko;1. čtvrtletí 2022;Pohyb zboží z ČR (v mil. Kč, FOB);1331091.259409
Česko;1. čtvrtletí 2022;Pohyb zboží do ČR (v mil. Kč, CIF);1280916.974282
Česko;1. čtvrtletí 2022;Bilance - pohyb zboží (v mil. Kč);50174.285127
Česko;1. čtvrtletí 2022;Pohyb zboží z ČR (meziroční index );108.3320602901
