Území,Měsíce,Ukazatel,value
Česko,červen 2025,Počáteční stav obyvatel,10884418.0
Česko,červen 2025,Střední stav obyvatel,10883380.0
Česko,červen 2025,Koncový stav obyvatel,10882341.0
Česko,červen 2025,Sňatky,7427.0
Česko,červen 2025,Rozvody,1712.0
Česko,červen 2025,Živě narození,6424.0
Česko,červen 2025,Potraty,
Česko,červen 2025,UPT,
Česko,červen 2025,Zemřelí,8848.0
Česko,červen 2025,Zemřelí do 1 roku,13.0
Česko,červen 2025,Zemřelí do 28 dnů,6.0
Česko,červen 2025,Přirozený přírůstek/úbytek,-2424.0
Česko,červen 2025,Přistěhovalí,9569.0
Česko,červen 2025,Vystěhovalí,9222.0
Česko,červen 2025,Přírůstek/úbytek stěhováním,347.0
Česko,červen 2025,Celkový přírůstek/úbytek,-2077.0
Česko,květen 2025,Počáteční stav obyvatel,10883875.0
Česko,květen 2025,Střední stav obyvatel,10884147.0
Česko,květen 2025,Koncový stav obyvatel,10884418.0
Česko,květen 2025,Sňatky,4367.0
Česko,květen 2025,Rozvody,1724.0
Česko,květen 2025,Živě narození,6268.0
Česko,květen 2025,Potraty,
Česko,květen 2025,UPT,
Česko,květen 2025,Zemřelí,8974.0
Česko,květen 2025,Zemřelí do 1 roku,17.0
Česko,květen 2025,Zemřelí do 28 dnů,12.0
Česko,květen 2025,Přirozený přírůstek/úbytek,-2706.0
Česko,květen 2025,Přistěhovalí,6942.0
Česko,květen 2025,Vystěhovalí,3693.0
Česko,květen 2025,Přírůstek/úbytek stěhováním,3249.0
Česko,květen 2025,Celkový přírůstek/úbytek,543.0
Česko,duben 2025,Počáteční stav obyvatel,10882346.0
Česko,duben 2025,Střední stav obyvatel,10883111.0
Česko,duben 2025,Koncový stav obyvatel,10883875.0
Česko,duben 2025,Sňatky,2451.0
Česko,duben 2025,Rozvody,1824.0
Česko,duben 2025,Živě narození,6104.0
Česko,duben 2025,Potraty,
Česko,duben 2025,UPT,
Česko,duben 2025,Zemřelí,8983.0
Česko,duben 2025,Zemřelí do 1 roku,20.0
Česko,duben 2025,Zemřelí do 28 dnů,13.0
Česko,duben 2025,Přirozený přírůstek/úbytek,-2879.0
Česko,duben 2025,Přistěhovalí,7347.0
Česko,duben 2025,Vystěhovalí,2939.0
Česko,duben 2025,Přírůstek/úbytek stěhováním,4408.0
Česko,duben 2025,Celkový přírůstek/úbytek,1529.0
Česko,březen 2025,Počáteční stav obyvatel,10911647.0
Česko,březen 2025,Střední stav obyvatel,10896997.0
Česko,březen 2025,Koncový stav obyvatel,10882346.0
Česko,březen 2025,Sňatky,1308.0
Česko,březen 2025,Rozvody,1834.0
Česko,březen 2025,Živě narození,6253.0
Česko,březen 2025,Potraty,
Česko,březen 2025,UPT,
Česko,březen 2025,Zemřelí,10059.0
Česko,březen 2025,Zemřelí do 1 roku,17.0
Česko,březen 2025,Zemřelí do 28 dnů,12.0
Česko,březen 2025,Přirozený přírůstek/úbytek,-3806.0
Česko,březen 2025,Přistěhovalí,8331.0
Česko,březen 2025,Vystěhovalí,33826.0
Česko,březen 2025,Přírůstek/úbytek stěhováním,-25495.0
Česko,březen 2025,Celkový přírůstek/úbytek,-29301.0
Česko,únor 2025,Počáteční stav obyvatel,10911982.0
Česko,únor 2025,Střední stav obyvatel,10911815.0
Česko,únor 2025,Koncový stav obyvatel,10911647.0
Česko,únor 2025,Sňatky,997.0
Česko,únor 2025,Rozvody,1616.0
Česko,únor 2025,Živě narození,5800.0
Česko,únor 2025,Potraty,
Česko,únor 2025,UPT,
Česko,únor 2025,Zemřelí,9838.0
Česko,únor 2025,Zemřelí do 1 roku,23.0
Česko,únor 2025,Zemřelí do 28 dnů,15.0
Česko,únor 2025,Přirozený přírůstek/úbytek,-4038.0
Česko,únor 2025,Přistěhovalí,6985.0
Česko,únor 2025,Vystěhovalí,3282.0
Česko,únor 2025,Přírůstek/úbytek stěhováním,3703.0
Česko,únor 2025,Celkový přírůstek/úbytek,-335.0
Česko,leden 2025,Počáteční stav obyvatel,10909500.0
Česko,leden 2025,Střední stav obyvatel,10910741.0
Česko,leden 2025,Koncový stav obyvatel,10911982.0
