Ukazatel,Rok sčítání,Území,Způsob odvádění odpadních vod,value
Počet obydlených domů,2021,Česká republika,Celkem,1952668
Počet obydlených domů,2021,Česká republika,Přípoj na kanalizační síť,1204501
Počet obydlených domů,2021,Česká republika,Vlastní čistička odpadních vod,70793
Počet obydlených domů,2021,Česká republika,"Žumpa, jímka",598922
Počet obydlených domů,2021,Česká republika,Bez kanalizace a jímky,6398
Počet obydlených domů,2021,Česká republika,Nezjištěno,72054
Počet obydlených domů,2021,Hlavní město Praha,Celkem,98217
Počet obydlených domů,2021,Hlavní město Praha,Přípoj na kanalizační síť,89333
Počet obydlených domů,2021,Hlavní město Praha,Vlastní čistička odpadních vod,342
Počet obydlených domů,2021,Hlavní město Praha,"Žumpa, jímka",5959
Počet obydlených domů,2021,Hlavní město Praha,Bez kanalizace a jímky,43
Počet obydlených domů,2021,Hlavní město Praha,Nezjištěno,2540
Počet obydlených domů,2021,Středočeský kraj,Celkem,331341
Počet obydlených domů,2021,Středočeský kraj,Přípoj na kanalizační síť,195482
Počet obydlených domů,2021,Středočeský kraj,Vlastní čistička odpadních vod,12039
Počet obydlených domů,2021,Středočeský kraj,"Žumpa, jímka",106619
Počet obydlených domů,2021,Středočeský kraj,Bez kanalizace a jímky,1535
Počet obydlených domů,2021,Středočeský kraj,Nezjištěno,15666
Počet obydlených domů,2021,Jihočeský kraj,Celkem,133404
Počet obydlených domů,2021,Jihočeský kraj,Přípoj na kanalizační síť,87803
Počet obydlených domů,2021,Jihočeský kraj,Vlastní čistička odpadních vod,3955
Počet obydlených domů,2021,Jihočeský kraj,"Žumpa, jímka",34685
Počet obydlených domů,2021,Jihočeský kraj,Bez kanalizace a jímky,382
Počet obydlených domů,2021,Jihočeský kraj,Nezjištěno,6579
Počet obydlených domů,2021,Plzeňský kraj,Celkem,115802
Počet obydlených domů,2021,Plzeňský kraj,Přípoj na kanalizační síť,67473
Počet obydlených domů,2021,Plzeňský kraj,Vlastní čistička odpadních vod,5156
Počet obydlených domů,2021,Plzeňský kraj,"Žumpa, jímka",37075
Počet obydlených domů,2021,Plzeňský kraj,Bez kanalizace a jímky,563
Počet obydlených domů,2021,Plzeňský kraj,Nezjištěno,5535
Počet obydlených domů,2021,Karlovarský kraj,Celkem,42406
Počet obydlených domů,2021,Karlovarský kraj,Přípoj na kanalizační síť,30354
Počet obydlených domů,2021,Karlovarský kraj,Vlastní čistička odpadních vod,1201
Počet obydlených domů,2021,Karlovarský kraj,"Žumpa, jímka",9392
Počet obydlených domů,2021,Karlovarský kraj,Bez kanalizace a jímky,89
