Území;Ukazatel;Měsíce;value
Česko;Předchozí měsíc = 100;květen 2024;100.0
Česko;Předchozí měsíc = 100;červen 2024;99.7
Česko;Předchozí měsíc = 100;červenec 2024;100.7
Česko;Předchozí měsíc = 100;srpen 2024;100.3
Česko;Předchozí měsíc = 100;září 2024;99.6
Česko;Předchozí měsíc = 100;říjen 2024;100.3
Česko;Předchozí měsíc = 100;listopad 2024;100.1
Česko;Předchozí měsíc = 100;prosinec 2024;99.7
Česko;Předchozí měsíc = 100;leden 2025;101.3
Česko;Předchozí měsíc = 100;únor 2025;100.2
Česko;Předchozí měsíc = 100;březen 2025;100.1
Česko;Předchozí měsíc = 100;duben 2025;99.9
Česko;Stejné období předchozího roku = 100;květen 2024;102.6
Česko;Stejné období předchozího roku = 100;červen 2024;102.0
Česko;Stejné období předchozího roku = 100;červenec 2024;102.2
Česko;Stejné období předchozího roku = 100;srpen 2024;102.2
Česko;Stejné období předchozího roku = 100;září 2024;102.6
Česko;Stejné období předchozího roku = 100;říjen 2024;102.8
Česko;Stejné období předchozího roku = 100;listopad 2024;102.8
Česko;Stejné období předchozího roku = 100;prosinec 2024;103.0
Česko;Stejné období předchozího roku = 100;leden 2025;102.8
Česko;Stejné období předchozího roku = 100;únor 2025;102.7
Česko;Stejné období předchozího roku = 100;březen 2025;102.7
Česko;Stejné období předchozího roku = 100;duben 2025;101.8
Česko;Průměr roku 2015 = 100;květen 2024;151.4
Česko;Průměr roku 2015 = 100;červen 2024;151.0
Česko;Průměr roku 2015 = 100;červenec 2024;152.0
Česko;Průměr roku 2015 = 100;srpen 2024;152.4
Česko;Průměr roku 2015 = 100;září 2024;151.8
Česko;Průměr roku 2015 = 100;říjen 2024;152.3
Česko;Průměr roku 2015 = 100;listopad 2024;152.4
Česko;Průměr roku 2015 = 100;prosinec 2024;152.0
Česko;Průměr roku 2015 = 100;leden 2025;154.0
Česko;Průměr roku 2015 = 100;únor 2025;154.3
Česko;Průměr roku 2015 = 100;březen 2025;154.4
Česko;Průměr roku 2015 = 100;duben 2025;154.2
Česko;Míra inflace;květen 2024;105.6
Česko;Míra inflace;červen 2024;104.9
Česko;Míra inflace;červenec 2024;104.4
Česko;Míra inflace;srpen 2024;103.9
Česko;Míra inflace;září 2024;103.5
Česko;Míra inflace;říjen 2024;103.1
Česko;Míra inflace;listopad 2024;102.7
Česko;Míra inflace;prosinec 2024;102.4
Česko;Míra inflace;leden 2025;102.5
Česko;Míra inflace;únor 2025;102.5
Česko;Míra inflace;březen 2025;102.6
Česko;Míra inflace;duben 2025;102.5
