Území,Ukazatel,CZ-NACE,Čtvrtletí,Očištění,Typ indexu,value
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2024,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),71.8652572867
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2024,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,91.0230814775
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2024,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),91.5130776367
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,Bez očištění,Meziroční index,92.2380529852
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,Bez očištění,Bazický index (2021 = 100),98.7852905667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,92.0957975539
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),99.0562709667
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,92.473310768
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),90.64426671
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,Bez očištění,Meziroční index,95.7545502623
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,Bez očištění,Bazický index (2021 = 100),104.7115022533
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,96.3850847798
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),105.92051953
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,96.5268804428
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),97.0549447
