Ukazatel;ČR, Reg. soudržnosti, Kraje;Odvětví;Roky;value
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2003;189578.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2004;215908.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2005;209994.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2006;219025.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2007;264668.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2008;248586.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2009;187015.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2010;178069.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2011;204494.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2012;219832.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2013;226957.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2014;251633.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2015;283243.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2016;286487.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2017;288778.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2018;303309.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2019;328569.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2020;271724.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2021;273744.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2022;358206.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2023;377890.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1993;45611.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1994;48367.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1995;57130.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1996;57518.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1997;54262.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1998;49491.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;1999;55053.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2000;46610.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2001;38963.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2002;30870.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2003;29219.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2004;22580.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2005;27034.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2006;30915.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2007;45260.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2008;51775.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2009;60303.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2010;80668.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2011;73386.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2012;61831.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;61415.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;58169.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;51411.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;45123.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;40696.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;36020.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;51717.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;52252.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;56965.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;61555.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2023;73040.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1993;4510.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1994;6688.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1995;19968.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1996;17061.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1997;18589.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1998;18085.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";1999;20669.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2000;19485.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2001;22979.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2002;11751.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2003;13094.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2004;13733.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2005;14213.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2006;12298.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2007;15203.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2008;15954.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2009;16371.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2010;13744.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2011;13411.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2012;14615.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2013;14279.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2014;13245.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;13456.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;12642.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;13192.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;18415.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;16911.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;14350.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;18952.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;19462.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2023;21288.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1993;10432.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1994;15139.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1995;16576.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1996;18295.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1997;25617.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1998;21560.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;1999;17736.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2000;23504.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2001;31139.0
