Ukazatel;ČR, Reg. soudržnosti, Kraje;Odvětví;Roky;value
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2006;20633.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2007;27401.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2008;25294.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2009;20327.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2010;23695.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2011;27820.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2012;38488.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2013;36456.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2014;36996.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2015;30329.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2016;39023.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2017;42027.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2018;40798.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2019;43566.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2020;40971.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2021;51827.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2022;54184.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2023;62905.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zemědělství, lesnictví, rybářství;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1993;10431.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1994;12858.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1995;12003.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1996;15813.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1997;11827.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1998;11112.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;1999;9592.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2000;9959.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2001;14020.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2002;10709.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2003;8856.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2004;9579.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2005;9874.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2006;10178.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2007;11390.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2008;14262.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2009;14584.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2010;13328.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2011;16197.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2012;14617.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2013;17703.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2014;13082.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2015;10983.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2016;9393.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2017;10327.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2018;12268.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2019;11643.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2020;10115.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2021;13351.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2022;9944.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2023;11143.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Těžba a dobývání;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1993;69992.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1994;84679.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1995;126512.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1996;138956.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1997;147021.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1998;145799.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;1999;151628.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2000;167842.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2001;195438.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Zpracovatelský průmysl;2002;181911.0
