Území,Čtvrtletí,Typ ceny,Očištění,Země,Ukazatel,value
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,"Vývoz (v mil. Kč, FOB)",1189368.303906
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,"Dovoz (v mil. Kč, CIF)",1149444.028391
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,Bilance (v mil. Kč),39924.275515
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (v mil. Kč),2338812.332297
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,Vývoz (meziroční index),104.9824641243
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,Dovoz (meziroční index),105.8165725734
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět celkem,Obrat zboží (meziroční index),105.3907494546
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,"Vývoz (v mil. Kč, FOB)",736551.500035
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,"Dovoz (v mil. Kč, CIF)",534000.455076
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,Bilance (v mil. Kč),202551.044959
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (v mil. Kč),1270551.955111
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,Vývoz (meziroční index),101.4931152861
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,Dovoz (meziroční index),105.0276936489
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Eurozóna 20,Obrat zboží (meziroční index),102.9492656982
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,"Vývoz (v mil. Kč, FOB)",917229.435148
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,"Dovoz (v mil. Kč, CIF)",711029.638039
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,Bilance (v mil. Kč),206199.797109
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (v mil. Kč),1628259.073187
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,Vývoz (meziroční index),101.937280286
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,Dovoz (meziroční index),105.7026093701
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,EU27_2020,Obrat zboží (meziroční index),103.5480119367
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Vývoz (v mil. Kč, FOB)",271588.781025
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,"Dovoz (v mil. Kč, CIF)",429209.868284
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Bilance (v mil. Kč),-157621.087259
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (v mil. Kč),700798.649309
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Vývoz (meziroční index),116.7874487779
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Dovoz (meziroční index),106.075259906
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Svět bez EU27_2020,Obrat zboží (meziroční index),109.9848711032
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,"Vývoz (v mil. Kč, FOB)",550.087733
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,"Dovoz (v mil. Kč, CIF)",9204.522068
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,Bilance (v mil. Kč),-8654.434335
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (v mil. Kč),9754.609801
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,Vývoz (meziroční index),95.9234725942
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,Dovoz (meziroční index),102.6913318209
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Nespecifikováno,Obrat zboží (meziroční index),102.2843661831
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,"Vývoz (v mil. Kč, FOB)",1045983.378546
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,"Dovoz (v mil. Kč, CIF)",812361.572329
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,Bilance (v mil. Kč),233621.806217
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (v mil. Kč),1858344.950875
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,Vývoz (meziroční index),103.0194019621
