Ukazatel,Území,Měsíce,Komodity SITC,value
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,0 Potraviny a živá zvířata,18129.091007
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,1 Nápoje a tabák,1989.688608
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",7568.832967
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,"3 Minerální paliva, maziva a příbuzné materiály",8410.248695
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",939.212427
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",23371.891522
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,52648.394525
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,7 Stroje a dopravní prostředky,195607.41506
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,8 Průmyslové spotřební zboží,37878.356027
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2025,"9 Komodity a předměty obchodu, j. n.",1232.015108
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,0 Potraviny a živá zvířata,18780.078821
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,1 Nápoje a tabák,2404.856785
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9007.147016
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,"3 Minerální paliva, maziva a příbuzné materiály",9057.777602
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",797.013513
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,"5 Chemikálie a příbuzné výrobky, j. n.",26747.520276
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,6 Tržní výrobky tříděné hlavně podle materiálu,60638.181654
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,7 Stroje a dopravní prostředky,206735.422693
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,8 Průmyslové spotřební zboží,40343.688552
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2025,"9 Komodity a předměty obchodu, j. n.",1393.065242
