Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Kumulace měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2025;100.7978613184
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2025;98.8609237954
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2025;99.1675728735
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2024;99.2775454905
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2024;99.4438563924
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2024;99.6389763984
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2024;99.7872977385
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2024;99.138648717
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2024;99.1760479596
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2024;98.0169010933
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2024;99.3793875788
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2024;99.8431129583
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2024;96.7681218006
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2024;101.1280725622
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2024;100.2532048038
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2023;98.7609039875
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2023;99.1598623207
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2023;99.3784384197
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2023;98.496332796
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2023;99.3040837366
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2023;99.5024271791
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2023;99.9037446418
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2023;99.889273934
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2023;100.6378384552
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2023;101.5273541254
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2023;101.1372305089
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2023;100.5697369326
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2022;102.0960984659
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2022;102.1415002254
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2022;102.3349671545
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2022;102.3026952968
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2022;101.5882472424
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2022;100.5925862
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2022;101.0178313423
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2022;100.5915199377
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2022;99.4346315465
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2022;101.3564786236
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2022;102.3135192308
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2022;104.377993301
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2021;106.7815675953
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2021;107.3151374254
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2021;107.6712304349
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2021;109.5890180289
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2021;111.4530466951
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2021;112.7389670384
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2021;114.837873028
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2021;115.4624012194
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2021;112.1642990819
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2021;103.4279518802
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2021;96.7097253254
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2021;95.4244397479
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2020;93.012593585
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2020;91.8642668767
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2020;91.0523631446
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2020;90.204880197
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2020;89.1063923232
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2020;88.5460778802
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2020;87.4221346144
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2020;85.9031252432
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2020;89.406183459
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2020;96.7338049633
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2020;99.8640086103
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2020;99.3519054746
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2019;99.7818110533
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2019;99.7908127191
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2019;100.3708017826
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2019;100.7816353484
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2019;100.3330119731
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2019;100.9228268501
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2019;100.1736047738
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2019;101.526051899
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2019;101.1581950819
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2019;100.3189174461
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2019;100.1734806933
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2019;99.1021274065
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2018;103.0466217722
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2018;103.4458471618
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2018;103.3161046586
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2018;102.9861225449
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2018;103.4263215442
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2018;103.6217932014
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2018;102.7269073666
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2018;102.5786809381
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2018;103.0184860624
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2018;102.2540728224
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2018;104.3031113989
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2018;105.7009281428
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2017;106.4831547237
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2017;106.7424816842
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2017;106.5773478047
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2017;106.0185279999
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2017;106.1333876886
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2017;106.1003696569
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2017;106.2833445799
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2017;106.7162477826
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2017;106.0089763532
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2017;108.403973944
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2017;107.0621304252
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2017;111.3196111383
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2016;103.4320644962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2016;103.3778726365
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2016;102.9299519006
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2016;103.3988136126
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2016;103.4410188461
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2016;102.1607019472
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2016;104.637446084
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2016;104.6411869979
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2016;103.4832098425
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2016;103.1648079869
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2016;104.050065171
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2016;101.9235650927
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2015;104.2820849137
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2015;104.5381202873
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2015;104.4954780969
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2015;104.6716366892
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2015;105.256721846
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2015;105.0745862131
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2015;105.1874516559
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2015;104.524266706
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2015;104.99384783
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2015;105.0008880861
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2015;103.9458268509
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2015;102.7812434775
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2014;104.9839553968
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2014;104.8126581723
