Ukazatel,Příčiny smrti,Pohlaví,Území,Rok,value
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2024,252.522861
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2023,255.9772600032
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2022,263.82643
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2021,263.5633643
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2020,273.758166
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2019,279.172268
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2018,277.8678841
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2017,278.7099654
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2016,282.8561863
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2015,284.8347779
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2014,290.7899266
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2013,293.6821976
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2012,302.2635382
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2011,305.5542612
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2010,319.0034385
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2009,322.9813514
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2008,326.4667266
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2007,331.5563651
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2006,343.8767616
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2005,350.8882417
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2004,372.5096928
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2003,376.7507684
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2002,376.8654554
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2001,373.6093775
Standardizované míry úmrtnosti,Novotvary,Celkem,Česko,2000,375.9305412
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2024,231.9616524
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2023,238.8588974291
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2022,247.0282902
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2021,251.6511664
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2020,249.7830236
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2019,269.4298299
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2018,274.4560754
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2017,269.1901961
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2016,285.795029
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2015,278.2803243
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2014,287.3130606
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2013,280.0819004
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2012,285.535638
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2011,281.3855495
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2010,307.4439735
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2009,317.3436859
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2008,314.271545
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2007,333.5218939
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2006,342.7411915
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2005,337.0569159
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2004,382.2691496
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2003,363.1816548
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2002,361.7730492
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2001,347.6601952
Standardizované míry úmrtnosti,Novotvary,Celkem,Hlavní město Praha,2000,367.8076934
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2024,261.4010999
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2023,260.5622369805
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2022,273.5425029
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2021,272.9826769
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2020,284.2204839
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2019,279.6488361
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2018,287.2721538
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2017,293.6969624
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2016,291.9419543
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2015,295.2848045
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2014,302.5600683
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2013,310.5023478
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2012,307.560481
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2011,318.43207
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2010,336.0425172
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2009,350.3013703
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2008,341.089766
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2007,348.7786677
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2006,346.6725927
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2005,364.5995216
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2004,393.4244169
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2003,387.0654991
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2002,385.4112184
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2001,385.5633794
Standardizované míry úmrtnosti,Novotvary,Celkem,Středočeský kraj,2000,389.3841745
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2024,265.0155258
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2023,260.0866596073
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2022,270.9261485
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2021,267.1733012
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2020,270.2428001
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2019,287.5608959
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2018,274.8312119
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2017,276.7137364
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2016,286.1001039
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2015,301.5904448
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2014,302.1192196
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2013,303.5156741
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2012,312.3149148
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2011,301.8639638
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2010,325.7733496
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2009,331.8787565
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2008,344.9619267
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2007,350.6219554
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2006,350.6984936
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2005,376.8568039
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2004,386.8501811
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2003,397.0741244
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2002,380.6643825
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2001,394.606209
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihočeský kraj,2000,389.7072029
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2024,258.2196883
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2023,253.9826072334
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2022,278.1050578
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2021,268.076691
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2020,286.8370105
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2019,290.3120968
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2018,293.7845581
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2017,286.9663428
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2016,295.5338116
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2015,290.8905475
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2014,290.7253331
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2013,289.3767447
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2012,311.3758386
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2011,329.1888373
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2010,322.4823638
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2009,336.3714803
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2008,351.7405652
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2007,359.7875409
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2006,391.5713109
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2005,359.2321555
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2004,407.0939491
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2003,410.9448591
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2002,414.4902145
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2001,419.3881116
Standardizované míry úmrtnosti,Novotvary,Celkem,Plzeňský kraj,2000,391.8568441
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2024,277.9070069
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2023,272.7147990805
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2022,291.2776819
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2021,270.1089287
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2020,309.0315531
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2019,312.8503718
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2018,309.9894016
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2017,309.2391197
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2016,318.3308182
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2015,307.4941824
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2014,312.6611936
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2013,326.6911517
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2012,348.5846387
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2011,348.350354
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2010,349.6165682
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2009,377.2922474
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2008,382.1128963
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2007,367.0061173
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2006,364.8450455
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2005,370.0379296
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2004,424.3667703
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2003,445.7167342
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2002,425.86798
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2001,435.4301064
Standardizované míry úmrtnosti,Novotvary,Celkem,Karlovarský kraj,2000,448.2450589
