Ukazatel;Rok sčítání;Pohlaví;Území;Mateřský jazyk;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Německý;1597
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Romský;140
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Ruský;2288
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Ukrajinský;2223
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Vietnamský;3883
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Maďarský;486
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Anglický;99
Počet obyvatel (obvyklý pobyt);2021;Celkem;Karlovarský kraj;Nezjištěno;27355
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Obyvatelstvo celkem;789098
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Český;661808
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Moravský;40
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Slovenský;7737
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Polský;1069
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Německý;1537
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Romský;595
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Ruský;2603
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Ukrajinský;4491
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Vietnamský;5135
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Maďarský;667
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Anglický;329
Počet obyvatel (obvyklý pobyt);2021;Celkem;Ústecký kraj;Nezjištěno;79763
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Obyvatelstvo celkem;435220
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Český;370458
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Moravský;27
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Slovenský;5296
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Polský;1400
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Německý;705
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Romský;310
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Ruský;1095
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Ukrajinský;3924
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Vietnamský;1421
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Maďarský;385
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Anglický;241
Počet obyvatel (obvyklý pobyt);2021;Celkem;Liberecký kraj;Nezjištěno;36645
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Obyvatelstvo celkem;538303
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Český;475166
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Moravský;40
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Slovenský;5439
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Polský;1388
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Německý;560
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Romský;217
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Ruský;939
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Ukrajinský;3263
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Vietnamský;1217
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Maďarský;320
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Anglický;315
Počet obyvatel (obvyklý pobyt);2021;Celkem;Královéhradecký kraj;Nezjištěno;37793
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Obyvatelstvo celkem;510037
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Český;455729
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Moravský;171
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Slovenský;4938
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Polský;652
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Německý;178
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Romský;221
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Ruský;810
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Ukrajinský;3074
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Vietnamský;1148
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Maďarský;252
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Anglický;230
Počet obyvatel (obvyklý pobyt);2021;Celkem;Pardubický kraj;Nezjištěno;32289
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Obyvatelstvo celkem;497661
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Český;454501
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Moravský;608
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Slovenský;3300
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Polský;256
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Německý;134
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Romský;124
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Ruský;563
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Ukrajinský;2319
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Vietnamský;853
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Maďarský;174
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Anglický;146
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Nezjištěno;27548
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Obyvatelstvo celkem;1197651
