Ukazatel,Území,Klasifikace produkce,Měsíce,value
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,leden 2023,5.8
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,únor 2023,-0.3
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,březen 2023,-1.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,duben 2023,-1.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,květen 2023,-0.8
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červen 2023,-0.3
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červenec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,srpen 2023,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,září 2023,0.3
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,říjen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,listopad 2023,-0.4
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,prosinec 2023,-0.5
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,leden 2024,2.5
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,únor 2024,0.5
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,březen 2024,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,duben 2024,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,květen 2024,-1.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červen 2024,-0.3
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červenec 2024,0.6
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,srpen 2024,-0.4
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,září 2024,-0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,říjen 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,listopad 2024,0.4
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,prosinec 2024,0.6
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,leden 2025,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,únor 2025,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,březen 2025,-0.3
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,duben 2025,-0.8
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,květen 2025,-0.6
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červen 2025,-0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,červenec 2025,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,ÚHRN,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,leden 2023,0.7
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,leden 2024,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,únor 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,leden 2025,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Černé a hnědé uhlí a lignit,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,leden 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ropa a zemní plyn,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,říjen 2024,0.0
