Stát;Typ ceny;Měsíce;Ukazatel;Typ indexu;value
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Celkem (%);Meziroční index;109.7749866469
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);134.7891763
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;107.1405650762
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);126.49928453
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;114.2615961066
Česko;Běžné ceny;červenec 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);150.54389201
Česko;Běžné ceny;červen 2024;Index stavební produkce - Celkem (%);Meziroční index;90.6568519581
Česko;Běžné ceny;červen 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);125.21558503
Česko;Běžné ceny;červen 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;89.6781101633
Česko;Běžné ceny;červen 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);120.15258463
Česko;Běžné ceny;červen 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;92.3639871376
Česko;Běžné ceny;červen 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);134.83768072
Česko;Běžné ceny;květen 2024;Index stavební produkce - Celkem (%);Meziroční index;95.3409280257
Česko;Běžné ceny;květen 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);119.09727655
Česko;Běžné ceny;květen 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;95.6924832014
Česko;Běžné ceny;květen 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);119.37599433
Česko;Běžné ceny;květen 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;94.6754011816
Česko;Běžné ceny;květen 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);118.56758094
Česko;Běžné ceny;duben 2024;Index stavební produkce - Celkem (%);Meziroční index;108.6460970598
Česko;Běžné ceny;duben 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);116.32506108
Česko;Běžné ceny;duben 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;107.5208254663
Česko;Běžné ceny;duben 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);117.29621665
Česko;Běžné ceny;duben 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;110.9062569582
Česko;Běžné ceny;duben 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);114.47940612
Česko;Běžné ceny;březen 2024;Index stavební produkce - Celkem (%);Meziroční index;89.5682486112
Česko;Běžné ceny;březen 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);96.63907205
Česko;Běžné ceny;březen 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;85.5780789994
Česko;Běžné ceny;březen 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);102.98536532
Česko;Běžné ceny;březen 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;100.4012046276
Česko;Běžné ceny;březen 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);84.57811284
Česko;Běžné ceny;únor 2024;Index stavební produkce - Celkem (%);Meziroční index;105.6179858185
Česko;Běžné ceny;únor 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);81.0762704
Česko;Běžné ceny;únor 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;100.9873315418
Česko;Běžné ceny;únor 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);89.16791867
Česko;Běžné ceny;únor 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;119.7855810329
Česko;Běžné ceny;únor 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);65.69831112
Česko;Běžné ceny;leden 2024;Index stavební produkce - Celkem (%);Meziroční index;95.3739606648
Česko;Běžné ceny;leden 2024;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);65.95264067
Česko;Běžné ceny;leden 2024;Index stavební produkce - Pozemní stavby (%);Meziroční index;94.3516484548
Česko;Běžné ceny;leden 2024;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);75.00872216
Česko;Běžné ceny;leden 2024;Index stavební produkce - Inženýrské stavby (%);Meziroční index;98.4951550753
Česko;Běžné ceny;leden 2024;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);48.74180206
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Celkem (%);Meziroční index;95.344383733
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);117.11121674
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;98.2430769769
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);118.24082634
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;90.1455006133
Česko;Běžné ceny;prosinec 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);114.96442417
