Stát;Typ ceny;Měsíce;Ukazatel;Typ indexu;value
Česko;Běžné ceny;září 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;99.4770525153
Česko;Běžné ceny;září 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);122.11393373
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Celkem (%);Meziroční index;112.8022754991
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);114.11908932
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;113.1214118354
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);112.39158571
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;112.2262452338
Česko;Běžné ceny;srpen 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);117.40216332
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Celkem (%);Meziroční index;105.0666507931
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);105.74502868
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;103.274823671
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);102.59008352
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;108.3466364245
Česko;Běžné ceny;červenec 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);111.74091686
Česko;Běžné ceny;červen 2021;Index stavební produkce - Celkem (%);Meziroční index;113.6139922254
Česko;Běžné ceny;červen 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);112.40104178
Česko;Běžné ceny;červen 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;113.3363897573
Česko;Běžné ceny;červen 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);107.57117743
Česko;Běžné ceny;červen 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;114.0838575716
Česko;Běžné ceny;červen 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);121.58006871
Česko;Běžné ceny;květen 2021;Index stavební produkce - Celkem (%);Meziroční index;111.7317673553
Česko;Běžné ceny;květen 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);103.98686389
Česko;Běžné ceny;květen 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;112.9602192345
Česko;Běžné ceny;květen 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);102.03608438
Česko;Běžné ceny;květen 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;109.5858644597
Česko;Běžné ceny;květen 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);107.69426772
Česko;Běžné ceny;duben 2021;Index stavební produkce - Celkem (%);Meziroční index;103.2279754312
Česko;Běžné ceny;duben 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);92.10148864
Česko;Běžné ceny;duben 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;102.0403530798
Česko;Běžné ceny;duben 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);90.70839177
Česko;Běžné ceny;duben 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;105.4612058831
Česko;Běžné ceny;duben 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);94.74903168
Česko;Běžné ceny;březen 2021;Index stavební produkce - Celkem (%);Meziroční index;99.062380137
Česko;Běžné ceny;březen 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);79.39175488
Česko;Běžné ceny;březen 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;96.4542389642
Česko;Běžné ceny;březen 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);85.6591624
Česko;Běžné ceny;březen 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;105.9754491832
Česko;Běžné ceny;březen 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);67.48071594
Česko;Běžné ceny;únor 2021;Index stavební produkce - Celkem (%);Meziroční index;92.7044686365
Česko;Běžné ceny;únor 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);55.85305746
Česko;Běžné ceny;únor 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;91.6239832931
Česko;Běžné ceny;únor 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);63.01578407
Česko;Běžné ceny;únor 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;95.9111891719
Česko;Běžné ceny;únor 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);42.24048874
Česko;Běžné ceny;leden 2021;Index stavební produkce - Celkem (%);Meziroční index;97.8058479472
Česko;Běžné ceny;leden 2021;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);49.85992102
Česko;Běžné ceny;leden 2021;Index stavební produkce - Pozemní stavby (%);Meziroční index;97.8080208497
Česko;Běžné ceny;leden 2021;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);55.62731138
Česko;Běžné ceny;leden 2021;Index stavební produkce - Inženýrské stavby (%);Meziroční index;97.7999430304
Česko;Běžné ceny;leden 2021;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);38.8991512
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Celkem (%);Meziroční index;94.4818577929
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);93.9934208
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;89.9421103557
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);92.92356857
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;104.1495262216
Česko;Běžné ceny;prosinec 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);96.02664611
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Celkem (%);Meziroční index;94.8710639776
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);117.38539118
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;91.8822488092
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);106.83802101
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;99.6606264343
Česko;Běžné ceny;listopad 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);137.43038369
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Celkem (%);Meziroční index;93.3569295899
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);111.1732154
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;88.8051714002
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);102.50444499
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;101.2792393535
Česko;Běžné ceny;říjen 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);127.64797976
Česko;Běžné ceny;září 2020;Index stavební produkce - Celkem (%);Meziroční index;93.2795869036
Česko;Běžné ceny;září 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);109.19682162
Česko;Běžné ceny;září 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;90.44278562
Česko;Běžné ceny;září 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);102.06225001
Česko;Běžné ceny;září 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;98.1436797657
Česko;Běžné ceny;září 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);122.75588253
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Celkem (%);Meziroční index;91.8904420372
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);101.16736459
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;92.0612785195
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);99.35482937
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;91.5836876724
Česko;Běžné ceny;srpen 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);104.6120389
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Celkem (%);Meziroční index;91.1111150973
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);100.64566433
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;91.5536157242
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);99.33697282
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;90.3120905373
Česko;Běžné ceny;červenec 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);103.13279724
Česko;Běžné ceny;červen 2020;Index stavební produkce - Celkem (%);Meziroční index;94.5205229697
Česko;Běžné ceny;červen 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);98.93239343
Česko;Běžné ceny;červen 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;90.2779447388
Česko;Běžné ceny;červen 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);94.91318513
Česko;Běžné ceny;červen 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;102.6886137874
Česko;Běžné ceny;červen 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);106.57079038
Česko;Běžné ceny;květen 2020;Index stavební produkce - Celkem (%);Meziroční index;93.3150570158
Česko;Běžné ceny;květen 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);93.06830667
Česko;Běžné ceny;květen 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;90.0208710823
Česko;Běžné ceny;květen 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);90.3292195
Česko;Běžné ceny;květen 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;99.6873677045
Česko;Běžné ceny;květen 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);98.27386794
Česko;Běžné ceny;duben 2020;Index stavební produkce - Celkem (%);Meziroční index;101.3924995998
Česko;Běžné ceny;duben 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);89.2214424
Česko;Běžné ceny;duben 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;95.7064501759
Česko;Běžné ceny;duben 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);88.8946275
Česko;Běžné ceny;duben 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;114.1445420422
Česko;Běžné ceny;duben 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);89.84254531
Česko;Běžné ceny;březen 2020;Index stavební produkce - Celkem (%);Meziroční index;106.1990337889
Česko;Běžné ceny;březen 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);80.14319338
Česko;Běžné ceny;březen 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;104.6913682846
Česko;Běžné ceny;březen 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);88.80808487
Česko;Běžné ceny;březen 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;110.4136364512
Česko;Běžné ceny;březen 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);63.67580082
Česko;Běžné ceny;únor 2020;Index stavební produkce - Celkem (%);Meziroční index;106.4276898589
Česko;Běžné ceny;únor 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);60.24850612
Česko;Běžné ceny;únor 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;102.5688995349
Česko;Běžné ceny;únor 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);68.77651659
Česko;Běžné ceny;únor 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;119.8044403014
Česko;Běžné ceny;únor 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);44.04125223
Česko;Běžné ceny;leden 2020;Index stavební produkce - Celkem (%);Meziroční index;109.154929077
Česko;Běžné ceny;leden 2020;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);50.97846608
Česko;Běžné ceny;leden 2020;Index stavební produkce - Pozemní stavby (%);Meziroční index;104.6728495655
Česko;Běžné ceny;leden 2020;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);56.8739771
Česko;Běžné ceny;leden 2020;Index stavební produkce - Inženýrské stavby (%);Meziroční index;123.5293160268
Česko;Běžné ceny;leden 2020;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);39.7742064
