Rok sčítání;Ukazatel;ČR a kraje;Celková plocha bytu (m2);value
2021;Počet  obydlených bytů;Česká republika;Obydlené byty celkem;4480139
2021;Počet  obydlených bytů;Česká republika;do 39,9;290095
2021;Počet  obydlených bytů;Česká republika;40,0 až 59,9;788211
2021;Počet  obydlených bytů;Česká republika;60,0 až 79,9;1188305
2021;Počet  obydlených bytů;Česká republika;80,0 až 99,9;603270
2021;Počet  obydlených bytů;Česká republika;100,0 až 119,9;382228
2021;Počet  obydlených bytů;Česká republika;120,0 až 149,9;362571
2021;Počet  obydlených bytů;Česká republika;150,0 a více;477435
2021;Počet  obydlených bytů;Česká republika;Nezjištěno;388024
2021;Počet  obydlených bytů;Kraj Vysočina;Obydlené byty celkem;195098
2021;Počet  obydlených bytů;Kraj Vysočina;do 39,9;8788
2021;Počet  obydlených bytů;Kraj Vysočina;40,0 až 59,9;27997
2021;Počet  obydlených bytů;Kraj Vysočina;60,0 až 79,9;45777
2021;Počet  obydlených bytů;Kraj Vysočina;80,0 až 99,9;27554
2021;Počet  obydlených bytů;Kraj Vysočina;100,0 až 119,9;20803
2021;Počet  obydlených bytů;Kraj Vysočina;120,0 až 149,9;20844
2021;Počet  obydlených bytů;Kraj Vysočina;150,0 a více;30047
2021;Počet  obydlených bytů;Kraj Vysočina;Nezjištěno;13288
2021;Počet  obydlených bytů;Pardubický kraj;Obydlené byty celkem;209133
2021;Počet  obydlených bytů;Pardubický kraj;do 39,9;11868
2021;Počet  obydlených bytů;Pardubický kraj;40,0 až 59,9;28698
2021;Počet  obydlených bytů;Pardubický kraj;60,0 až 79,9;52605
2021;Počet  obydlených bytů;Pardubický kraj;80,0 až 99,9;32546
2021;Počet  obydlených bytů;Pardubický kraj;100,0 až 119,9;21009
2021;Počet  obydlených bytů;Pardubický kraj;120,0 až 149,9;20538
2021;Počet  obydlených bytů;Pardubický kraj;150,0 a více;26232
2021;Počet  obydlených bytů;Pardubický kraj;Nezjištěno;15637
2021;Počet  obydlených bytů;Plzeňský kraj;Obydlené byty celkem;247030
2021;Počet  obydlených bytů;Plzeňský kraj;do 39,9;14839
2021;Počet  obydlených bytů;Plzeňský kraj;40,0 až 59,9;37382
2021;Počet  obydlených bytů;Plzeňský kraj;60,0 až 79,9;67731
2021;Počet  obydlených bytů;Plzeňský kraj;80,0 až 99,9;37394
2021;Počet  obydlených bytů;Plzeňský kraj;100,0 až 119,9;21383
2021;Počet  obydlených bytů;Plzeňský kraj;120,0 až 149,9;19986
2021;Počet  obydlených bytů;Plzeňský kraj;150,0 a více;25578
2021;Počet  obydlených bytů;Plzeňský kraj;Nezjištěno;22737
2021;Počet  obydlených bytů;Olomoucký kraj;Obydlené byty celkem;259885
2021;Počet  obydlených bytů;Olomoucký kraj;do 39,9;14396
2021;Počet  obydlených bytů;Olomoucký kraj;40,0 až 59,9;43979
2021;Počet  obydlených bytů;Olomoucký kraj;60,0 až 79,9;69583
2021;Počet  obydlených bytů;Olomoucký kraj;80,0 až 99,9;34616
2021;Počet  obydlených bytů;Olomoucký kraj;100,0 až 119,9;24623
2021;Počet  obydlených bytů;Olomoucký kraj;120,0 až 149,9;23803
2021;Počet  obydlených bytů;Olomoucký kraj;150,0 a více;30025
2021;Počet  obydlených bytů;Olomoucký kraj;Nezjištěno;18860
2021;Počet  obydlených bytů;Jihomoravský kraj;Obydlené byty celkem;490005
2021;Počet  obydlených bytů;Jihomoravský kraj;do 39,9;32798
