Ukazatel,Území,Roky,value
Průměrný starobní důchod plný sólo (Kč),Česko,2024,20736
Průměrný starobní důchod plný sólo (Kč),Česko,2023,20310
Průměrný starobní důchod plný sólo (Kč),Česko,2022,18098
Průměrný starobní důchod plný sólo (Kč),Česko,2021,15453
Průměrný starobní důchod plný sólo (Kč),Česko,2020,14502
Průměrný starobní důchod plný sólo (Kč),Česko,2019,13487
Průměrný starobní důchod plný sólo (Kč),Česko,2018,12435
Průměrný starobní důchod plný sólo (Kč),Česko,2017,11866
Průměrný starobní důchod plný sólo (Kč),Česko,2016,11475
Průměrný starobní důchod plný sólo (Kč),Česko,2015,11363
Průměrný starobní důchod plný sólo (Kč),Česko,2014,11090
