Ukazatel;Věkové skupiny;Pohlaví;Roky;Okres vystěhování;Okres přistěhování;value
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Praha;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Benešov;929.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Beroun;1072.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Kladno;1435.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Kolín;789.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Kutná Hora;364.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Mělník;1166.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Mladá Boleslav;573.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Nymburk;918.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Praha-východ;4733.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Praha-západ;3812.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Příbram;683.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Rakovník;277.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;České Budějovice;329.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Český Krumlov;93.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jindřichův Hradec;145.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Písek;208.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Prachatice;99.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Strakonice;130.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Tábor;326.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Domažlice;86.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Klatovy;181.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Plzeň-město;480.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Plzeň-jih;109.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Plzeň-sever;103.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Rokycany;121.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Tachov;101.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Cheb;232.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Karlovy Vary;241.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Sokolov;70.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Děčín;180.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Chomutov;182.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Litoměřice;386.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Louny;231.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Most;205.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Teplice;251.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Ústí nad Labem;188.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Česká Lípa;214.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jablonec nad Nisou;168.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Liberec;364.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Semily;188.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Hradec Králové;297.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jičín;189.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Náchod;159.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Rychnov nad Kněžnou;118.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Trutnov;205.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Chrudim;161.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Pardubice;305.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Svitavy;113.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Ústí nad Orlicí;146.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Havlíčkův Brod;186.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jihlava;174.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Pelhřimov;192.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Třebíč;80.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Žďár nad Sázavou;120.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Blansko;74.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Brno-město;637.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Brno-venkov;139.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Břeclav;120.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Hodonín;100.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Vyškov;54.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Znojmo;54.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Jeseník;34.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Olomouc;206.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Prostějov;46.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Přerov;53.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Šumperk;68.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Kroměříž;63.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Uherské Hradiště;107.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Vsetín;80.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Zlín;176.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Bruntál;55.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Frýdek-Místek;112.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Karviná;137.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Nový Jičín;106.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Opava;99.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Praha;Ostrava-město;274.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Praha;536.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Benešov;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Beroun;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Kladno;30.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Kolín;40.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Kutná Hora;56.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Mělník;27.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Mladá Boleslav;23.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Nymburk;26.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Praha-východ;84.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Praha-západ;45.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Příbram;85.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Rakovník;11.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;České Budějovice;27.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Český Krumlov;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Jindřichův Hradec;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Písek;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Prachatice;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Strakonice;14.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Tábor;89.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Domažlice;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Klatovy;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Plzeň-město;27.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Plzeň-jih;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Plzeň-sever;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Rokycany;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Tachov;0.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Cheb;15.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Karlovy Vary;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Sokolov;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Děčín;8.0
