Ukazatel;Věkové skupiny;Pohlaví;Roky;Okres vystěhování;Okres přistěhování;value
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Chomutov;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Litoměřice;10.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Louny;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Most;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Teplice;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Ústí nad Labem;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Česká Lípa;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Jablonec nad Nisou;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Liberec;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Semily;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Hradec Králové;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Jičín;10.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Náchod;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Rychnov nad Kněžnou;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Trutnov;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Chrudim;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Pardubice;11.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Svitavy;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Ústí nad Orlicí;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Havlíčkův Brod;22.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Jihlava;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Pelhřimov;29.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Třebíč;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Žďár nad Sázavou;0.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Blansko;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Brno-město;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Brno-venkov;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Břeclav;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Hodonín;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Vyškov;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Znojmo;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Jeseník;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Olomouc;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Prostějov;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Přerov;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Šumperk;0.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Kroměříž;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Uherské Hradiště;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Vsetín;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Zlín;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Bruntál;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Frýdek-Místek;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Karviná;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Nový Jičín;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Opava;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Benešov;Ostrava-město;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Praha;613.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Benešov;28.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Beroun;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Kladno;65.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Kolín;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Kutná Hora;18.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Mělník;26.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Mladá Boleslav;39.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Nymburk;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Praha-východ;35.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Praha-západ;162.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Příbram;181.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Rakovník;32.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;České Budějovice;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Český Krumlov;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Jindřichův Hradec;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Písek;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Prachatice;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Strakonice;17.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Tábor;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Domažlice;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Klatovy;29.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Plzeň-město;81.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Plzeň-jih;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Plzeň-sever;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Rokycany;95.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Tachov;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Cheb;32.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Karlovy Vary;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Sokolov;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Děčín;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Chomutov;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Litoměřice;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Louny;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Most;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Teplice;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Ústí nad Labem;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Česká Lípa;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Jablonec nad Nisou;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Liberec;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Semily;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Hradec Králové;15.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Jičín;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Náchod;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Rychnov nad Kněžnou;17.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Trutnov;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Chrudim;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Pardubice;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Svitavy;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Ústí nad Orlicí;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Havlíčkův Brod;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Jihlava;14.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Pelhřimov;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Třebíč;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Žďár nad Sázavou;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Blansko;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Brno-město;17.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Brno-venkov;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Břeclav;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Hodonín;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Vyškov;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Znojmo;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Jeseník;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Olomouc;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Prostějov;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Přerov;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Šumperk;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Kroměříž;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Uherské Hradiště;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Vsetín;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Zlín;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Bruntál;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Frýdek-Místek;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Karviná;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Nový Jičín;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Opava;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Beroun;Ostrava-město;10.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Praha;812.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Benešov;34.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Beroun;113.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Kladno;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Kolín;14.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Kutná Hora;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Mělník;119.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Mladá Boleslav;19.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Nymburk;41.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Praha-východ;70.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Praha-západ;171.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Příbram;38.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Rakovník;273.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;České Budějovice;18.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Český Krumlov;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Jindřichův Hradec;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Písek;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Prachatice;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Strakonice;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Tábor;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Domažlice;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Klatovy;11.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Plzeň-město;67.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Plzeň-jih;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Plzeň-sever;11.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Rokycany;27.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Tachov;10.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Cheb;18.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Karlovy Vary;24.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Sokolov;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Děčín;12.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Chomutov;34.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Litoměřice;58.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Louny;99.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Most;54.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Teplice;42.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Ústí nad Labem;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Česká Lípa;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Jablonec nad Nisou;18.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Liberec;28.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Semily;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Hradec Králové;10.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Jičín;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Náchod;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Rychnov nad Kněžnou;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Trutnov;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Chrudim;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Pardubice;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Svitavy;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Ústí nad Orlicí;19.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Havlíčkův Brod;14.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Jihlava;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Pelhřimov;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Třebíč;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Žďár nad Sázavou;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Blansko;4.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Brno-město;16.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Brno-venkov;8.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Břeclav;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Hodonín;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Vyškov;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Znojmo;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Jeseník;2.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Olomouc;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Prostějov;6.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Přerov;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Šumperk;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Kroměříž;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Uherské Hradiště;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Vsetín;1.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Zlín;17.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Bruntál;3.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Frýdek-Místek;5.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Karviná;13.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Nový Jičín;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Opava;9.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kladno;Ostrava-město;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Praha;516.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Benešov;20.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Beroun;7.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Kladno;21.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Kolín;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Kutná Hora;355.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Mělník;26.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Mladá Boleslav;17.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Nymburk;346.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Praha-východ;153.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Praha-západ;27.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kolín;Příbram;15.0
