Ukazatel;Rok;ČR, Reg. soudržnosti, Kraje;Věk (roky);Pohlaví;value
Počet obyvatel k 31. 12.;2023;Česko;27;Ženy;51687
Počet obyvatel k 31. 12.;2023;Česko;31;Celkem;137138
Počet obyvatel k 31. 12.;2023;Česko;31;Muži;70524
Počet obyvatel k 31. 12.;2023;Česko;31;Ženy;66614
Počet obyvatel k 31. 12.;2023;Česko;28;Celkem;111417
Počet obyvatel k 31. 12.;2023;Česko;28;Muži;57124
Počet obyvatel k 31. 12.;2023;Česko;28;Ženy;54293
Počet obyvatel k 31. 12.;2023;Česko;29;Celkem;122319
Počet obyvatel k 31. 12.;2023;Česko;29;Muži;62418
Počet obyvatel k 31. 12.;2023;Česko;29;Ženy;59901
Počet obyvatel k 31. 12.;2023;Česko;30;Celkem;135924
Počet obyvatel k 31. 12.;2023;Česko;30;Muži;69678
Počet obyvatel k 31. 12.;2023;Česko;30;Ženy;66246
Počet obyvatel k 31. 12.;2023;Česko;32;Celkem;144497
Počet obyvatel k 31. 12.;2023;Česko;32;Muži;74255
Počet obyvatel k 31. 12.;2023;Česko;32;Ženy;70242
Počet obyvatel k 31. 12.;2023;Česko;33;Celkem;145117
Počet obyvatel k 31. 12.;2023;Česko;33;Muži;74333
Počet obyvatel k 31. 12.;2023;Česko;33;Ženy;70784
Počet obyvatel k 31. 12.;2023;Česko;34;Celkem;143119
Počet obyvatel k 31. 12.;2023;Česko;34;Muži;73088
Počet obyvatel k 31. 12.;2023;Česko;34;Ženy;70031
Počet obyvatel k 31. 12.;2023;Česko;35;Celkem;147811
Počet obyvatel k 31. 12.;2023;Česko;35;Muži;74999
Počet obyvatel k 31. 12.;2023;Česko;35;Ženy;72812
Počet obyvatel k 31. 12.;2023;Česko;36;Celkem;146299
Počet obyvatel k 31. 12.;2023;Česko;36;Muži;74898
Počet obyvatel k 31. 12.;2023;Česko;36;Ženy;71401
Počet obyvatel k 31. 12.;2023;Česko;37;Celkem;148424
Počet obyvatel k 31. 12.;2023;Česko;37;Muži;75652
Počet obyvatel k 31. 12.;2023;Česko;37;Ženy;72772
Počet obyvatel k 31. 12.;2023;Česko;38;Celkem;150761
Počet obyvatel k 31. 12.;2023;Česko;38;Muži;76898
Počet obyvatel k 31. 12.;2023;Česko;38;Ženy;73863
Počet obyvatel k 31. 12.;2023;Česko;39;Celkem;151199
Počet obyvatel k 31. 12.;2023;Česko;39;Muži;76971
Počet obyvatel k 31. 12.;2023;Česko;39;Ženy;74228
Počet obyvatel k 31. 12.;2023;Česko;40;Celkem;151622
Počet obyvatel k 31. 12.;2023;Česko;40;Muži;77025
Počet obyvatel k 31. 12.;2023;Česko;40;Ženy;74597
Počet obyvatel k 31. 12.;2023;Česko;41;Celkem;153858
Počet obyvatel k 31. 12.;2023;Česko;41;Muži;78076
Počet obyvatel k 31. 12.;2023;Česko;41;Ženy;75782
Počet obyvatel k 31. 12.;2023;Česko;42;Celkem;154339
Počet obyvatel k 31. 12.;2023;Česko;42;Muži;78547
Počet obyvatel k 31. 12.;2023;Česko;42;Ženy;75792
Počet obyvatel k 31. 12.;2023;Česko;43;Celkem;162513
Počet obyvatel k 31. 12.;2023;Česko;43;Muži;83061
Počet obyvatel k 31. 12.;2023;Česko;43;Ženy;79452
Počet obyvatel k 31. 12.;2023;Česko;44;Celkem;178082
Počet obyvatel k 31. 12.;2023;Česko;44;Muži;90796
Počet obyvatel k 31. 12.;2023;Česko;44;Ženy;87286
Počet obyvatel k 31. 12.;2023;Česko;45;Celkem;183267
Počet obyvatel k 31. 12.;2023;Česko;45;Muži;93242
Počet obyvatel k 31. 12.;2023;Česko;45;Ženy;90025
Počet obyvatel k 31. 12.;2023;Česko;46;Celkem;185620
Počet obyvatel k 31. 12.;2023;Česko;46;Muži;94102
Počet obyvatel k 31. 12.;2023;Česko;46;Ženy;91518
Počet obyvatel k 31. 12.;2023;Česko;47;Celkem;190103
Počet obyvatel k 31. 12.;2023;Česko;47;Muži;96490
Počet obyvatel k 31. 12.;2023;Česko;47;Ženy;93613
Počet obyvatel k 31. 12.;2023;Česko;48;Celkem;192887
Počet obyvatel k 31. 12.;2023;Česko;48;Muži;97617
Počet obyvatel k 31. 12.;2023;Česko;48;Ženy;95270
Počet obyvatel k 31. 12.;2023;Česko;49;Celkem;194243
Počet obyvatel k 31. 12.;2023;Česko;49;Muži;98471
