Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Česko,Přistěhovalí,49581.0
Q1-Q2 2025,Celkem,Česko,Přistěhovalí z ČR,
Q1-Q2 2025,Celkem,Česko,Přistěhovalí z ciziny,49581.0
Q1-Q2 2025,Celkem,Česko,Vystěhovalí,56447.0
Q1-Q2 2025,Celkem,Česko,Vystěhovalí do ČR,
Q1-Q2 2025,Celkem,Česko,Vystěhovalí do ciziny,56447.0
Q1-Q2 2025,Celkem,Česko,Objem vnitřního stěhování,159019.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Přistěhovalí,29090.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Přistěhovalí z ČR,14406.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Přistěhovalí z ciziny,14684.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Vystěhovalí,29203.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Vystěhovalí do ČR,15117.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Vystěhovalí do ciziny,14086.0
Q1-Q2 2025,Celkem,Hlavní město Praha,Objem vnitřního stěhování,
Q1-Q2 2025,Celkem,Středočeský kraj,Přistěhovalí,22355.0
Q1-Q2 2025,Celkem,Středočeský kraj,Přistěhovalí z ČR,15454.0
Q1-Q2 2025,Celkem,Středočeský kraj,Přistěhovalí z ciziny,6901.0
Q1-Q2 2025,Celkem,Středočeský kraj,Vystěhovalí,18825.0
Q1-Q2 2025,Celkem,Středočeský kraj,Vystěhovalí do ČR,11586.0
Q1-Q2 2025,Celkem,Středočeský kraj,Vystěhovalí do ciziny,7239.0
Q1-Q2 2025,Celkem,Středočeský kraj,Objem vnitřního stěhování,15578.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Přistěhovalí,4807.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Přistěhovalí z ČR,2941.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Přistěhovalí z ciziny,1866.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Vystěhovalí,4839.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Vystěhovalí do ČR,2515.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Vystěhovalí do ciziny,2324.0
Q1-Q2 2025,Celkem,Jihočeský kraj,Objem vnitřního stěhování,7068.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Přistěhovalí,7216.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Přistěhovalí z ČR,3089.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Přistěhovalí z ciziny,4127.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Vystěhovalí,9203.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Vystěhovalí do ČR,3420.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Vystěhovalí do ciziny,5783.0
Q1-Q2 2025,Celkem,Plzeňský kraj,Objem vnitřního stěhování,7789.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Přistěhovalí,2982.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Přistěhovalí z ČR,1507.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Přistěhovalí z ciziny,1475.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Vystěhovalí,3670.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Vystěhovalí do ČR,1813.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Vystěhovalí do ciziny,1857.0
Q1-Q2 2025,Celkem,Karlovarský kraj,Objem vnitřního stěhování,2922.0
Q1-Q2 2025,Celkem,Ústecký kraj,Přistěhovalí,5342.0
Q1-Q2 2025,Celkem,Ústecký kraj,Přistěhovalí z ČR,3368.0
Q1-Q2 2025,Celkem,Ústecký kraj,Přistěhovalí z ciziny,1974.0
Q1-Q2 2025,Celkem,Ústecký kraj,Vystěhovalí,6157.0
Q1-Q2 2025,Celkem,Ústecký kraj,Vystěhovalí do ČR,3507.0
Q1-Q2 2025,Celkem,Ústecký kraj,Vystěhovalí do ciziny,2650.0
Q1-Q2 2025,Celkem,Ústecký kraj,Objem vnitřního stěhování,8204.0
Q1-Q2 2025,Celkem,Liberecký kraj,Přistěhovalí,3901.0
Q1-Q2 2025,Celkem,Liberecký kraj,Přistěhovalí z ČR,2416.0
Q1-Q2 2025,Celkem,Liberecký kraj,Přistěhovalí z ciziny,1485.0
Q1-Q2 2025,Celkem,Liberecký kraj,Vystěhovalí,4718.0
Q1-Q2 2025,Celkem,Liberecký kraj,Vystěhovalí do ČR,2612.0
Q1-Q2 2025,Celkem,Liberecký kraj,Vystěhovalí do ciziny,2106.0
Q1-Q2 2025,Celkem,Liberecký kraj,Objem vnitřního stěhování,4155.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přistěhovalí,4715.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přistěhovalí z ČR,2887.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Přistěhovalí z ciziny,1828.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Vystěhovalí,5821.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Vystěhovalí do ČR,3307.0
