Území;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2024;Celkem;Mzdy včetně ostatních osobních nákladů (tis. Kč);2387042969.567933
Česko;2024;Celkem;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);145439872.83268294
Česko;2024;Celkem;Mzdy včetně ostatních osobních nákladů - meziroční index (%);106.4882080617
Česko;2024;Celkem;Mzdy bez ostatních osobních nákladů (tis. Kč);2227978872.280936
Česko;2024;Celkem;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);145863723.93024996
Česko;2024;Celkem;Mzdy bez ostatních osobních nákladů - meziroční index (%);107.0055550984
Česko;2024;Celkem;Ostatní osobní náklady (tis. Kč);159064097.28699702
Česko;2024;Celkem;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-423851.0975670233
Česko;2024;Celkem;Ostatní osobní náklady - meziroční index (%);99.7342425545
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy včetně ostatních osobních nákladů (tis. Kč);42025600.07486029
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1180922.9562994202
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy včetně ostatních osobních nákladů - meziroční index (%);102.8912530092
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy bez ostatních osobních nákladů (tis. Kč);38428793.95613331
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1480903.8072279985
Česko;2024;A - Zemědělství, lesnictví, rybářství;Mzdy bez ostatních osobních nákladů - meziroční index (%);104.00808761
Česko;2024;A - Zemědělství, lesnictví, rybářství;Ostatní osobní náklady (tis. Kč);3596806.1187269744
Česko;2024;A - Zemědělství, lesnictví, rybářství;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-299980.8509285781
Česko;2024;A - Zemědělství, lesnictví, rybářství;Ostatní osobní náklady - meziroční index (%);92.3018411511
Česko;2024;B-E - Průmysl celkem;Mzdy včetně ostatních osobních nákladů (tis. Kč);661319867.1610007
Česko;2024;B-E - Průmysl celkem;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);32615776.41149016
Česko;2024;B-E - Průmysl celkem;Mzdy včetně ostatních osobních nákladů - meziroční index (%);105.1877786214
Česko;2024;B-E - Průmysl celkem;Mzdy bez ostatních osobních nákladů (tis. Kč);638797899.0002933
Česko;2024;B-E - Průmysl celkem;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);33549566.42674629
Česko;2024;B-E - Průmysl celkem;Mzdy bez ostatních osobních nákladů - meziroční index (%);105.5431076173
Česko;2024;B-E - Průmysl celkem;Ostatní osobní náklady (tis. Kč);22521968.16070752
Česko;2024;B-E - Průmysl celkem;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-933790.01525613
Česko;2024;B-E - Průmysl celkem;Ostatní osobní náklady - meziroční index (%);96.0189305831
Česko;2024;B - Těžba a dobývání;Mzdy včetně ostatních osobních nákladů (tis. Kč);11112985.578284957
Česko;2024;B - Těžba a dobývání;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);326855.5122344227
Česko;2024;B - Těžba a dobývání;Mzdy včetně ostatních osobních nákladů - meziroční index (%);103.030331641
Česko;2024;B - Těžba a dobývání;Mzdy bez ostatních osobních nákladů (tis. Kč);10415234.190707054
Česko;2024;B - Těžba a dobývání;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);46547.4380201762
Česko;2024;B - Těžba a dobývání;Mzdy bez ostatních osobních nákladů - meziroční index (%);100.4489231774
Česko;2024;B - Těžba a dobývání;Ostatní osobní náklady (tis. Kč);697751.3875779004
Česko;2024;B - Těžba a dobývání;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);280308.0742142465
Česko;2024;B - Těžba a dobývání;Ostatní osobní náklady - meziroční index (%);167.1487757117
